encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:WISDM:36,natural,0,5,1,WISDM,0.30546875,0.20586641901652877,0.28794642857142855,0.16961925064425165,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,2,WISDM,0.5046875,0.4284293592298527,0.45424107142857145,0.3825363356484381,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,3,WISDM,0.470703125,0.4004913788917329,0.47098214285714285,0.3893948040543687,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,4,WISDM,0.433984375,0.3623738199586247,0.43861607142857145,0.3553995883362654,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,5,WISDM,0.437109375,0.3681808604954748,0.4408482142857143,0.3666075924815644,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,6,WISDM,0.487109375,0.46631295375279147,0.5033482142857143,0.4641632173566931,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,7,WISDM,0.53671875,0.5122307479589312,0.5669642857142857,0.5213891200401619,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,8,WISDM,0.555859375,0.5050888997135127,0.5915178571428571,0.5240419616574836,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,9,WISDM,0.582421875,0.5156779952937885,0.6183035714285714,0.539972676465838,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,10,WISDM,0.560546875,0.5031153806724803,0.5848214285714286,0.5377084884551036,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,11,WISDM,0.596484375,0.5248822958960886,0.6551339285714286,0.5675710266199219,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,12,WISDM,0.58125,0.5121308855618163,0.6071428571428571,0.5434366232238211,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,13,WISDM,0.608203125,0.5433473526611293,0.6729910714285714,0.5865625329541938,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,14,WISDM,0.58203125,0.514538442331018,0.6171875,0.5534731841846126,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,15,WISDM,0.61328125,0.5414216681768542,0.6808035714285714,0.5867468741281798,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,16,WISDM,0.611328125,0.5583394742765974,0.6796875,0.5974565976174618,23.480804443359375,23.480804443359375,none,1,0,
rnn,device:WISDM:36,natural,0,5,17,WISDM,0.631640625,0.6266144859099237,0.6785714285714286,0.6528605675813192,23.480804443359375,23.480804443359375,none,1,0,
