encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:UCI:21,natural,0,5,1,UCI,0.54375,0.39471186919019985,0.50625,0.3606324110671936,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,2,UCI,0.6125,0.4616832378722453,0.6,0.45533956069516107,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,3,UCI,0.621875,0.5240221647242003,0.64375,0.5316008974289385,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,4,UCI,0.625,0.5468641455954539,0.621875,0.5265642144115427,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,5,UCI,0.61875,0.5496044157467288,0.615625,0.5358022318766504,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,6,UCI,0.615625,0.5458120200716363,0.615625,0.5352224827543298,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,7,UCI,0.6234375,0.5534809866217264,0.621875,0.5393964702005265,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,8,UCI,0.6359375,0.5637640699607095,0.634375,0.5550936118567495,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,9,UCI,0.63125,0.5574910722567787,0.63125,0.5466825845503733,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,10,UCI,0.640625,0.5623543411588717,0.625,0.5323987856132176,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,11,UCI,0.6375,0.5605950572922597,0.6375,0.547382440250229,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,12,UCI,0.6421875,0.567567937885362,0.653125,0.5677571109375806,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,13,UCI,0.6453125,0.5700410407911777,0.653125,0.5669867449742328,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,14,UCI,0.646875,0.5709081773090623,0.659375,0.5736403935662149,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,15,UCI,0.6484375,0.5746506378602128,0.65625,0.5694872868269355,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,16,UCI,0.6578125,0.584187631098531,0.665625,0.5801770529923743,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,17,UCI,0.6578125,0.5830128313779261,0.66875,0.5834044733559081,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,18,UCI,0.66875,0.589847668664913,0.671875,0.5859931880768021,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,19,UCI,0.6703125,0.5926481061539366,0.68125,0.6012819167837387,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,20,UCI,0.6703125,0.5924921118849686,0.6875,0.6057262182262182,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,21,UCI,0.671875,0.5912414892939258,0.6875,0.6038034188034189,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,22,UCI,0.690625,0.6085009530062042,0.696875,0.613579223448764,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,23,UCI,0.6921875,0.6107672956777024,0.690625,0.6081388893655373,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,24,UCI,0.7171875,0.6353376655683567,0.703125,0.6210147690709547,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,25,UCI,0.6984375,0.6170199292042599,0.7,0.6172297852975215,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,26,UCI,0.7109375,0.6298360293907954,0.703125,0.6232403578087812,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,27,UCI,0.721875,0.6398458220558101,0.7125,0.6400449902482224,266.88963317871094,266.88963317871094,none,1,0,
tstcc,device:UCI:21,natural,0,5,28,UCI,0.7171875,0.636400354978188,0.7125,0.6361870759684247,266.88963317871094,266.88963317871094,none,1,0,
