encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:WISDM:36,natural,0,5,1,WISDM,0.50703125,0.33616529856751975,0.5256696428571429,0.344732049029281,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,2,WISDM,0.522265625,0.36771774202251073,0.5267857142857143,0.34545454545454546,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,3,WISDM,0.5125,0.37589094004285684,0.5524553571428571,0.4545139791571984,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,4,WISDM,0.554296875,0.448214993177371,0.6372767857142857,0.5558394573906784,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,5,WISDM,0.590625,0.5175230880373979,0.6975446428571429,0.6194056249349561,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,6,WISDM,0.63984375,0.5637171007816453,0.7287946428571429,0.6467104766071263,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,7,WISDM,0.645703125,0.5730330779435587,0.7209821428571429,0.6425178230115658,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,8,WISDM,0.705859375,0.6257258816715552,0.7589285714285714,0.6492926336565559,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,9,WISDM,0.70703125,0.640154081281599,0.7522321428571429,0.6437170465961302,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,10,WISDM,0.703515625,0.6384563449150678,0.7321428571428571,0.6247741703720611,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,11,WISDM,0.637890625,0.5624266218901247,0.6607142857142857,0.5495677993178002,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,12,WISDM,0.716015625,0.6440697471186295,0.7243303571428571,0.6159178100797951,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,13,WISDM,0.6875,0.6189485000377908,0.7120535714285714,0.6036110875996802,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,14,WISDM,0.6828125,0.6121504891976903,0.7087053571428571,0.6002122199410872,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,15,WISDM,0.630859375,0.5555394275950692,0.6495535714285714,0.5367176675630688,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,16,WISDM,0.67421875,0.603116642591707,0.6964285714285714,0.5875711655341928,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,17,WISDM,0.68984375,0.6195611176641828,0.7087053571428571,0.6008584448856755,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,18,WISDM,0.667578125,0.593835194985848,0.6774553571428571,0.5681126539959445,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,19,WISDM,0.695703125,0.6252277829860786,0.7142857142857143,0.6058663637534943,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,20,WISDM,0.683984375,0.6138024946490397,0.6975446428571429,0.5894028239757595,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,21,WISDM,0.702734375,0.6300388892003403,0.7131696428571429,0.6053774586702652,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,22,WISDM,0.689453125,0.6193285414456797,0.703125,0.5951602193254624,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,23,WISDM,0.691015625,0.6191867249607569,0.6986607142857143,0.5905592579307394,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,24,WISDM,0.68671875,0.6172065429568628,0.703125,0.5951602193254624,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,25,WISDM,0.687109375,0.615603420852734,0.6908482142857143,0.5824092780055175,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,26,WISDM,0.713671875,0.6425682177942593,0.7209821428571429,0.6132082944398799,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,27,WISDM,0.70078125,0.6282064975422935,0.7109375,0.603122182516451,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,28,WISDM,0.696484375,0.6257785566950194,0.7109375,0.603122182516451,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,29,WISDM,0.70390625,0.6278959726855229,0.7064732142857143,0.5985859632489383,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,30,WISDM,0.70078125,0.6296377048606254,0.7142857142857143,0.6065020110818932,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,31,WISDM,0.6984375,0.625898293227524,0.7075892857142857,0.599723314857858,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,32,WISDM,0.69609375,0.6264356005641478,0.7142857142857143,0.6065020110818932,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,33,WISDM,0.68359375,0.609998575104938,0.6741071428571429,0.5644675441250429,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,34,WISDM,0.685546875,0.616168802079481,0.7254464285714286,0.6450302919742362,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,35,WISDM,0.691015625,0.6163797937471192,0.6863839285714286,0.5776917383078524,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,36,WISDM,0.69765625,0.6341841148071323,0.7165178571428571,0.6111291975381343,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,37,WISDM,0.69375,0.6230408578523488,0.7075892857142857,0.599723314857858,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,38,WISDM,0.695703125,0.6254327656181777,0.7142857142857143,0.6065020110818932,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,39,WISDM,0.696875,0.6276603387482025,0.7165178571428571,0.6087451176088092,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,40,WISDM,0.69375,0.6251049102911626,0.7154017857142857,0.6076245525906765,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,41,WISDM,0.698828125,0.6322992542292676,0.7165178571428571,0.6105893070757721,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,42,WISDM,0.69453125,0.6266110594673859,0.7131696428571429,0.6065768490107325,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,43,WISDM,0.691796875,0.6228020127030646,0.7064732142857143,0.5992329214790939,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,44,WISDM,0.69375,0.6256515488359994,0.7053571428571429,0.5980955698701742,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,45,WISDM,0.691796875,0.6241338089585029,0.7098214285714286,0.6032382382772803,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,46,WISDM,0.678125,0.6077239499026258,0.6595982142857143,0.5812407204128428,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,47,WISDM,0.679296875,0.6131769163838946,0.6651785714285714,0.5884049219988859,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,48,WISDM,0.676171875,0.6096010769419267,0.6607142857142857,0.5835665035801826,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,49,WISDM,0.67265625,0.637384263279393,0.6651785714285714,0.6115742252086893,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,50,WISDM,0.701171875,0.6382896877405811,0.7209821428571429,0.622329107942412,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,51,WISDM,0.67265625,0.6117242332080901,0.6484375,0.5740438299471797,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,52,WISDM,0.676953125,0.6324754726381644,0.6540178571428571,0.5894567915648967,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,53,WISDM,0.672265625,0.6545430846518869,0.6607142857142857,0.6200919536628731,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,54,WISDM,0.713671875,0.6813183046736162,0.7053571428571429,0.637323988957509,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,55,WISDM,0.74296875,0.7190072064708827,0.7723214285714286,0.7150561759710032,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,56,WISDM,0.684375,0.6808236398109477,0.6763392857142857,0.6588749433094514,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,57,WISDM,0.741015625,0.7357748772662416,0.7734375,0.74627309698727,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,58,WISDM,0.67421875,0.6649736518696135,0.6796875,0.6548698432143051,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,59,WISDM,0.756640625,0.7479866557622319,0.7511160714285714,0.7230449339784049,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,60,WISDM,0.739453125,0.7314868225157595,0.7332589285714286,0.7059173853405962,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,61,WISDM,0.75625,0.7489556076738655,0.7433035714285714,0.7207143378083287,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,62,WISDM,0.75859375,0.7434655097931139,0.7544642857142857,0.7191231836497256,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,63,WISDM,0.68671875,0.6699216908239518,0.6763392857142857,0.6444769719258633,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,64,WISDM,0.6734375,0.6525684298395651,0.6428571428571429,0.6053336031170679,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,65,WISDM,0.771484375,0.7574858110047566,0.7745535714285714,0.7415437184792535,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,66,WISDM,0.750390625,0.7256875423515458,0.7354910714285714,0.6853616074430207,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,67,WISDM,0.6984375,0.6600109591671666,0.6685267857142857,0.6163315763997047,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,68,WISDM,0.755078125,0.7206848213634804,0.7566964285714286,0.6921796938397695,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,69,WISDM,0.717578125,0.716218644771578,0.6919642857142857,0.6805524774114236,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,70,WISDM,0.771484375,0.7515438031130292,0.7555803571428571,0.7105945175344863,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,71,WISDM,0.687109375,0.6664314222590936,0.6607142857142857,0.6246533031317303,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,72,WISDM,0.77890625,0.7630732631216846,0.7745535714285714,0.7441892853972055,457.52508544921875,457.52508544921875,none,1,0,
tstcc,device:WISDM:36,natural,0,5,73,WISDM,0.69375,0.6827779650354324,0.6685267857142857,0.6502261658786962,457.52508544921875,457.52508544921875,none,1,0,
