encoder,dataset,regime,lr,seed,val_acc,amplitude_pp
cnnpff,MotionSense,1,0.0003,0,0.7318,54.95
cnnpff,MotionSense,full,0.001,0,0.8776,69.53
cnnpff,RealWorld_thigh,1,0.003,0,0.5731,40.07
cnnpff,RealWorld_thigh,full,0.0003,0,0.7143,54.19
cnnpff,RealWorld_waist,1,0.0001,0,0.6535,24.16
cnnpff,RealWorld_waist,full,0.01,0,0.8036,40.85
cnnpff,UCI,1,0.0001,0,0.7781,35.31
cnnpff,UCI,full,0.001,0,0.9281,71.56
cnnpff,WISDM,1,0.0001,0,0.8359,57.25
cnnpff,WISDM,full,0.001,0,0.9163,16.63
resnetse5,MotionSense,1,0.03,0,0.8255,8.07
resnetse5,MotionSense,full,0.01,0,0.8906,7.81
resnetse5,RealWorld_thigh,1,0.01,0,0.6334,8.2
resnetse5,RealWorld_thigh,full,0.001,0,0.6685,15.85
resnetse5,RealWorld_waist,1,0.01,0,0.7863,9.43
resnetse5,RealWorld_waist,full,0.003,0,0.8571,3.85
resnetse5,UCI,1,0.003,0,0.8781,2.81
resnetse5,UCI,full,0.003,0,0.9719,3.12
resnetse5,WISDM,1,0.001,0,0.827,9.04
resnetse5,WISDM,full,0.003,0,0.9565,18.75
rnn,MotionSense,1,0.003,0,0.5547,4.17
rnn,MotionSense,full,0.001,0,0.8594,62.24
rnn,RealWorld_thigh,1,0.03,0,0.4102,4.69
rnn,RealWorld_thigh,full,0.0003,0,0.6959,52.34
rnn,RealWorld_waist,1,0.0003,0,0.5117,8.2
rnn,RealWorld_waist,full,0.01,0,0.8086,63.62
rnn,UCI,1,0.001,0,0.75,14.06
rnn,UCI,full,0.01,0,0.9563,12.81
rnn,WISDM,1,0.03,0,0.7176,4.91
rnn,WISDM,full,0.01,0,0.8906,10.49
tstcc,MotionSense,1,0.003,0,0.7344,36.98
tstcc,MotionSense,full,0.003,0,0.7682,45.31
tstcc,RealWorld_thigh,1,0.001,0,0.5714,21.88
tstcc,RealWorld_thigh,full,0.003,0,0.6836,51.12
tstcc,RealWorld_waist,1,0.01,0,0.6719,32.31
tstcc,RealWorld_waist,full,0.003,0,0.8622,68.97
tstcc,UCI,1,0.0003,0,0.85,44.69
tstcc,UCI,full,0.0003,0,0.9,53.75
tstcc,WISDM,1,0.0003,0,0.8047,8.26
tstcc,WISDM,full,0.003,0,0.8806,16.29
