encoder,dataset,lr,seed,posto_medio,val_acc_k1,val_acc_full,val_acc_media
cnnpff,MotionSense,0.0003,0,1.5,0.7318,0.875,0.8034
cnnpff,RealWorld_thigh,0.003,0,2.0,0.5731,0.6942,0.6336
cnnpff,RealWorld_waist,0.0001,0,1.0,0.6535,0.798,0.7257
cnnpff,UCI,0.001,0,2.0,0.7656,0.9281,0.8469
cnnpff,WISDM,0.0003,0,2.0,0.8058,0.9107,0.8583
resnetse5,MotionSense,0.003,0,1.0,0.8047,0.8776,0.8411
resnetse5,RealWorld_thigh,0.0001,0,2.0,0.5943,0.6451,0.6197
resnetse5,RealWorld_waist,0.001,0,2.0,0.7701,0.8465,0.8083
resnetse5,UCI,0.003,0,1.0,0.8781,0.9719,0.925
resnetse5,WISDM,0.001,0,1.5,0.827,0.9208,0.8739
rnn,MotionSense,0.003,0,1.5,0.5547,0.8542,0.7044
rnn,RealWorld_thigh,0.0003,0,2.0,0.3638,0.6959,0.5299
rnn,RealWorld_waist,0.001,0,2.0,0.4994,0.755,0.6272
rnn,UCI,0.001,0,1.5,0.75,0.8969,0.8234
rnn,WISDM,0.001,0,1.5,0.7165,0.8717,0.7941
tstcc,MotionSense,0.003,0,1.0,0.7344,0.7682,0.7513
tstcc,RealWorld_thigh,0.001,0,1.5,0.5714,0.6289,0.6002
tstcc,RealWorld_waist,0.0003,0,1.5,0.6222,0.8599,0.7411
tstcc,UCI,0.0003,0,1.0,0.85,0.9,0.875
tstcc,WISDM,0.001,0,2.0,0.8036,0.8783,0.841
