encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
cnnpff,device:RealWorld_thigh:10,natural,2,5,1,RealWorld_thigh,0.5006944444444444,0.4018312996353172,0.49441964285714285,0.39701081262536064,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,2,RealWorld_thigh,0.6677083333333333,0.6586116642169262,0.6160714285714286,0.5436822267032189,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,3,RealWorld_thigh,0.6951388888888889,0.6915607097859086,0.6378348214285714,0.5667373562814482,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,4,RealWorld_thigh,0.7107638888888889,0.7067241510223122,0.6356026785714286,0.5657004142824386,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,5,RealWorld_thigh,0.7111111111111111,0.7066529598118708,0.6389508928571429,0.5654959758767546,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,6,RealWorld_thigh,0.7302083333333333,0.728343422556275,0.6495535714285714,0.5831178590472114,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,7,RealWorld_thigh,0.7201388888888889,0.7202804028654034,0.6662946428571429,0.5995018071849046,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,8,RealWorld_thigh,0.6809027777777777,0.686606547307063,0.6886160714285714,0.6259056852964883,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,9,RealWorld_thigh,0.6694444444444444,0.6740785929839324,0.6919642857142857,0.6301020642397608,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
cnnpff,device:RealWorld_thigh:10,natural,2,5,10,RealWorld_thigh,0.6822916666666666,0.6870460047938051,0.6216517857142857,0.5611451380559827,5.5629730224609375,5.5629730224609375,none,full,0,,0.0003
