encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
cnnpff,device:UCI:21,natural,2,5,1,UCI,0.525,0.45123850148146827,0.4875,0.41762946379808163,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,2,UCI,0.746875,0.6767330218915026,0.715625,0.6470834464411749,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,3,UCI,0.76875,0.697242243917786,0.765625,0.6958367825083787,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,4,UCI,0.809375,0.712491445115441,0.75,0.6612068069597064,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,5,UCI,0.85625,0.7527201881911749,0.815625,0.7215792992537178,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,6,UCI,0.84375,0.7443057330456474,0.796875,0.7139741014352896,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,7,UCI,0.8578125,0.7574397806947009,0.828125,0.7426642628145649,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,8,UCI,0.8546875,0.7699809868250346,0.796875,0.7232323232323232,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,9,UCI,0.8625,0.7744356197192926,0.825,0.7504148629148629,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,10,UCI,0.8578125,0.7574385518419431,0.825,0.7384401709401709,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,11,UCI,0.8640625,0.7924081125649785,0.821875,0.7689221088435374,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,12,UCI,0.86875,0.7857617639920532,0.83125,0.7563445005698527,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,13,UCI,0.865625,0.7881128325933979,0.8125,0.7427855577723159,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,14,UCI,0.86875,0.7962364798768545,0.8125,0.756584473206859,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,15,UCI,0.871875,0.810593353267467,0.81875,0.7690583701579552,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,16,UCI,0.8703125,0.8111605806629141,0.815625,0.7660287596308015,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,17,UCI,0.9015625,0.8778239580362307,0.83125,0.8090903643690529,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,18,UCI,0.8828125,0.8430636792575171,0.828125,0.7944814194938894,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,19,UCI,0.8859375,0.8475027526944485,0.83125,0.799641494160689,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,20,UCI,0.90625,0.8867331606209339,0.834375,0.8173127453063683,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,21,UCI,0.8953125,0.8649203122615958,0.8375,0.8097908422444935,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,22,UCI,0.9,0.8753909050666435,0.8375,0.8179556261173986,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,23,UCI,0.8953125,0.8649203122615958,0.840625,0.8146255774018092,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,24,UCI,0.896875,0.8644018466056135,0.8375,0.8077305955259357,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,25,UCI,0.903125,0.8802345488861671,0.846875,0.8295939423701741,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,26,UCI,0.9,0.8663329599605841,0.84375,0.8136249765486188,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,27,UCI,0.9,0.8707309727210808,0.840625,0.8128076631302438,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,28,UCI,0.9015625,0.8722185182699309,0.8375,0.8099167905619519,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,29,UCI,0.8984375,0.8746943062895515,0.846875,0.8284105248656839,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,30,UCI,0.903125,0.8784826884143604,0.85625,0.837462024809924,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,31,UCI,0.9015625,0.8769744881471182,0.85625,0.8372695270528968,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,32,UCI,0.90625,0.8809475525553833,0.85,0.8300949090189536,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,33,UCI,0.9046875,0.8776548100718033,0.8375,0.812934413387015,11.682243347167969,11.682243347167969,none,full,0,,0.001
cnnpff,device:UCI:21,natural,2,5,34,UCI,0.9078125,0.8832423626371735,0.85,0.8298685032176689,11.682243347167969,11.682243347167969,none,full,0,,0.001
