encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
resnetse5,device:RealWorld_waist:10,natural,0,5,1,RealWorld_waist,0.29140625,0.15825160682624115,0.34263392857142855,0.17669882490558808,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,2,RealWorld_waist,0.3390625,0.23016385925778846,0.36886160714285715,0.23154767532963683,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,3,RealWorld_waist,0.37109375,0.2679132912733541,0.40792410714285715,0.27249772923286425,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,4,RealWorld_waist,0.655859375,0.6368006321948493,0.6858258928571429,0.6537021934989029,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,5,RealWorld_waist,0.600390625,0.5382789662579056,0.5424107142857143,0.4738314859887674,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,6,RealWorld_waist,0.565234375,0.47065087753032087,0.5011160714285714,0.4136926122134968,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,7,RealWorld_waist,0.52734375,0.4209168294124384,0.5407366071428571,0.4291072403179957,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,8,RealWorld_waist,0.63984375,0.5916123679828204,0.5714285714285714,0.49579800859089856,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,9,RealWorld_waist,0.558984375,0.49183742874248854,0.6462053571428571,0.5819438701238128,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,10,RealWorld_waist,0.609375,0.5527997362656155,0.5161830357142857,0.41247189648315824,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,11,RealWorld_waist,0.56328125,0.5117472643696487,0.6077008928571429,0.5379502709994562,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,12,RealWorld_waist,0.62421875,0.5709474487992379,0.6551339285714286,0.6056376128391854,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,13,RealWorld_waist,0.5953125,0.5351907245376083,0.6635044642857143,0.6122046010715699,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,14,RealWorld_waist,0.609765625,0.5508852336049876,0.5680803571428571,0.5266026607594528,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,15,RealWorld_waist,0.630859375,0.5898055133918512,0.6501116071428571,0.6070293556423648,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,16,RealWorld_waist,0.63828125,0.5951101500103284,0.6082589285714286,0.5551381891578915,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,17,RealWorld_waist,0.5171875,0.44487805622524146,0.5178571428571429,0.42245894189506045,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,18,RealWorld_waist,0.626953125,0.585517526894367,0.6099330357142857,0.5760902534027679,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,19,RealWorld_waist,0.61328125,0.6115959494136701,0.7008928571428571,0.6699093478281603,5.230560302734375,5.230560302734375,none,1,0,,0.01
resnetse5,device:RealWorld_waist:10,natural,0,5,20,RealWorld_waist,0.4765625,0.3941326151789126,0.49497767857142855,0.427295831935737,5.230560302734375,5.230560302734375,none,1,0,,0.01
