encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
resnetse5,device:UCI:21,natural,1,5,1,UCI,0.353125,0.21246006389776356,0.3625,0.21778859151121926,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,2,UCI,0.7,0.5779741392335294,0.65625,0.5176322567626915,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,3,UCI,0.7828125,0.676765654197524,0.80625,0.706208600617724,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,4,UCI,0.840625,0.7313799749483504,0.84375,0.743506751935614,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,5,UCI,0.8234375,0.7157220190669196,0.846875,0.7448847514604418,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,6,UCI,0.8203125,0.7127931687061833,0.8375,0.7376202624736153,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,7,UCI,0.8484375,0.7385909891409596,0.840625,0.7421136095588651,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,8,UCI,0.7671875,0.6980257773990772,0.79375,0.7299470899470899,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,9,UCI,0.7765625,0.7066379981461096,0.790625,0.7235885124922202,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,10,UCI,0.853125,0.809980027359351,0.80625,0.774316951960883,10.984176635742188,10.984176635742188,none,4,0,,0.003
resnetse5,device:UCI:21,natural,1,5,11,UCI,0.7734375,0.7079159313300882,0.79375,0.7332147313397174,10.984176635742188,10.984176635742188,none,4,0,,0.003
