encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
rnn,device:RealWorld_thigh:10,natural,1,5,1,RealWorld_thigh,0.25069444444444444,0.17452088771567234,0.22823660714285715,0.13561187097123487,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,2,RealWorld_thigh,0.33402777777777776,0.2924470326575738,0.3236607142857143,0.27277322920536834,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,3,RealWorld_thigh,0.3194444444444444,0.2761350969458645,0.30580357142857145,0.24017220751313073,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,4,RealWorld_thigh,0.28194444444444444,0.19428555987420612,0.27566964285714285,0.17814254366872548,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,5,RealWorld_thigh,0.346875,0.24660359633551132,0.32924107142857145,0.22528068925254266,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,6,RealWorld_thigh,0.29305555555555557,0.21009488744265448,0.29296875,0.21053282357911426,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,7,RealWorld_thigh,0.3684027777777778,0.28607091346859914,0.34207589285714285,0.26407158310551027,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,8,RealWorld_thigh,0.3545138888888889,0.28211282155249523,0.3392857142857143,0.25611062346803753,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,9,RealWorld_thigh,0.40347222222222223,0.3712485449020251,0.3984375,0.35821758522719743,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,10,RealWorld_thigh,0.41388888888888886,0.3468573942989717,0.36941964285714285,0.2995420731747019,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,11,RealWorld_thigh,0.3927083333333333,0.33107676279696724,0.3677455357142857,0.28772869789340233,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,12,RealWorld_thigh,0.4423611111111111,0.40453565599511226,0.4017857142857143,0.3505226065310547,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,13,RealWorld_thigh,0.3614583333333333,0.3080845753210138,0.35825892857142855,0.2934079058359594,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,14,RealWorld_thigh,0.42604166666666665,0.36729108729256227,0.40457589285714285,0.3426798589455031,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,15,RealWorld_thigh,0.39166666666666666,0.3461761211872281,0.38392857142857145,0.3193769127800849,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,16,RealWorld_thigh,0.4128472222222222,0.35155973175576566,0.36439732142857145,0.31246196086058614,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,17,RealWorld_thigh,0.34791666666666665,0.3339732034758731,0.375,0.34183682064951104,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,18,RealWorld_thigh,0.4239583333333333,0.38257355124223147,0.3939732142857143,0.34583999004387694,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,19,RealWorld_thigh,0.3746527777777778,0.322314316816179,0.36049107142857145,0.3067900049883183,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,20,RealWorld_thigh,0.4201388888888889,0.3835323122468379,0.38839285714285715,0.34136609153355874,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,21,RealWorld_thigh,0.3614583333333333,0.3417702566128598,0.3247767857142857,0.29950716484364137,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
rnn,device:RealWorld_thigh:10,natural,1,5,22,RealWorld_thigh,0.4444444444444444,0.39412751382636624,0.41685267857142855,0.35746727481635193,6.5224456787109375,6.5224456787109375,none,2,0,,0.03
