encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
rnn,device:UCI:21,natural,2,5,1,UCI,0.2765625,0.20929971889255436,0.278125,0.19394977177778722,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,2,UCI,0.4203125,0.3079295238549532,0.415625,0.3036929303347961,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,3,UCI,0.4578125,0.33487461673041413,0.465625,0.34771349643596344,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,4,UCI,0.453125,0.3398393558304303,0.459375,0.33964270562329957,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,5,UCI,0.459375,0.36848483388516273,0.4625,0.3753789949487468,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,6,UCI,0.4953125,0.44404678890338234,0.478125,0.43858717622922416,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,7,UCI,0.5453125,0.48426094196051295,0.525,0.4705459643772845,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,8,UCI,0.5140625,0.46141457534035074,0.53125,0.4724101407188742,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,9,UCI,0.59375,0.5459922585398614,0.59375,0.5537638050888775,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,10,UCI,0.5484375,0.4955866847572018,0.590625,0.5330531811850552,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,11,UCI,0.6265625,0.5569871579124095,0.65,0.569024008800149,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,12,UCI,0.6328125,0.6138553299093398,0.6375,0.6131430102225504,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,13,UCI,0.5859375,0.5445704748609831,0.634375,0.5863787741153456,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,14,UCI,0.584375,0.5360570775767173,0.63125,0.5741908995012442,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,15,UCI,0.5984375,0.5486691469131988,0.6375,0.5818748983870277,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,16,UCI,0.6703125,0.5762225964589499,0.7,0.613192893128377,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,17,UCI,0.60625,0.5491954914522349,0.6375,0.572785072345766,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,18,UCI,0.690625,0.5966946104154005,0.7,0.6148255161719159,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,19,UCI,0.6234375,0.5630222029584541,0.65,0.5866210422137914,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,20,UCI,0.63125,0.5754665254078786,0.653125,0.589524918456153,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,21,UCI,0.6265625,0.5701116436755929,0.6625,0.6034793900948341,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,22,UCI,0.640625,0.5870439691127196,0.671875,0.6118069151977777,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,23,UCI,0.6609375,0.6076152688945256,0.68125,0.6195502195257533,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,24,UCI,0.65625,0.6043660343608133,0.684375,0.623117240025519,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,25,UCI,0.6640625,0.605079133709712,0.69375,0.6304920850115547,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,26,UCI,0.678125,0.6543913810014322,0.728125,0.707486029920029,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,27,UCI,0.68125,0.6301490762057094,0.696875,0.6375214142841638,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,28,UCI,0.6859375,0.6607623675162784,0.721875,0.7017542392642632,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,29,UCI,0.690625,0.6383333056302198,0.7,0.6434513419143897,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,30,UCI,0.7671875,0.7122180480882806,0.765625,0.7096463351859202,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,31,UCI,0.6953125,0.637353663106994,0.715625,0.654342356628784,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,32,UCI,0.7078125,0.6894482611852245,0.746875,0.7330687219665281,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,33,UCI,0.69375,0.6370666801465094,0.696875,0.6379333046999779,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,34,UCI,0.7875,0.7071159153187715,0.771875,0.696554289832396,13.697135925292969,13.697135925292969,none,4,0,,0.001
rnn,device:UCI:21,natural,2,5,35,UCI,0.7125,0.6530977857708877,0.715625,0.6529503829503829,13.697135925292969,13.697135925292969,none,4,0,,0.001
