encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
rnn,device:WISDM:36,natural,1,5,1,WISDM,0.378125,0.2878179291296407,0.34598214285714285,0.2666746570795331,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,2,WISDM,0.508203125,0.38546624256167894,0.5279017857142857,0.39231271125008954,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,3,WISDM,0.491015625,0.33958052593308363,0.5044642857142857,0.3474342049146915,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,4,WISDM,0.58359375,0.4997851810468541,0.5758928571428571,0.47897238955641075,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,5,WISDM,0.501171875,0.3788633447227479,0.4732142857142857,0.36074852455104534,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,6,WISDM,0.52421875,0.5212252682994514,0.5212053571428571,0.514662741271443,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,7,WISDM,0.53984375,0.4056728796028271,0.5591517857142857,0.41094873992178826,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,8,WISDM,0.511328125,0.4241053053124745,0.5200892857142857,0.42410797355994556,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,9,WISDM,0.5,0.35430479355426314,0.49107142857142855,0.3611143977165711,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,10,WISDM,0.535546875,0.45414646688203936,0.4966517857142857,0.42075844059750833,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,11,WISDM,0.552734375,0.4393451041172818,0.5959821428571429,0.47916665906027606,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,12,WISDM,0.629296875,0.5415921836647324,0.6127232142857143,0.5119868654311938,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,13,WISDM,0.56875,0.4744579484911414,0.5569196428571429,0.4686355760271099,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,14,WISDM,0.6265625,0.5453420571022684,0.5993303571428571,0.5035962905573064,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,15,WISDM,0.595703125,0.49281461810151517,0.6261160714285714,0.5099505076302309,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,16,WISDM,0.605859375,0.5280529390253617,0.5580357142857143,0.48571778229131723,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,17,WISDM,0.64140625,0.5643449345224085,0.6350446428571429,0.5420062491164226,23.480804443359375,23.480804443359375,none,2,0,,0.03
rnn,device:WISDM:36,natural,1,5,18,WISDM,0.64375,0.5582211676450755,0.6551339285714286,0.5544363237442546,23.480804443359375,23.480804443359375,none,2,0,,0.03
