encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
rnn,device:WISDM:36,natural,2,5,1,WISDM,0.6078125,0.5175009479609958,0.6372767857142857,0.5328315628597047,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,2,WISDM,0.648828125,0.5693828452083012,0.6930803571428571,0.5949103062945995,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,3,WISDM,0.66171875,0.5743607573400193,0.7310267857142857,0.6258567447724074,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,4,WISDM,0.684375,0.6023097346638342,0.7399553571428571,0.6370846673740561,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,5,WISDM,0.72265625,0.6385611041505027,0.7678571428571429,0.6638954976360717,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,6,WISDM,0.723828125,0.6416512980945295,0.75,0.6476733510665407,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,7,WISDM,0.7203125,0.633901130384956,0.765625,0.6619728366595812,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,8,WISDM,0.7328125,0.6468748300655762,0.7377232142857143,0.6362373767960539,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,9,WISDM,0.723046875,0.6400911144404676,0.7566964285714286,0.6601328241477312,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,10,WISDM,0.74375,0.6567882425223805,0.7399553571428571,0.6373810820810698,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,11,WISDM,0.7,0.6119724415745538,0.7790178571428571,0.6715127761293063,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,12,WISDM,0.728125,0.6451864470833553,0.7488839285714286,0.6425931647622939,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,13,WISDM,0.7109375,0.630200132741372,0.7645089285714286,0.6619891577399223,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,14,WISDM,0.71484375,0.6339605552142564,0.7254464285714286,0.6241894590806978,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,15,WISDM,0.725,0.6401366820215189,0.765625,0.6596125022684468,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,16,WISDM,0.72734375,0.6417273411245787,0.7645089285714286,0.6567334626158156,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,17,WISDM,0.71328125,0.6285327430510821,0.7834821428571429,0.6742529476429704,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,18,WISDM,0.72109375,0.6365626065116521,0.7511160714285714,0.6483397125307628,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,19,WISDM,0.716796875,0.6325422674349629,0.7678571428571429,0.6609529430501297,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,20,WISDM,0.67265625,0.5856798416248683,0.7734375,0.6684503017749195,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,21,WISDM,0.729296875,0.6419101155561111,0.7433035714285714,0.6339412585725137,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,22,WISDM,0.6953125,0.6100278566349248,0.78125,0.673694766825802,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,23,WISDM,0.71484375,0.6283687709023611,0.7767857142857143,0.6697282405355666,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,24,WISDM,0.696484375,0.6105806176708033,0.7745535714285714,0.6701082529241662,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,25,WISDM,0.716015625,0.6330499402337992,0.7589285714285714,0.6542689635404868,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,26,WISDM,0.70859375,0.6245704373281724,0.7767857142857143,0.6707509634260003,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,27,WISDM,0.698046875,0.6159551171403708,0.7767857142857143,0.6717635867317395,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,28,WISDM,0.712109375,0.6275197825483391,0.7767857142857143,0.6717635867317395,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,29,WISDM,0.701171875,0.6189368186057905,0.7767857142857143,0.6717635867317395,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,30,WISDM,0.710546875,0.6278568091547612,0.7823660714285714,0.6745097698847751,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,31,WISDM,0.709765625,0.6252369571728438,0.7890625,0.6777285519990304,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,32,WISDM,0.694140625,0.6112311423448389,0.78125,0.6739652477316839,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,33,WISDM,0.709375,0.6273347134061389,0.7756696428571429,0.6707046105557203,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,34,WISDM,0.7078125,0.6243140159478218,0.7767857142857143,0.671235050260474,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,35,WISDM,0.70390625,0.6206016306991973,0.7845982142857143,0.6755918480226875,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,36,WISDM,0.710546875,0.6275100981730503,0.7790178571428571,0.6725986812848814,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,37,WISDM,0.706640625,0.6255831325254809,0.7779017857142857,0.6723175683872331,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,38,WISDM,0.71328125,0.6309632381077803,0.78125,0.6739652477316839,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,39,WISDM,0.705859375,0.6239012393016323,0.7767857142857143,0.6717635867317395,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,40,WISDM,0.712109375,0.6304522661603491,0.7712053571428571,0.6676991618233685,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,41,WISDM,0.705078125,0.6242494579911384,0.7756696428571429,0.6712072016851159,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,42,WISDM,0.717578125,0.6330415608366159,0.7879464285714286,0.6766691966799696,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,43,WISDM,0.708203125,0.6268292601998702,0.7756696428571429,0.6707046105557203,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,44,WISDM,0.709375,0.6263158683998278,0.7845982142857143,0.6755918480226875,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,45,WISDM,0.7046875,0.6238303611011755,0.7779017857142857,0.6720470874813513,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,46,WISDM,0.704296875,0.6230365323043311,0.7857142857142857,0.6761294336507779,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,47,WISDM,0.709375,0.6268931400033777,0.7857142857142857,0.6761294336507779,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,48,WISDM,0.70078125,0.6183513719874241,0.78125,0.6734367112604183,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,49,WISDM,0.708984375,0.62795775122687,0.7779017857142857,0.671810070506021,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,50,WISDM,0.70390625,0.6216257498238589,0.78125,0.6739652477316839,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,51,WISDM,0.70859375,0.6275254904564997,0.78125,0.6734505447271405,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,52,WISDM,0.703515625,0.6223549208375564,0.7801339285714286,0.6729060618486105,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,53,WISDM,0.715625,0.6346218353995985,0.78125,0.6734505447271405,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,54,WISDM,0.70703125,0.6257580393479583,0.7823660714285714,0.6734549317687608,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,55,WISDM,0.707421875,0.6252594135208845,0.7823660714285714,0.6739812334135094,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,56,WISDM,0.70234375,0.6215490690250298,0.7700892857142857,0.6639263623901952,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,57,WISDM,0.716015625,0.6326326876547642,0.78125,0.6729104096156696,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,58,WISDM,0.708984375,0.627512152582097,0.7756696428571429,0.6672834059234567,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,59,WISDM,0.7125,0.6324677559633111,0.7790178571428571,0.6710547113148327,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,60,WISDM,0.710546875,0.6299763443189815,0.7779017857142857,0.6727356880611853,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,61,WISDM,0.718359375,0.6368255785358297,0.7767857142857143,0.670389416814271,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,62,WISDM,0.714453125,0.6336044598518199,0.7767857142857143,0.6714193558700969,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,63,WISDM,0.725390625,0.6442865393795609,0.7790178571428571,0.6710460219970525,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,64,WISDM,0.715234375,0.6347977289128974,0.7823660714285714,0.6724038928542885,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,65,WISDM,0.717578125,0.6370362293739704,0.7712053571428571,0.6652727109328346,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,66,WISDM,0.7171875,0.636495765096077,0.7756696428571429,0.6672834059234567,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,67,WISDM,0.717578125,0.639733450237011,0.7712053571428571,0.6681190496230888,23.480804443359375,23.480804443359375,none,full,0,,0.01
rnn,device:WISDM:36,natural,2,5,68,WISDM,0.721484375,0.6399931148601004,0.7834821428571429,0.6758063192614766,23.480804443359375,23.480804443359375,none,full,0,,0.01
