encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
tstcc,device:MotionSense:17,natural,2,5,1,MotionSense,0.345703125,0.18064220835777386,0.3645833333333333,0.1851319090087771,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,2,MotionSense,0.345703125,0.18064220835777386,0.3645833333333333,0.1851319090087771,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,3,MotionSense,0.3525390625,0.19179330901376268,0.375,0.20276136818295679,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,4,MotionSense,0.431640625,0.3155845119167084,0.3932291666666667,0.25220955260389816,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,5,MotionSense,0.484375,0.36478187429102,0.515625,0.38283215223964046,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,6,MotionSense,0.568359375,0.49919749970328886,0.5234375,0.4353641166153123,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,7,MotionSense,0.5888671875,0.5010704793668878,0.5729166666666666,0.4740652320540442,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,8,MotionSense,0.626953125,0.5298291097769885,0.5911458333333334,0.5000198531930345,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,9,MotionSense,0.623046875,0.5543610813050905,0.5885416666666666,0.4769240081748846,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,10,MotionSense,0.6748046875,0.6152031253421125,0.6119791666666666,0.5513865006654377,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,11,MotionSense,0.6875,0.6321147633636199,0.6458333333333334,0.5904108814253911,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,12,MotionSense,0.5673828125,0.5548908143675431,0.5260416666666666,0.5170914464221666,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,13,MotionSense,0.73046875,0.6806698263250688,0.6640625,0.6087558868045129,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,14,MotionSense,0.6728515625,0.6179991846354745,0.671875,0.6205107197852096,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,15,MotionSense,0.7666015625,0.7195663992010276,0.6510416666666666,0.5555308432539733,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,16,MotionSense,0.771484375,0.720978019616256,0.6901041666666666,0.6423738877198714,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,17,MotionSense,0.75390625,0.7050846446184846,0.6979166666666666,0.6532211121604233,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,18,MotionSense,0.7373046875,0.6832108449651408,0.6901041666666666,0.644085592981188,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,19,MotionSense,0.7705078125,0.7198345457764784,0.71875,0.6774892090378143,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,20,MotionSense,0.7646484375,0.7153364747446972,0.7109375,0.664981591976053,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,21,MotionSense,0.765625,0.7147250913653007,0.7317708333333334,0.6950253956351982,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,22,MotionSense,0.77734375,0.7280232522627963,0.7213541666666666,0.6773221479252797,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,23,MotionSense,0.78515625,0.7361130556379271,0.7083333333333334,0.6491202476276292,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,24,MotionSense,0.775390625,0.725314228252319,0.7447916666666666,0.7042156767876864,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,25,MotionSense,0.7861328125,0.7370423173615825,0.7161458333333334,0.672571762158141,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,26,MotionSense,0.78125,0.7316012708374231,0.7239583333333334,0.6770779895917607,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,27,MotionSense,0.7783203125,0.7282940337620437,0.7395833333333334,0.6957145463522059,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,28,MotionSense,0.7705078125,0.7204209604336516,0.7473958333333334,0.7138766687354727,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,29,MotionSense,0.77734375,0.7281473209963817,0.7421875,0.7062711778829103,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,30,MotionSense,0.7841796875,0.735481112065053,0.7395833333333334,0.7018335200569092,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,31,MotionSense,0.7880859375,0.7395867616421684,0.7291666666666666,0.6888942520715919,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,32,MotionSense,0.7802734375,0.7309618438358522,0.7421875,0.7075900113633931,216.0535125732422,216.0535125732422,none,4,0,,0.003
tstcc,device:MotionSense:17,natural,2,5,33,MotionSense,0.77734375,0.7270534915533179,0.75,0.7142148683202908,216.0535125732422,216.0535125732422,none,4,0,,0.003
