encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
tstcc,device:UCI:21,natural,2,5,1,UCI,0.375,0.251276838874076,0.365625,0.22416595460058691,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,2,UCI,0.596875,0.5383093748677565,0.615625,0.555108254880324,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,3,UCI,0.68125,0.6185639465670334,0.66875,0.5994924933846442,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,4,UCI,0.53125,0.4625431317425538,0.578125,0.48337967445514163,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,5,UCI,0.6390625,0.5577274126603186,0.65625,0.5452547594100698,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,6,UCI,0.628125,0.5841609470876398,0.646875,0.5904610264433577,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,7,UCI,0.6484375,0.5917009307781818,0.690625,0.6074789775038527,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,8,UCI,0.678125,0.6301030767917222,0.725,0.6704535297745423,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,9,UCI,0.66875,0.6082799432591244,0.71875,0.6414526917943718,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,10,UCI,0.703125,0.6222726029369687,0.709375,0.6181846046673634,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,11,UCI,0.6953125,0.6073740825351505,0.746875,0.6532129891965959,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,12,UCI,0.725,0.6296278124000718,0.740625,0.6437837077861823,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,13,UCI,0.7515625,0.6530118440277468,0.778125,0.6820309055289939,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,14,UCI,0.7734375,0.673570755323603,0.796875,0.6994595615537499,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,15,UCI,0.7828125,0.6821900657054197,0.8,0.703768585524683,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,16,UCI,0.8109375,0.70884887543324,0.828125,0.7387890378129652,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,17,UCI,0.803125,0.7008399550455464,0.825,0.7289318446515305,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,18,UCI,0.8,0.6986788903115428,0.821875,0.7275362318840579,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,19,UCI,0.815625,0.732907860015344,0.828125,0.7439490491957517,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,20,UCI,0.778125,0.6769668091831542,0.790625,0.6979223713997353,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,21,UCI,0.803125,0.7258333959268496,0.821875,0.7514869861993485,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,22,UCI,0.809375,0.7289654320669651,0.81875,0.7362754129328823,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,23,UCI,0.7984375,0.7189528160482401,0.825,0.7575123249934911,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,24,UCI,0.80625,0.7262737919393369,0.825,0.7534333201277225,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,25,UCI,0.7984375,0.7215720478213555,0.815625,0.749526651327773,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,26,UCI,0.8109375,0.7329155973314162,0.815625,0.749526651327773,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,27,UCI,0.8,0.725984383219398,0.809375,0.7452852217002286,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,28,UCI,0.79375,0.720660130471803,0.803125,0.7402412975324115,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,29,UCI,0.8109375,0.7355717141913264,0.821875,0.7563558075600738,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,30,UCI,0.8078125,0.7339382640904646,0.809375,0.7481073644171381,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,31,UCI,0.8078125,0.7339382640904646,0.81875,0.7542983518870876,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,32,UCI,0.7859375,0.7269506980085678,0.796875,0.7536802728166002,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,33,UCI,0.80625,0.7321608232057969,0.825,0.7601963132968288,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,34,UCI,0.79375,0.7246580658181616,0.809375,0.7583934010774501,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,35,UCI,0.8140625,0.7520921087349334,0.821875,0.7736721750419213,266.88963317871094,266.88963317871094,none,2,0,,0.0003
tstcc,device:UCI:21,natural,2,5,36,UCI,0.809375,0.7455141189003752,0.815625,0.7643606430553305,266.88963317871094,266.88963317871094,none,2,0,,0.0003
