encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:UCI:21,natural,2,5,1,UCI,0.546875,0.4390036522085416,0.50625,0.40015437885917987,266.88963317871094,266.88963317871094,none,full,0,,0.0003,1.0174075722694398
tstcc,device:UCI:21,natural,2,5,2,UCI,0.7359375,0.6382761581471578,0.709375,0.6158503476677912,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.7031137049198151
tstcc,device:UCI:21,natural,2,5,3,UCI,0.7796875,0.6817483503267536,0.809375,0.7102514278984866,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.519752062857151
tstcc,device:UCI:21,natural,2,5,4,UCI,0.83125,0.7233414172964734,0.840625,0.7390016103059581,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3629712015390396
tstcc,device:UCI:21,natural,2,5,5,UCI,0.8296875,0.7225813840286992,0.834375,0.7362271200968664,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3041287507861853
tstcc,device:UCI:21,natural,2,5,6,UCI,0.834375,0.7276417382299867,0.8375,0.7391713197034416,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.28682752177119253
tstcc,device:UCI:21,natural,2,5,7,UCI,0.8453125,0.7501255219730827,0.8375,0.7391713197034416,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2728791365399957
tstcc,device:UCI:21,natural,2,5,8,UCI,0.8421875,0.747698150045265,0.834375,0.7377627834882757,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.266834110673517
tstcc,device:UCI:21,natural,2,5,9,UCI,0.8390625,0.759309321157897,0.84375,0.7783024211601246,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2695275962585583
tstcc,device:UCI:21,natural,2,5,10,UCI,0.8421875,0.7402806941895164,0.8375,0.7391713197034416,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26689929510466753
tstcc,device:UCI:21,natural,2,5,11,UCI,0.771875,0.712209227229666,0.79375,0.7363385968707188,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2727027985267341
tstcc,device:UCI:21,natural,2,5,12,UCI,0.8375,0.7502283160573286,0.834375,0.7446803042363538,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2749621530645527
tstcc,device:UCI:21,natural,2,5,13,UCI,0.8421875,0.7435450427034282,0.8375,0.7391713197034416,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2640265114721842
tstcc,device:UCI:21,natural,2,5,14,UCI,0.8421875,0.7721640832285994,0.83125,0.7697116127437347,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2679129039912368
tstcc,device:UCI:21,natural,2,5,15,UCI,0.8375,0.7629382714096664,0.834375,0.771856583157936,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2769157119124429
tstcc,device:UCI:21,natural,2,5,16,UCI,0.846875,0.7546150526550197,0.8375,0.7527514141824125,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2617206292314222
tstcc,device:UCI:21,natural,2,5,17,UCI,0.8390625,0.7825807925360302,0.83125,0.7813474152128705,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2771645950517268
tstcc,device:UCI:21,natural,2,5,18,UCI,0.8453125,0.7695330606166667,0.834375,0.771856583157936,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26496754484032864
tstcc,device:UCI:21,natural,2,5,19,UCI,0.8375,0.7811941053119821,0.83125,0.7813474152128705,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.28171636243496323
tstcc,device:UCI:21,natural,2,5,20,UCI,0.8453125,0.7796985450805571,0.8375,0.7860819413629873,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26763641953366457
tstcc,device:UCI:21,natural,2,5,21,UCI,0.8453125,0.772578031601095,0.83125,0.7738900146631005,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26580457074633157
tstcc,device:UCI:21,natural,2,5,22,UCI,0.8375,0.7909460714723873,0.825,0.7880637430695494,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2682636251150143
tstcc,device:UCI:21,natural,2,5,23,UCI,0.8390625,0.7715142890151478,0.8375,0.7860819413629873,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.27471690160145956
tstcc,device:UCI:21,natural,2,5,24,UCI,0.8484375,0.7799247885596841,0.840625,0.7890242312184106,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2600306012249348
tstcc,device:UCI:21,natural,2,5,25,UCI,0.8296875,0.7964885077947524,0.809375,0.7837744614713934,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2785967697383967
tstcc,device:UCI:21,natural,2,5,26,UCI,0.85,0.7813345873663327,0.840625,0.7890242312184106,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2591818013253942
tstcc,device:UCI:21,natural,2,5,27,UCI,0.8421875,0.7849686391435129,0.834375,0.7837136005754106,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2812013324468808
tstcc,device:UCI:21,natural,2,5,28,UCI,0.846875,0.8035709684200534,0.821875,0.788049655494911,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.261505284652776
tstcc,device:UCI:21,natural,2,5,29,UCI,0.85,0.7837733802990593,0.8375,0.7860819413629873,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2696058708282635
tstcc,device:UCI:21,natural,2,5,30,UCI,0.8515625,0.7976739647883524,0.840625,0.7952186404170207,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2680593935706611
tstcc,device:UCI:21,natural,2,5,31,UCI,0.8546875,0.7949306076832416,0.84375,0.7954144620811288,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.25622937424766407
tstcc,device:UCI:21,natural,2,5,32,UCI,0.853125,0.7884655841815466,0.846875,0.797345608549831,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2652596344512631
tstcc,device:UCI:21,natural,2,5,33,UCI,0.84375,0.7942424242424242,0.834375,0.7983357839311971,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2837028104606702
tstcc,device:UCI:21,natural,2,5,34,UCI,0.853125,0.7863968180438368,0.846875,0.797345608549831,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26597456036340644
tstcc,device:UCI:21,natural,2,5,35,UCI,0.85,0.7898556149458289,0.8375,0.7922325828337993,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2833627301917033
tstcc,device:UCI:21,natural,2,5,36,UCI,0.8515625,0.7911586191586192,0.840625,0.7952186404170207,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.27979286722670055
tstcc,device:UCI:21,natural,2,5,37,UCI,0.853125,0.7988211252678253,0.846875,0.8037253311705866,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2794805403779833
tstcc,device:UCI:21,natural,2,5,38,UCI,0.859375,0.8001670411285493,0.84375,0.7981609302724442,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.26686379684701933
tstcc,device:UCI:21,natural,2,5,39,UCI,0.846875,0.7867793303587829,0.846875,0.8002157789340838,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29364667228671093
tstcc,device:UCI:21,natural,2,5,40,UCI,0.846875,0.7988721851596949,0.846875,0.8092044134917742,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.27922225740398404
tstcc,device:UCI:21,natural,2,5,41,UCI,0.8484375,0.7961305319581709,0.84375,0.8036271512478809,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29770509150160934
tstcc,device:UCI:21,natural,2,5,42,UCI,0.8609375,0.803612945499206,0.840625,0.795669775615031,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.27920238003091524
tstcc,device:UCI:21,natural,2,5,43,UCI,0.8515625,0.795074940606089,0.8375,0.7927274857596078,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2902362323701439
tstcc,device:UCI:21,natural,2,5,44,UCI,0.8609375,0.8015440380688046,0.853125,0.8056669858812514,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.28714520335191906
tstcc,device:UCI:21,natural,2,5,45,UCI,0.853125,0.7926154695639278,0.853125,0.8056669858812514,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.28771291039875846
tstcc,device:UCI:21,natural,2,5,46,UCI,0.8515625,0.7889799487023568,0.846875,0.7997386384426065,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30217361338425375
tstcc,device:UCI:21,natural,2,5,47,UCI,0.8609375,0.8016147160725208,0.853125,0.8056669858812514,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2774910952340946
tstcc,device:UCI:21,natural,2,5,48,UCI,0.8578125,0.7988241537311531,0.853125,0.8088399696185583,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2932994145899734
tstcc,device:UCI:21,natural,2,5,49,UCI,0.85,0.7872832722158947,0.85625,0.8077709931223922,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30185465663624955
tstcc,device:UCI:21,natural,2,5,50,UCI,0.8625,0.8049370515335335,0.85,0.806279205139035,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2894074860936353
tstcc,device:UCI:21,natural,2,5,51,UCI,0.8515625,0.7889799487023568,0.859375,0.8107132829778155,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29574585743246046
tstcc,device:UCI:21,natural,2,5,52,UCI,0.8625,0.8048986359736177,0.85625,0.8114091579688439,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29143882803618626
tstcc,device:UCI:21,natural,2,5,53,UCI,0.8546875,0.7894245595075468,0.859375,0.8107132829778155,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29157204777000906
tstcc,device:UCI:21,natural,2,5,54,UCI,0.85625,0.7994456079719237,0.859375,0.8170233911353133,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3007200010120744
tstcc,device:UCI:21,natural,2,5,55,UCI,0.853125,0.7961731325147101,0.85625,0.8110460733572484,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3104932647198197
tstcc,device:UCI:21,natural,2,5,56,UCI,0.8625,0.8048672247059301,0.8625,0.816579243427484,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.29694346897303914
tstcc,device:UCI:21,natural,2,5,57,UCI,0.8640625,0.8060754584960506,0.8625,0.816579243427484,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30454540364440846
