encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:WISDM:36,natural,0,5,1,WISDM,0.526171875,0.37772772037574925,0.5256696428571429,0.3449671219018715,457.52508544921875,457.52508544921875,none,2,0,,0.0003,1.1332655378750391
tstcc,device:WISDM:36,natural,0,5,2,WISDM,0.553125,0.4246387895957411,0.6071428571428571,0.48120558686596426,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7227655670472554
tstcc,device:WISDM:36,natural,0,5,3,WISDM,0.565234375,0.46303709249412817,0.6674107142857143,0.5663761461856064,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6247296787000128
tstcc,device:WISDM:36,natural,0,5,4,WISDM,0.674609375,0.5926549617361516,0.7879464285714286,0.6771839043517387,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.45986136607825756
tstcc,device:WISDM:36,natural,0,5,5,WISDM,0.684375,0.6038790476320549,0.7868303571428571,0.6763797367397016,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.40634364408573936
tstcc,device:WISDM:36,natural,0,5,6,WISDM,0.698828125,0.6202046813015432,0.7845982142857143,0.6740058808863594,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.39732033679527895
tstcc,device:WISDM:36,natural,0,5,7,WISDM,0.69921875,0.6204171768608462,0.7767857142857143,0.6663280386503069,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.38849118830902235
tstcc,device:WISDM:36,natural,0,5,8,WISDM,0.702734375,0.6233806883529831,0.7779017857142857,0.6673888867534858,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.3807937630585262
tstcc,device:WISDM:36,natural,0,5,9,WISDM,0.7015625,0.622466820143503,0.7723214285714286,0.6620812559292005,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.38391331636479925
tstcc,device:WISDM:36,natural,0,5,10,WISDM,0.705078125,0.6346284408760506,0.7633928571428571,0.654144794804024,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.3883116077631712
tstcc,device:WISDM:36,natural,0,5,11,WISDM,0.707421875,0.6272079654991148,0.7332589285714286,0.6244243758954782,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.45430311001837254
tstcc,device:WISDM:36,natural,0,5,12,WISDM,0.71171875,0.6443040065590904,0.765625,0.6565870016233046,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.37593350280076265
tstcc,device:WISDM:36,natural,0,5,13,WISDM,0.70703125,0.6423204623892025,0.7421875,0.6346046935889548,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.4202020983876927
tstcc,device:WISDM:36,natural,0,5,14,WISDM,0.71640625,0.6364839076896843,0.7354910714285714,0.6263155919054968,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.45180988670992
tstcc,device:WISDM:36,natural,0,5,15,WISDM,0.69296875,0.6220744334476639,0.6863839285714286,0.6057986140355214,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.43848062080464195
tstcc,device:WISDM:36,natural,0,5,16,WISDM,0.716796875,0.6676084049338074,0.71875,0.6239956928564666,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6129069115434375
tstcc,device:WISDM:36,natural,0,5,17,WISDM,0.69921875,0.6346655330451838,0.7154017857142857,0.608254724230045,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.75588114200426
tstcc,device:WISDM:36,natural,0,5,18,WISDM,0.7109375,0.6442135405164081,0.71875,0.6116049016319964,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7074373109498993
tstcc,device:WISDM:36,natural,0,5,19,WISDM,0.712109375,0.6461270580261071,0.7232142857142857,0.6160461892281732,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6096822439493346
tstcc,device:WISDM:36,natural,0,5,20,WISDM,0.711328125,0.6451315536477684,0.71875,0.6116049016319964,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7178991441781234
tstcc,device:WISDM:36,natural,0,5,21,WISDM,0.70625,0.640360863383584,0.71875,0.6116049016319964,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7659053688735834
tstcc,device:WISDM:36,natural,0,5,22,WISDM,0.704296875,0.6382700531879854,0.71875,0.6116049016319964,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.830373240634799
tstcc,device:WISDM:36,natural,0,5,23,WISDM,0.701953125,0.6395799207071476,0.7220982142857143,0.6149045978310348,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7127049609885684
