encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,KuHar,3,finetune,1,KuHar,0.6015625,0.5506146318176394
tstcc,KuHar,3,finetune,1,MotionSense,0.7880859375,0.7794694991715304
tstcc,KuHar,3,finetune,1,RealWorld_thigh,0.6916666666666667,0.6820370872431313
tstcc,KuHar,3,finetune,1,RealWorld_waist,0.530078125,0.4677357456685948
tstcc,KuHar,3,finetune,1,UCI,0.6109375,0.5196707175733178
tstcc,KuHar,3,finetune,1,WISDM,0.62109375,0.4354856592622678
tstcc,KuHar,3,finetune,10,KuHar,0.6953125,0.6475211222700462
tstcc,KuHar,3,finetune,10,MotionSense,0.705078125,0.651305123817168
tstcc,KuHar,3,finetune,10,RealWorld_thigh,0.6215277777777778,0.5650605391608303
tstcc,KuHar,3,finetune,10,RealWorld_waist,0.579296875,0.5126052329297881
tstcc,KuHar,3,finetune,10,UCI,0.596875,0.5298945011325382
tstcc,KuHar,3,finetune,10,WISDM,0.54140625,0.3452345651513993
tstcc,KuHar,3,finetune,100,KuHar,0.6875,0.6346560846560846
tstcc,KuHar,3,finetune,100,MotionSense,0.6728515625,0.6210177626258532
tstcc,KuHar,3,finetune,100,RealWorld_thigh,0.6628472222222223,0.6180950974495678
tstcc,KuHar,3,finetune,100,RealWorld_waist,0.580078125,0.5195292942919073
tstcc,KuHar,3,finetune,100,UCI,0.56875,0.5080451768218323
tstcc,KuHar,3,finetune,100,WISDM,0.56953125,0.36607943453292413
tstcc,KuHar,3,finetune,full,KuHar,0.609375,0.5457837301587302
tstcc,KuHar,3,finetune,full,MotionSense,0.6953125,0.6408029381825636
tstcc,KuHar,3,finetune,full,RealWorld_thigh,0.5913194444444444,0.4938174998171758
tstcc,KuHar,3,finetune,full,RealWorld_waist,0.5359375,0.4642698004533597
tstcc,KuHar,3,finetune,full,UCI,0.6140625,0.5043908637772201
tstcc,KuHar,3,finetune,full,WISDM,0.500390625,0.30197806325721077
tstcc,KuHar,3,linear,1,KuHar,0.578125,0.5056363853356335
tstcc,KuHar,3,linear,1,MotionSense,0.7001953125,0.6609819747740032
tstcc,KuHar,3,linear,1,RealWorld_thigh,0.6180555555555556,0.5631134334536415
tstcc,KuHar,3,linear,1,RealWorld_waist,0.54140625,0.4652972599756848
tstcc,KuHar,3,linear,1,UCI,0.61875,0.4942299585735633
tstcc,KuHar,3,linear,1,WISDM,0.58125,0.38725930640406653
tstcc,KuHar,3,linear,10,KuHar,0.671875,0.6263384126535324
tstcc,KuHar,3,linear,10,MotionSense,0.7255859375,0.6729082879205258
tstcc,KuHar,3,linear,10,RealWorld_thigh,0.6940972222222223,0.6519575837277185
tstcc,KuHar,3,linear,10,RealWorld_waist,0.5546875,0.49646116196671203
tstcc,KuHar,3,linear,10,UCI,0.70625,0.601838527287214
tstcc,KuHar,3,linear,10,WISDM,0.659765625,0.4106202698440107
tstcc,KuHar,3,linear,100,KuHar,0.609375,0.53349357067498
tstcc,KuHar,3,linear,100,MotionSense,0.671875,0.6179160853255617
tstcc,KuHar,3,linear,100,RealWorld_thigh,0.63125,0.5790780045780615
tstcc,KuHar,3,linear,100,RealWorld_waist,0.547265625,0.47813933943295067
tstcc,KuHar,3,linear,100,UCI,0.6921875,0.5788109153652818
tstcc,KuHar,3,linear,100,WISDM,0.703125,0.4257289135111851
tstcc,KuHar,3,linear,full,KuHar,0.6640625,0.6181890642435836
tstcc,KuHar,3,linear,full,MotionSense,0.685546875,0.6314841318826209
tstcc,KuHar,3,linear,full,RealWorld_thigh,0.6680555555555555,0.626294397791665
tstcc,KuHar,3,linear,full,RealWorld_waist,0.576953125,0.5266791859462332
tstcc,KuHar,3,linear,full,UCI,0.721875,0.6198239614044492
tstcc,KuHar,3,linear,full,WISDM,0.6890625,0.42063701229877953
