encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_thigh,3,finetune,1,KuHar,0.2890625,0.19052352189442182
tstcc,RealWorld_thigh,3,finetune,1,MotionSense,0.505859375,0.4414936947393087
tstcc,RealWorld_thigh,3,finetune,1,RealWorld_thigh,0.39861111111111114,0.35739984124733337
tstcc,RealWorld_thigh,3,finetune,1,RealWorld_waist,0.359765625,0.23350388571178035
tstcc,RealWorld_thigh,3,finetune,1,UCI,0.403125,0.27253183975091955
tstcc,RealWorld_thigh,3,finetune,1,WISDM,0.30625,0.1648896605690292
tstcc,RealWorld_thigh,3,finetune,10,KuHar,0.5859375,0.5746995905761684
tstcc,RealWorld_thigh,3,finetune,10,MotionSense,0.7841796875,0.7769735021399833
tstcc,RealWorld_thigh,3,finetune,10,RealWorld_thigh,0.6791666666666667,0.6835754817909635
tstcc,RealWorld_thigh,3,finetune,10,RealWorld_waist,0.64296875,0.6370734353217263
tstcc,RealWorld_thigh,3,finetune,10,UCI,0.740625,0.7151095677707502
tstcc,RealWorld_thigh,3,finetune,10,WISDM,0.641796875,0.43737854603230986
tstcc,RealWorld_thigh,3,finetune,100,KuHar,0.609375,0.5227599585467768
tstcc,RealWorld_thigh,3,finetune,100,MotionSense,0.8193359375,0.8205082789961954
tstcc,RealWorld_thigh,3,finetune,100,RealWorld_thigh,0.6798611111111111,0.6912930132419389
tstcc,RealWorld_thigh,3,finetune,100,RealWorld_waist,0.6703125,0.6720859525329718
tstcc,RealWorld_thigh,3,finetune,100,UCI,0.809375,0.7752645010034259
tstcc,RealWorld_thigh,3,finetune,100,WISDM,0.7640625,0.5199391131259938
tstcc,RealWorld_thigh,3,finetune,full,KuHar,0.578125,0.4890974258716194
tstcc,RealWorld_thigh,3,finetune,full,MotionSense,0.7783203125,0.766389785293546
tstcc,RealWorld_thigh,3,finetune,full,RealWorld_thigh,0.7065972222222222,0.7142310976195642
tstcc,RealWorld_thigh,3,finetune,full,RealWorld_waist,0.684375,0.667384666318077
tstcc,RealWorld_thigh,3,finetune,full,UCI,0.8359375,0.7773662642578305
tstcc,RealWorld_thigh,3,finetune,full,WISDM,0.680859375,0.4760108184828214
tstcc,RealWorld_thigh,3,linear,1,KuHar,0.375,0.2920570722390743
tstcc,RealWorld_thigh,3,linear,1,MotionSense,0.7177734375,0.7181762392932112
tstcc,RealWorld_thigh,3,linear,1,RealWorld_thigh,0.4166666666666667,0.39772173676054695
tstcc,RealWorld_thigh,3,linear,1,RealWorld_waist,0.503515625,0.4874259636558451
tstcc,RealWorld_thigh,3,linear,1,UCI,0.5390625,0.4933751150185623
tstcc,RealWorld_thigh,3,linear,1,WISDM,0.504296875,0.36333468027029464
tstcc,RealWorld_thigh,3,linear,10,KuHar,0.5625,0.5033252604466998
tstcc,RealWorld_thigh,3,linear,10,MotionSense,0.7919921875,0.79206683439619
tstcc,RealWorld_thigh,3,linear,10,RealWorld_thigh,0.6826388888888889,0.690536186883499
tstcc,RealWorld_thigh,3,linear,10,RealWorld_waist,0.626953125,0.6048905770238656
tstcc,RealWorld_thigh,3,linear,10,UCI,0.75,0.6955080715245042
tstcc,RealWorld_thigh,3,linear,10,WISDM,0.6953125,0.48734407047654416
tstcc,RealWorld_thigh,3,linear,100,KuHar,0.609375,0.5323248368009594
tstcc,RealWorld_thigh,3,linear,100,MotionSense,0.8134765625,0.8128494138649592
tstcc,RealWorld_thigh,3,linear,100,RealWorld_thigh,0.6916666666666667,0.6997004425466052
tstcc,RealWorld_thigh,3,linear,100,RealWorld_waist,0.68671875,0.6719923282951834
tstcc,RealWorld_thigh,3,linear,100,UCI,0.821875,0.7686321015151774
tstcc,RealWorld_thigh,3,linear,100,WISDM,0.732421875,0.5028286402842735
tstcc,RealWorld_thigh,3,linear,full,KuHar,0.578125,0.5135045389465528
tstcc,RealWorld_thigh,3,linear,full,MotionSense,0.7841796875,0.778093491871576
tstcc,RealWorld_thigh,3,linear,full,RealWorld_thigh,0.7274305555555556,0.7343703424064566
tstcc,RealWorld_thigh,3,linear,full,RealWorld_waist,0.669921875,0.6742887659973399
tstcc,RealWorld_thigh,3,linear,full,UCI,0.81875,0.7961240736964086
tstcc,RealWorld_thigh,3,linear,full,WISDM,0.713671875,0.49997686992330265
