encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,UCI,1,finetune,1,KuHar,0.359375,0.1824148776152058
tstcc,UCI,1,finetune,1,MotionSense,0.494140625,0.4342008541156251
tstcc,UCI,1,finetune,1,RealWorld_thigh,0.39861111111111114,0.3321936198922686
tstcc,UCI,1,finetune,1,RealWorld_waist,0.4796875,0.44710623658952614
tstcc,UCI,1,finetune,1,UCI,0.775,0.7466266833779833
tstcc,UCI,1,finetune,1,WISDM,0.558984375,0.38416002383197645
tstcc,UCI,1,finetune,10,KuHar,0.421875,0.30896500313873193
tstcc,UCI,1,finetune,10,MotionSense,0.5908203125,0.5378341441625875
tstcc,UCI,1,finetune,10,RealWorld_thigh,0.5711805555555556,0.5146723699781988
tstcc,UCI,1,finetune,10,RealWorld_waist,0.603515625,0.5286623254469013
tstcc,UCI,1,finetune,10,UCI,0.853125,0.7836233445148372
tstcc,UCI,1,finetune,10,WISDM,0.533203125,0.3442655300578798
tstcc,UCI,1,finetune,100,KuHar,0.4453125,0.33464765535843966
tstcc,UCI,1,finetune,100,MotionSense,0.6044921875,0.5677647637411324
tstcc,UCI,1,finetune,100,RealWorld_thigh,0.4847222222222222,0.42383472841296377
tstcc,UCI,1,finetune,100,RealWorld_waist,0.561328125,0.5087546178615928
tstcc,UCI,1,finetune,100,UCI,0.8609375,0.8164261634875354
tstcc,UCI,1,finetune,100,WISDM,0.546875,0.36792982090906384
tstcc,UCI,1,finetune,full,KuHar,0.4921875,0.3817808629641772
tstcc,UCI,1,finetune,full,MotionSense,0.55078125,0.5103471553994006
tstcc,UCI,1,finetune,full,RealWorld_thigh,0.43125,0.34050807971026115
tstcc,UCI,1,finetune,full,RealWorld_waist,0.6140625,0.5540086621537695
tstcc,UCI,1,finetune,full,UCI,0.9375,0.9172161172161172
tstcc,UCI,1,finetune,full,WISDM,0.40390625,0.2916891399669869
tstcc,UCI,1,linear,1,KuHar,0.3984375,0.25504102350159924
tstcc,UCI,1,linear,1,MotionSense,0.53125,0.49557760282497143
tstcc,UCI,1,linear,1,RealWorld_thigh,0.4378472222222222,0.4011941241021319
tstcc,UCI,1,linear,1,RealWorld_waist,0.540625,0.495518666729067
tstcc,UCI,1,linear,1,UCI,0.7921875,0.7484048943926466
tstcc,UCI,1,linear,1,WISDM,0.5640625,0.32475278010911585
tstcc,UCI,1,linear,10,KuHar,0.3828125,0.2856078733787712
tstcc,UCI,1,linear,10,MotionSense,0.638671875,0.603353125515162
tstcc,UCI,1,linear,10,RealWorld_thigh,0.5583333333333333,0.5142145655871532
tstcc,UCI,1,linear,10,RealWorld_waist,0.54140625,0.4937348504733696
tstcc,UCI,1,linear,10,UCI,0.8484375,0.8156606073119071
tstcc,UCI,1,linear,10,WISDM,0.539453125,0.37097232056827734
tstcc,UCI,1,linear,100,KuHar,0.4453125,0.304915824915825
tstcc,UCI,1,linear,100,MotionSense,0.6044921875,0.5710373131012341
tstcc,UCI,1,linear,100,RealWorld_thigh,0.5215277777777778,0.47188142023647933
tstcc,UCI,1,linear,100,RealWorld_waist,0.556640625,0.5040410863670863
tstcc,UCI,1,linear,100,UCI,0.8546875,0.7983300035530702
tstcc,UCI,1,linear,100,WISDM,0.563671875,0.36809846179746897
tstcc,UCI,1,linear,full,KuHar,0.421875,0.2834241490957909
tstcc,UCI,1,linear,full,MotionSense,0.5966796875,0.5595606568497677
tstcc,UCI,1,linear,full,RealWorld_thigh,0.5076388888888889,0.45079129562852766
tstcc,UCI,1,linear,full,RealWorld_waist,0.56875,0.513751622928098
tstcc,UCI,1,linear,full,UCI,0.8609375,0.8200069544725007
tstcc,UCI,1,linear,full,WISDM,0.541796875,0.3524081335527291
