encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,RealWorld_waist,0,finetune,1,KuHar,0.453125,0.3344288992523503
cnnpff,RealWorld_waist,0,finetune,1,MotionSense,0.3154296875,0.20520231102921416
cnnpff,RealWorld_waist,0,finetune,1,RealWorld_thigh,0.33993055555555557,0.2290098937490269
cnnpff,RealWorld_waist,0,finetune,1,RealWorld_waist,0.38203125,0.3063379417310948
cnnpff,RealWorld_waist,0,finetune,1,UCI,0.43125,0.30220014154530045
cnnpff,RealWorld_waist,0,finetune,1,WISDM,0.221875,0.12121368929805194
cnnpff,RealWorld_waist,0,finetune,10,KuHar,0.53125,0.43944595001505565
cnnpff,RealWorld_waist,0,finetune,10,MotionSense,0.408203125,0.33549005065255283
cnnpff,RealWorld_waist,0,finetune,10,RealWorld_thigh,0.32708333333333334,0.23457262924665187
cnnpff,RealWorld_waist,0,finetune,10,RealWorld_waist,0.619921875,0.5846949150869342
cnnpff,RealWorld_waist,0,finetune,10,UCI,0.634375,0.5519668076159496
cnnpff,RealWorld_waist,0,finetune,10,WISDM,0.268359375,0.19574536502403062
cnnpff,RealWorld_waist,0,finetune,100,KuHar,0.578125,0.4792598421754432
cnnpff,RealWorld_waist,0,finetune,100,MotionSense,0.421875,0.3293720122530304
cnnpff,RealWorld_waist,0,finetune,100,RealWorld_thigh,0.40729166666666666,0.342071802411351
cnnpff,RealWorld_waist,0,finetune,100,RealWorld_waist,0.7140625,0.6665979783201733
cnnpff,RealWorld_waist,0,finetune,100,UCI,0.5984375,0.5260753904743357
cnnpff,RealWorld_waist,0,finetune,100,WISDM,0.3421875,0.212201247357901
cnnpff,RealWorld_waist,0,finetune,full,KuHar,0.5625,0.5001096233654373
cnnpff,RealWorld_waist,0,finetune,full,MotionSense,0.392578125,0.31716986459035673
cnnpff,RealWorld_waist,0,finetune,full,RealWorld_thigh,0.4625,0.3769158023576727
cnnpff,RealWorld_waist,0,finetune,full,RealWorld_waist,0.7296875,0.724688889536389
cnnpff,RealWorld_waist,0,finetune,full,UCI,0.6703125,0.5021554287248091
cnnpff,RealWorld_waist,0,finetune,full,WISDM,0.267578125,0.19444637743350088
cnnpff,RealWorld_waist,0,linear,1,KuHar,0.484375,0.39330775788576294
cnnpff,RealWorld_waist,0,linear,1,MotionSense,0.33203125,0.22242379788750832
cnnpff,RealWorld_waist,0,linear,1,RealWorld_thigh,0.35833333333333334,0.25196766387263625
cnnpff,RealWorld_waist,0,linear,1,RealWorld_waist,0.405078125,0.3454785267972671
cnnpff,RealWorld_waist,0,linear,1,UCI,0.446875,0.32610819858782747
cnnpff,RealWorld_waist,0,linear,1,WISDM,0.2296875,0.12726685943777322
cnnpff,RealWorld_waist,0,linear,10,KuHar,0.5546875,0.4599245381212594
cnnpff,RealWorld_waist,0,linear,10,MotionSense,0.4287109375,0.35210818044869985
cnnpff,RealWorld_waist,0,linear,10,RealWorld_thigh,0.36770833333333336,0.27876684444656535
cnnpff,RealWorld_waist,0,linear,10,RealWorld_waist,0.628515625,0.5933792844118658
cnnpff,RealWorld_waist,0,linear,10,UCI,0.60625,0.5343760063038995
cnnpff,RealWorld_waist,0,linear,10,WISDM,0.28125,0.19585813228424317
cnnpff,RealWorld_waist,0,linear,100,KuHar,0.578125,0.4835955241752343
cnnpff,RealWorld_waist,0,linear,100,MotionSense,0.36328125,0.3110368951421362
cnnpff,RealWorld_waist,0,linear,100,RealWorld_thigh,0.2881944444444444,0.21922459789571566
cnnpff,RealWorld_waist,0,linear,100,RealWorld_waist,0.7359375,0.7402975724301458
cnnpff,RealWorld_waist,0,linear,100,UCI,0.634375,0.48981900261726663
cnnpff,RealWorld_waist,0,linear,100,WISDM,0.354296875,0.2328852708300357
cnnpff,RealWorld_waist,0,linear,full,KuHar,0.5546875,0.4683526839477592
cnnpff,RealWorld_waist,0,linear,full,MotionSense,0.3232421875,0.2731800988358803
cnnpff,RealWorld_waist,0,linear,full,RealWorld_thigh,0.3434027777777778,0.26810659462554787
cnnpff,RealWorld_waist,0,linear,full,RealWorld_waist,0.755859375,0.7577022064951806
cnnpff,RealWorld_waist,0,linear,full,UCI,0.6640625,0.49491166527553304
cnnpff,RealWorld_waist,0,linear,full,WISDM,0.315234375,0.20297954745000835
