encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,UCI,2,finetune,1,KuHar,0.1328125,0.10240870240870241
cnnpff,UCI,2,finetune,1,MotionSense,0.1416015625,0.08732474874207158
cnnpff,UCI,2,finetune,1,RealWorld_thigh,0.18125,0.11289284869235734
cnnpff,UCI,2,finetune,1,RealWorld_waist,0.200390625,0.13739691148063285
cnnpff,UCI,2,finetune,1,UCI,0.2796875,0.2112351805900193
cnnpff,UCI,2,finetune,1,WISDM,0.20390625,0.09250398724082935
cnnpff,UCI,2,finetune,10,KuHar,0.375,0.2074966532797858
cnnpff,UCI,2,finetune,10,MotionSense,0.2919921875,0.18968475855345054
cnnpff,UCI,2,finetune,10,RealWorld_thigh,0.29965277777777777,0.17926832382228156
cnnpff,UCI,2,finetune,10,RealWorld_waist,0.371875,0.2917696051836218
cnnpff,UCI,2,finetune,10,UCI,0.69375,0.6585998294656493
cnnpff,UCI,2,finetune,10,WISDM,0.44609375,0.23529838416742335
cnnpff,UCI,2,finetune,100,KuHar,0.3828125,0.23276098901098904
cnnpff,UCI,2,finetune,100,MotionSense,0.3828125,0.3001192126714652
cnnpff,UCI,2,finetune,100,RealWorld_thigh,0.28958333333333336,0.1553135164777434
cnnpff,UCI,2,finetune,100,RealWorld_waist,0.39765625,0.3414530679902288
cnnpff,UCI,2,finetune,100,UCI,0.86875,0.8387361977260659
cnnpff,UCI,2,finetune,100,WISDM,0.528515625,0.3112180329049714
cnnpff,UCI,2,finetune,full,KuHar,0.390625,0.24568805679916791
cnnpff,UCI,2,finetune,full,MotionSense,0.2890625,0.20605919743643406
cnnpff,UCI,2,finetune,full,RealWorld_thigh,0.31631944444444443,0.16804431410308843
cnnpff,UCI,2,finetune,full,RealWorld_waist,0.48125,0.434278632961316
cnnpff,UCI,2,finetune,full,UCI,0.9265625,0.9083217749336929
cnnpff,UCI,2,finetune,full,WISDM,0.45390625,0.24487491229815297
cnnpff,UCI,2,linear,1,KuHar,0.109375,0.07995990376904571
cnnpff,UCI,2,linear,1,MotionSense,0.1376953125,0.09827488426046736
cnnpff,UCI,2,linear,1,RealWorld_thigh,0.18368055555555557,0.12145999464044925
cnnpff,UCI,2,linear,1,RealWorld_waist,0.1859375,0.12607341697062732
cnnpff,UCI,2,linear,1,UCI,0.2875,0.2183917832298486
cnnpff,UCI,2,linear,1,WISDM,0.175390625,0.0840550342594959
cnnpff,UCI,2,linear,10,KuHar,0.3125,0.19677473826409997
cnnpff,UCI,2,linear,10,MotionSense,0.1630859375,0.09787379793744322
cnnpff,UCI,2,linear,10,RealWorld_thigh,0.1954861111111111,0.11345292325684482
cnnpff,UCI,2,linear,10,RealWorld_waist,0.2890625,0.22703712855493655
cnnpff,UCI,2,linear,10,UCI,0.559375,0.4765909640746253
cnnpff,UCI,2,linear,10,WISDM,0.251171875,0.1165499166810479
cnnpff,UCI,2,linear,100,KuHar,0.3671875,0.2629004329004329
cnnpff,UCI,2,linear,100,MotionSense,0.2236328125,0.12163742690058481
cnnpff,UCI,2,linear,100,RealWorld_thigh,0.24305555555555555,0.16454367676822443
cnnpff,UCI,2,linear,100,RealWorld_waist,0.398046875,0.33808782649232144
cnnpff,UCI,2,linear,100,UCI,0.790625,0.7699590112321484
cnnpff,UCI,2,linear,100,WISDM,0.32265625,0.18282524457996907
cnnpff,UCI,2,linear,full,KuHar,0.40625,0.26371020737217915
cnnpff,UCI,2,linear,full,MotionSense,0.2001953125,0.11986613624436974
cnnpff,UCI,2,linear,full,RealWorld_thigh,0.1996527777777778,0.10816800418258281
cnnpff,UCI,2,linear,full,RealWorld_waist,0.40390625,0.3540880447130485
cnnpff,UCI,2,linear,full,UCI,0.896875,0.8726905341294596
cnnpff,UCI,2,linear,full,WISDM,0.31015625,0.1824379465227425
