encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_thigh,1,finetune,1,KuHar,0.2734375,0.1984331217475839
resnetse5,RealWorld_thigh,1,finetune,1,MotionSense,0.44921875,0.34238705718746165
resnetse5,RealWorld_thigh,1,finetune,1,RealWorld_thigh,0.34965277777777776,0.2526978437628846
resnetse5,RealWorld_thigh,1,finetune,1,RealWorld_waist,0.32421875,0.18451277708463332
resnetse5,RealWorld_thigh,1,finetune,1,UCI,0.3625,0.2627108294252235
resnetse5,RealWorld_thigh,1,finetune,1,WISDM,0.2703125,0.15434624569690417
resnetse5,RealWorld_thigh,1,finetune,10,KuHar,0.453125,0.3472944982397588
resnetse5,RealWorld_thigh,1,finetune,10,MotionSense,0.578125,0.48387467882016827
resnetse5,RealWorld_thigh,1,finetune,10,RealWorld_thigh,0.4722222222222222,0.4539696807797331
resnetse5,RealWorld_thigh,1,finetune,10,RealWorld_waist,0.4375,0.3542451692636024
resnetse5,RealWorld_thigh,1,finetune,10,UCI,0.43125,0.2844140581702613
resnetse5,RealWorld_thigh,1,finetune,10,WISDM,0.533984375,0.3402832893972296
resnetse5,RealWorld_thigh,1,finetune,100,KuHar,0.4609375,0.35124139537498894
resnetse5,RealWorld_thigh,1,finetune,100,MotionSense,0.607421875,0.4907587085299965
resnetse5,RealWorld_thigh,1,finetune,100,RealWorld_thigh,0.690625,0.6917784799339105
resnetse5,RealWorld_thigh,1,finetune,100,RealWorld_waist,0.452734375,0.412135213978661
resnetse5,RealWorld_thigh,1,finetune,100,UCI,0.4484375,0.3669372669372669
resnetse5,RealWorld_thigh,1,finetune,100,WISDM,0.5578125,0.36000660171304827
resnetse5,RealWorld_thigh,1,finetune,full,KuHar,0.625,0.543936027542585
resnetse5,RealWorld_thigh,1,finetune,full,MotionSense,0.705078125,0.637930520198465
resnetse5,RealWorld_thigh,1,finetune,full,RealWorld_thigh,0.6645833333333333,0.6371965938177993
resnetse5,RealWorld_thigh,1,finetune,full,RealWorld_waist,0.515234375,0.5062457881345045
resnetse5,RealWorld_thigh,1,finetune,full,UCI,0.628125,0.6165204239306095
resnetse5,RealWorld_thigh,1,finetune,full,WISDM,0.65234375,0.4722286015117641
resnetse5,RealWorld_thigh,1,linear,1,KuHar,0.2578125,0.155095785440613
resnetse5,RealWorld_thigh,1,linear,1,MotionSense,0.27734375,0.15639238504084452
resnetse5,RealWorld_thigh,1,linear,1,RealWorld_thigh,0.2621527777777778,0.14155188967217489
resnetse5,RealWorld_thigh,1,linear,1,RealWorld_waist,0.29453125,0.1603463080116432
resnetse5,RealWorld_thigh,1,linear,1,UCI,0.334375,0.21496090581120725
resnetse5,RealWorld_thigh,1,linear,1,WISDM,0.144921875,0.08430008212721878
resnetse5,RealWorld_thigh,1,linear,10,KuHar,0.2578125,0.17191919191919192
resnetse5,RealWorld_thigh,1,linear,10,MotionSense,0.3271484375,0.2188971127550794
resnetse5,RealWorld_thigh,1,linear,10,RealWorld_thigh,0.2552083333333333,0.1693341983580752
resnetse5,RealWorld_thigh,1,linear,10,RealWorld_waist,0.288671875,0.18691516114340448
resnetse5,RealWorld_thigh,1,linear,10,UCI,0.309375,0.19218630514808488
resnetse5,RealWorld_thigh,1,linear,10,WISDM,0.1578125,0.08755960121369744
resnetse5,RealWorld_thigh,1,linear,100,KuHar,0.3515625,0.2292810919571483
resnetse5,RealWorld_thigh,1,linear,100,MotionSense,0.44140625,0.40970845329616706
resnetse5,RealWorld_thigh,1,linear,100,RealWorld_thigh,0.39444444444444443,0.37178339210307954
resnetse5,RealWorld_thigh,1,linear,100,RealWorld_waist,0.34296875,0.295151776155025
resnetse5,RealWorld_thigh,1,linear,100,UCI,0.3171875,0.2606645373188558
resnetse5,RealWorld_thigh,1,linear,100,WISDM,0.532421875,0.34472755245785436
resnetse5,RealWorld_thigh,1,linear,full,KuHar,0.4375,0.3616227139446953
resnetse5,RealWorld_thigh,1,linear,full,MotionSense,0.6376953125,0.5727796691741297
resnetse5,RealWorld_thigh,1,linear,full,RealWorld_thigh,0.5444444444444444,0.5513043177109546
resnetse5,RealWorld_thigh,1,linear,full,RealWorld_waist,0.455859375,0.4164670973662976
resnetse5,RealWorld_thigh,1,linear,full,UCI,0.509375,0.36841642661377955
resnetse5,RealWorld_thigh,1,linear,full,WISDM,0.56796875,0.40556556232277513
