encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_waist,2,finetune,1,KuHar,0.3515625,0.2635553807795556
resnetse5,RealWorld_waist,2,finetune,1,MotionSense,0.34375,0.23076216240896744
resnetse5,RealWorld_waist,2,finetune,1,RealWorld_thigh,0.3506944444444444,0.24182738448599683
resnetse5,RealWorld_waist,2,finetune,1,RealWorld_waist,0.4046875,0.32710863991245637
resnetse5,RealWorld_waist,2,finetune,1,UCI,0.503125,0.3269859846728855
resnetse5,RealWorld_waist,2,finetune,1,WISDM,0.216015625,0.12080237971026785
resnetse5,RealWorld_waist,2,finetune,10,KuHar,0.3984375,0.27337099811676085
resnetse5,RealWorld_waist,2,finetune,10,MotionSense,0.5478515625,0.4512954783359164
resnetse5,RealWorld_waist,2,finetune,10,RealWorld_thigh,0.5020833333333333,0.43039825707728663
resnetse5,RealWorld_waist,2,finetune,10,RealWorld_waist,0.593359375,0.5606988486588346
resnetse5,RealWorld_waist,2,finetune,10,UCI,0.6375,0.5323837196214678
resnetse5,RealWorld_waist,2,finetune,10,WISDM,0.5421875,0.36360526824071976
resnetse5,RealWorld_waist,2,finetune,100,KuHar,0.625,0.5619347580377816
resnetse5,RealWorld_waist,2,finetune,100,MotionSense,0.5283203125,0.49330091402420906
resnetse5,RealWorld_waist,2,finetune,100,RealWorld_thigh,0.5163194444444444,0.4644761892004758
resnetse5,RealWorld_waist,2,finetune,100,RealWorld_waist,0.6921875,0.66380970470437
resnetse5,RealWorld_waist,2,finetune,100,UCI,0.5875,0.4485095155686771
resnetse5,RealWorld_waist,2,finetune,100,WISDM,0.520703125,0.3642827391508933
resnetse5,RealWorld_waist,2,finetune,full,KuHar,0.5625,0.48494346233476665
resnetse5,RealWorld_waist,2,finetune,full,MotionSense,0.5888671875,0.5199998302793523
resnetse5,RealWorld_waist,2,finetune,full,RealWorld_thigh,0.5354166666666667,0.4658118337378811
resnetse5,RealWorld_waist,2,finetune,full,RealWorld_waist,0.71796875,0.7131840398969859
resnetse5,RealWorld_waist,2,finetune,full,UCI,0.690625,0.6174719740120646
resnetse5,RealWorld_waist,2,finetune,full,WISDM,0.521484375,0.3526706405890932
resnetse5,RealWorld_waist,2,linear,1,KuHar,0.25,0.21390710405107047
resnetse5,RealWorld_waist,2,linear,1,MotionSense,0.1923828125,0.1763750354814256
resnetse5,RealWorld_waist,2,linear,1,RealWorld_thigh,0.17083333333333334,0.12672886218138682
resnetse5,RealWorld_waist,2,linear,1,RealWorld_waist,0.187890625,0.1363176294308103
resnetse5,RealWorld_waist,2,linear,1,UCI,0.3046875,0.2449035114210123
resnetse5,RealWorld_waist,2,linear,1,WISDM,0.15,0.09163393558523174
resnetse5,RealWorld_waist,2,linear,10,KuHar,0.28125,0.1995894909688013
resnetse5,RealWorld_waist,2,linear,10,MotionSense,0.2490234375,0.18591798813165403
resnetse5,RealWorld_waist,2,linear,10,RealWorld_thigh,0.29444444444444445,0.22862639406385463
resnetse5,RealWorld_waist,2,linear,10,RealWorld_waist,0.201953125,0.15143067282557218
resnetse5,RealWorld_waist,2,linear,10,UCI,0.3046875,0.21472448342281913
resnetse5,RealWorld_waist,2,linear,10,WISDM,0.16796875,0.11735442465921055
resnetse5,RealWorld_waist,2,linear,100,KuHar,0.515625,0.41307167491378016
resnetse5,RealWorld_waist,2,linear,100,MotionSense,0.369140625,0.32626083144780155
resnetse5,RealWorld_waist,2,linear,100,RealWorld_thigh,0.3625,0.3149290850272491
resnetse5,RealWorld_waist,2,linear,100,RealWorld_waist,0.517578125,0.5080419631896891
resnetse5,RealWorld_waist,2,linear,100,UCI,0.49375,0.4012908206713653
resnetse5,RealWorld_waist,2,linear,100,WISDM,0.378125,0.27892403077216277
resnetse5,RealWorld_waist,2,linear,full,KuHar,0.5625,0.4482539682539683
resnetse5,RealWorld_waist,2,linear,full,MotionSense,0.421875,0.3679416076351411
resnetse5,RealWorld_waist,2,linear,full,RealWorld_thigh,0.3920138888888889,0.3299382166116372
resnetse5,RealWorld_waist,2,linear,full,RealWorld_waist,0.66484375,0.6632305566105461
resnetse5,RealWorld_waist,2,linear,full,UCI,0.615625,0.5805763710608798
resnetse5,RealWorld_waist,2,linear,full,WISDM,0.357421875,0.2733093759335073
