encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,WISDM,2,finetune,1,KuHar,0.453125,0.28034188034188035
resnetse5,WISDM,2,finetune,1,MotionSense,0.361328125,0.2227670115380064
resnetse5,WISDM,2,finetune,1,RealWorld_thigh,0.32395833333333335,0.20608459734111448
resnetse5,WISDM,2,finetune,1,RealWorld_waist,0.427734375,0.29212915225182573
resnetse5,WISDM,2,finetune,1,UCI,0.35625,0.1877708541085031
resnetse5,WISDM,2,finetune,1,WISDM,0.5796875,0.5069481779562874
resnetse5,WISDM,2,finetune,10,KuHar,0.546875,0.3506944444444444
resnetse5,WISDM,2,finetune,10,MotionSense,0.421875,0.2905663872679338
resnetse5,WISDM,2,finetune,10,RealWorld_thigh,0.44930555555555557,0.31270929674083
resnetse5,WISDM,2,finetune,10,RealWorld_waist,0.441796875,0.3180045278035996
resnetse5,WISDM,2,finetune,10,UCI,0.43125,0.25164835164835164
resnetse5,WISDM,2,finetune,10,WISDM,0.7234375,0.6305492447936857
resnetse5,WISDM,2,finetune,100,KuHar,0.53125,0.3612515247014074
resnetse5,WISDM,2,finetune,100,MotionSense,0.541015625,0.4590930515428709
resnetse5,WISDM,2,finetune,100,RealWorld_thigh,0.5329861111111112,0.44467408069571174
resnetse5,WISDM,2,finetune,100,RealWorld_waist,0.423828125,0.34263653499221663
resnetse5,WISDM,2,finetune,100,UCI,0.3828125,0.2879351897085165
resnetse5,WISDM,2,finetune,100,WISDM,0.821875,0.8182390949260497
resnetse5,WISDM,2,finetune,full,KuHar,0.5625,0.39242087292495004
resnetse5,WISDM,2,finetune,full,MotionSense,0.6064453125,0.5073335355880723
resnetse5,WISDM,2,finetune,full,RealWorld_thigh,0.5260416666666666,0.42654365924530396
resnetse5,WISDM,2,finetune,full,RealWorld_waist,0.443359375,0.32633015028583906
resnetse5,WISDM,2,finetune,full,UCI,0.365625,0.22429236177850065
resnetse5,WISDM,2,finetune,full,WISDM,0.854296875,0.8522351437994853
resnetse5,WISDM,2,linear,1,KuHar,0.1875,0.05263157894736842
resnetse5,WISDM,2,linear,1,MotionSense,0.1728515625,0.049125728559533725
resnetse5,WISDM,2,linear,1,RealWorld_thigh,0.16770833333333332,0.04801670146137787
resnetse5,WISDM,2,linear,1,RealWorld_waist,0.16875,0.0481283422459893
resnetse5,WISDM,2,linear,1,UCI,0.0,0.0
resnetse5,WISDM,2,linear,1,WISDM,0.254296875,0.10137028962939894
resnetse5,WISDM,2,linear,10,KuHar,0.1875,0.05263157894736842
resnetse5,WISDM,2,linear,10,MotionSense,0.1728515625,0.049166666666666664
resnetse5,WISDM,2,linear,10,RealWorld_thigh,0.16631944444444444,0.05003064727034978
resnetse5,WISDM,2,linear,10,RealWorld_waist,0.16875,0.0481283422459893
resnetse5,WISDM,2,linear,10,UCI,0.0,0.0
resnetse5,WISDM,2,linear,10,WISDM,0.253515625,0.1013745704467354
resnetse5,WISDM,2,linear,100,KuHar,0.390625,0.2766300366300366
resnetse5,WISDM,2,linear,100,MotionSense,0.3994140625,0.29805602992257857
resnetse5,WISDM,2,linear,100,RealWorld_thigh,0.3541666666666667,0.2722296314816828
resnetse5,WISDM,2,linear,100,RealWorld_waist,0.3421875,0.2476440287662819
resnetse5,WISDM,2,linear,100,UCI,0.2546875,0.21507710584065873
resnetse5,WISDM,2,linear,100,WISDM,0.535546875,0.4673315592496159
resnetse5,WISDM,2,linear,full,KuHar,0.53125,0.34457939721097613
resnetse5,WISDM,2,linear,full,MotionSense,0.494140625,0.41298644549074703
resnetse5,WISDM,2,linear,full,RealWorld_thigh,0.48055555555555557,0.39765277903967416
resnetse5,WISDM,2,linear,full,RealWorld_waist,0.403515625,0.32969471451937415
resnetse5,WISDM,2,linear,full,UCI,0.415625,0.3176218708827404
resnetse5,WISDM,2,linear,full,WISDM,0.78125,0.7773278957420262
