encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,RealWorld_waist,2,finetune,1,KuHar,0.3515625,0.3069444444444444
rnn,RealWorld_waist,2,finetune,1,MotionSense,0.359375,0.33503445548666483
rnn,RealWorld_waist,2,finetune,1,RealWorld_thigh,0.34270833333333334,0.3122112103385477
rnn,RealWorld_waist,2,finetune,1,RealWorld_waist,0.3140625,0.2934737115147144
rnn,RealWorld_waist,2,finetune,1,UCI,0.421875,0.3567062930585871
rnn,RealWorld_waist,2,finetune,1,WISDM,0.322265625,0.2387185404156799
rnn,RealWorld_waist,2,finetune,10,KuHar,0.5,0.40229742380280015
rnn,RealWorld_waist,2,finetune,10,MotionSense,0.49609375,0.4970946109499807
rnn,RealWorld_waist,2,finetune,10,RealWorld_thigh,0.31145833333333334,0.31615293998975513
rnn,RealWorld_waist,2,finetune,10,RealWorld_waist,0.497265625,0.5011290880812947
rnn,RealWorld_waist,2,finetune,10,UCI,0.4875,0.3918173140656056
rnn,RealWorld_waist,2,finetune,10,WISDM,0.4796875,0.3621451915992833
rnn,RealWorld_waist,2,finetune,100,KuHar,0.53125,0.4357490821940728
rnn,RealWorld_waist,2,finetune,100,MotionSense,0.4443359375,0.3422010799735835
rnn,RealWorld_waist,2,finetune,100,RealWorld_thigh,0.3972222222222222,0.31272655787092746
rnn,RealWorld_waist,2,finetune,100,RealWorld_waist,0.6671875,0.6142172465923355
rnn,RealWorld_waist,2,finetune,100,UCI,0.5515625,0.4803781129578931
rnn,RealWorld_waist,2,finetune,100,WISDM,0.351953125,0.2309086929912564
rnn,RealWorld_waist,2,finetune,full,KuHar,0.5625,0.45125970616166694
rnn,RealWorld_waist,2,finetune,full,MotionSense,0.564453125,0.5255366749031661
rnn,RealWorld_waist,2,finetune,full,RealWorld_thigh,0.42951388888888886,0.39034439753923883
rnn,RealWorld_waist,2,finetune,full,RealWorld_waist,0.728125,0.7234342856427448
rnn,RealWorld_waist,2,finetune,full,UCI,0.7015625,0.5514190652972408
rnn,RealWorld_waist,2,finetune,full,WISDM,0.43125,0.3316847951070423
rnn,RealWorld_waist,2,linear,1,KuHar,0.09375,0.09137757667169431
rnn,RealWorld_waist,2,linear,1,MotionSense,0.1533203125,0.14595909319352546
rnn,RealWorld_waist,2,linear,1,RealWorld_thigh,0.16944444444444445,0.15748164572002618
rnn,RealWorld_waist,2,linear,1,RealWorld_waist,0.196875,0.18311529541251992
rnn,RealWorld_waist,2,linear,1,UCI,0.203125,0.17844729275682833
rnn,RealWorld_waist,2,linear,1,WISDM,0.1234375,0.10168607359108595
rnn,RealWorld_waist,2,linear,10,KuHar,0.4296875,0.29342742493427426
rnn,RealWorld_waist,2,linear,10,MotionSense,0.3408203125,0.2560188212465013
rnn,RealWorld_waist,2,linear,10,RealWorld_thigh,0.309375,0.24361681700722618
rnn,RealWorld_waist,2,linear,10,RealWorld_waist,0.44453125,0.36568578236606436
rnn,RealWorld_waist,2,linear,10,UCI,0.36875,0.29698235848867954
rnn,RealWorld_waist,2,linear,10,WISDM,0.39453125,0.24502144059403352
rnn,RealWorld_waist,2,linear,100,KuHar,0.5234375,0.4431549537932517
rnn,RealWorld_waist,2,linear,100,MotionSense,0.4775390625,0.42285593504373414
rnn,RealWorld_waist,2,linear,100,RealWorld_thigh,0.3753472222222222,0.28918506303608255
rnn,RealWorld_waist,2,linear,100,RealWorld_waist,0.59140625,0.5952076009391284
rnn,RealWorld_waist,2,linear,100,UCI,0.6515625,0.6042225127795549
rnn,RealWorld_waist,2,linear,100,WISDM,0.345703125,0.25615066052182006
rnn,RealWorld_waist,2,linear,full,KuHar,0.5859375,0.46247863247863247
rnn,RealWorld_waist,2,linear,full,MotionSense,0.404296875,0.33928096794907775
rnn,RealWorld_waist,2,linear,full,RealWorld_thigh,0.3486111111111111,0.3164202923846208
rnn,RealWorld_waist,2,linear,full,RealWorld_waist,0.726171875,0.7053905535353656
rnn,RealWorld_waist,2,linear,full,UCI,0.646875,0.6151644960963717
rnn,RealWorld_waist,2,linear,full,WISDM,0.338671875,0.26411222841701393
