encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,WISDM,3,finetune,1,KuHar,0.40625,0.3108253753415044
rnn,WISDM,3,finetune,1,MotionSense,0.3759765625,0.3246765903055719
rnn,WISDM,3,finetune,1,RealWorld_thigh,0.3388888888888889,0.27729617237082566
rnn,WISDM,3,finetune,1,RealWorld_waist,0.32890625,0.27206757302024354
rnn,WISDM,3,finetune,1,UCI,0.2796875,0.2220814295446271
rnn,WISDM,3,finetune,1,WISDM,0.522265625,0.5218160162845793
rnn,WISDM,3,finetune,10,KuHar,0.4765625,0.2996031746031746
rnn,WISDM,3,finetune,10,MotionSense,0.400390625,0.27298515596700024
rnn,WISDM,3,finetune,10,RealWorld_thigh,0.3486111111111111,0.23889210307870712
rnn,WISDM,3,finetune,10,RealWorld_waist,0.38984375,0.2656005250348416
rnn,WISDM,3,finetune,10,UCI,0.31875,0.18559098122597037
rnn,WISDM,3,finetune,10,WISDM,0.56953125,0.4989161247359333
rnn,WISDM,3,finetune,100,KuHar,0.5546875,0.3750217353503738
rnn,WISDM,3,finetune,100,MotionSense,0.5087890625,0.42959759902772077
rnn,WISDM,3,finetune,100,RealWorld_thigh,0.44895833333333335,0.3695809284847626
rnn,WISDM,3,finetune,100,RealWorld_waist,0.426171875,0.3532734503515569
rnn,WISDM,3,finetune,100,UCI,0.403125,0.2537156680864721
rnn,WISDM,3,finetune,100,WISDM,0.780078125,0.775670641115028
rnn,WISDM,3,finetune,full,KuHar,0.53125,0.38309347920554176
rnn,WISDM,3,finetune,full,MotionSense,0.595703125,0.49605460065664725
rnn,WISDM,3,finetune,full,RealWorld_thigh,0.525,0.43336359025037013
rnn,WISDM,3,finetune,full,RealWorld_waist,0.4375,0.32595029616676285
rnn,WISDM,3,finetune,full,UCI,0.353125,0.2153164347249834
rnn,WISDM,3,finetune,full,WISDM,0.845703125,0.8431976419680827
rnn,WISDM,3,linear,1,KuHar,0.359375,0.18444444444444444
rnn,WISDM,3,linear,1,MotionSense,0.3701171875,0.28899792577812383
rnn,WISDM,3,linear,1,RealWorld_thigh,0.309375,0.24853031752290122
rnn,WISDM,3,linear,1,RealWorld_waist,0.278515625,0.19860308964084705
rnn,WISDM,3,linear,1,UCI,0.196875,0.1522414776515768
rnn,WISDM,3,linear,1,WISDM,0.487890625,0.3443408987104358
rnn,WISDM,3,linear,10,KuHar,0.359375,0.1816849816849817
rnn,WISDM,3,linear,10,MotionSense,0.376953125,0.2640211341898268
rnn,WISDM,3,linear,10,RealWorld_thigh,0.2659722222222222,0.18250063119570606
rnn,WISDM,3,linear,10,RealWorld_waist,0.2890625,0.19801380869255059
rnn,WISDM,3,linear,10,UCI,0.1890625,0.16278172663925122
rnn,WISDM,3,linear,10,WISDM,0.512890625,0.3400464433135432
rnn,WISDM,3,linear,100,KuHar,0.4609375,0.2905856595511768
rnn,WISDM,3,linear,100,MotionSense,0.4716796875,0.37612342722636843
rnn,WISDM,3,linear,100,RealWorld_thigh,0.39861111111111114,0.32129597624756756
rnn,WISDM,3,linear,100,RealWorld_waist,0.33984375,0.268673447616532
rnn,WISDM,3,linear,100,UCI,0.3640625,0.23919706424454357
rnn,WISDM,3,linear,100,WISDM,0.680859375,0.6600796866621095
rnn,WISDM,3,linear,full,KuHar,0.5390625,0.3628618113912232
rnn,WISDM,3,linear,full,MotionSense,0.5732421875,0.4819947542003622
rnn,WISDM,3,linear,full,RealWorld_thigh,0.5256944444444445,0.4404318093659001
rnn,WISDM,3,linear,full,RealWorld_waist,0.40703125,0.3110266704800516
rnn,WISDM,3,linear,full,UCI,0.36875,0.26945365094674983
rnn,WISDM,3,linear,full,WISDM,0.813671875,0.8096608231223241
