encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,MotionSense,2,finetune,1,KuHar,0.2890625,0.21030389363722693
tstcc,MotionSense,2,finetune,1,MotionSense,0.4365234375,0.3755837476228601
tstcc,MotionSense,2,finetune,1,RealWorld_thigh,0.34930555555555554,0.26513539874267916
tstcc,MotionSense,2,finetune,1,RealWorld_waist,0.2328125,0.15559637213522423
tstcc,MotionSense,2,finetune,1,UCI,0.1765625,0.1262405722638253
tstcc,MotionSense,2,finetune,1,WISDM,0.402734375,0.25743438198268637
tstcc,MotionSense,2,finetune,10,KuHar,0.28125,0.19412686442098206
tstcc,MotionSense,2,finetune,10,MotionSense,0.6328125,0.5777240361451084
tstcc,MotionSense,2,finetune,10,RealWorld_thigh,0.453125,0.4063996595758537
tstcc,MotionSense,2,finetune,10,RealWorld_waist,0.3421875,0.22783322646604434
tstcc,MotionSense,2,finetune,10,UCI,0.3703125,0.30324853228962817
tstcc,MotionSense,2,finetune,10,WISDM,0.47109375,0.3062047965488766
tstcc,MotionSense,2,finetune,100,KuHar,0.484375,0.4161222847497357
tstcc,MotionSense,2,finetune,100,MotionSense,0.8662109375,0.868328587369582
tstcc,MotionSense,2,finetune,100,RealWorld_thigh,0.6611111111111111,0.6632889209201035
tstcc,MotionSense,2,finetune,100,RealWorld_waist,0.45859375,0.4220892751578662
tstcc,MotionSense,2,finetune,100,UCI,0.515625,0.4764976613877576
tstcc,MotionSense,2,finetune,100,WISDM,0.5671875,0.41561564987450444
tstcc,MotionSense,2,finetune,full,KuHar,0.4609375,0.4001267990398425
tstcc,MotionSense,2,finetune,full,MotionSense,0.943359375,0.9435568820461414
tstcc,MotionSense,2,finetune,full,RealWorld_thigh,0.7225694444444445,0.7249381857454359
tstcc,MotionSense,2,finetune,full,RealWorld_waist,0.365625,0.3322415797892683
tstcc,MotionSense,2,finetune,full,UCI,0.421875,0.416057720389293
tstcc,MotionSense,2,finetune,full,WISDM,0.647265625,0.469188486952695
tstcc,MotionSense,2,linear,1,KuHar,0.3515625,0.2841992592013218
tstcc,MotionSense,2,linear,1,MotionSense,0.41015625,0.372408153687723
tstcc,MotionSense,2,linear,1,RealWorld_thigh,0.3732638888888889,0.3451099266097801
tstcc,MotionSense,2,linear,1,RealWorld_waist,0.29609375,0.24741750351878197
tstcc,MotionSense,2,linear,1,UCI,0.4078125,0.2872199650803519
tstcc,MotionSense,2,linear,1,WISDM,0.41015625,0.2820635903729081
tstcc,MotionSense,2,linear,10,KuHar,0.3125,0.22389306599832914
tstcc,MotionSense,2,linear,10,MotionSense,0.4921875,0.4552775210649755
tstcc,MotionSense,2,linear,10,RealWorld_thigh,0.378125,0.3306583320672822
tstcc,MotionSense,2,linear,10,RealWorld_waist,0.326953125,0.2522890514105487
tstcc,MotionSense,2,linear,10,UCI,0.36875,0.32426805156953986
tstcc,MotionSense,2,linear,10,WISDM,0.365625,0.2616625519339941
tstcc,MotionSense,2,linear,100,KuHar,0.328125,0.2501480691779199
tstcc,MotionSense,2,linear,100,MotionSense,0.810546875,0.8107677855138199
tstcc,MotionSense,2,linear,100,RealWorld_thigh,0.4795138888888889,0.4487180680988889
tstcc,MotionSense,2,linear,100,RealWorld_waist,0.29921875,0.2699237504970025
tstcc,MotionSense,2,linear,100,UCI,0.3375,0.32422758540274244
tstcc,MotionSense,2,linear,100,WISDM,0.5375,0.4026275716879352
tstcc,MotionSense,2,linear,full,KuHar,0.3046875,0.21374269005847954
tstcc,MotionSense,2,linear,full,MotionSense,0.8330078125,0.8343915291807297
tstcc,MotionSense,2,linear,full,RealWorld_thigh,0.5826388888888889,0.5773929707046185
tstcc,MotionSense,2,linear,full,RealWorld_waist,0.292578125,0.254399680359873
tstcc,MotionSense,2,linear,full,UCI,0.3234375,0.30613020061072727
tstcc,MotionSense,2,linear,full,WISDM,0.54140625,0.3989385688166151
