encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_thigh,1,finetune,1,KuHar,0.2578125,0.15429492344883158
tstcc,RealWorld_thigh,1,finetune,1,MotionSense,0.357421875,0.20615966182997977
tstcc,RealWorld_thigh,1,finetune,1,RealWorld_thigh,0.4,0.3245439148711523
tstcc,RealWorld_thigh,1,finetune,1,RealWorld_waist,0.314453125,0.16121732996602103
tstcc,RealWorld_thigh,1,finetune,1,UCI,0.2828125,0.20514798693128777
tstcc,RealWorld_thigh,1,finetune,1,WISDM,0.27578125,0.15690984733965427
tstcc,RealWorld_thigh,1,finetune,10,KuHar,0.4453125,0.3443799381783878
tstcc,RealWorld_thigh,1,finetune,10,MotionSense,0.5576171875,0.47812962826025235
tstcc,RealWorld_thigh,1,finetune,10,RealWorld_thigh,0.5142361111111111,0.4938286768006929
tstcc,RealWorld_thigh,1,finetune,10,RealWorld_waist,0.44765625,0.39000608621126504
tstcc,RealWorld_thigh,1,finetune,10,UCI,0.459375,0.3837360744234023
tstcc,RealWorld_thigh,1,finetune,10,WISDM,0.504296875,0.34437142166666196
tstcc,RealWorld_thigh,1,finetune,100,KuHar,0.4296875,0.3169352990604232
tstcc,RealWorld_thigh,1,finetune,100,MotionSense,0.6552734375,0.5810205630176886
tstcc,RealWorld_thigh,1,finetune,100,RealWorld_thigh,0.7420138888888889,0.7464391857524304
tstcc,RealWorld_thigh,1,finetune,100,RealWorld_waist,0.457421875,0.3722011816430646
tstcc,RealWorld_thigh,1,finetune,100,UCI,0.4828125,0.391509191616506
tstcc,RealWorld_thigh,1,finetune,100,WISDM,0.551953125,0.3767058417679783
tstcc,RealWorld_thigh,1,finetune,full,KuHar,0.40625,0.3396432552954292
tstcc,RealWorld_thigh,1,finetune,full,MotionSense,0.66015625,0.5882533969580986
tstcc,RealWorld_thigh,1,finetune,full,RealWorld_thigh,0.659375,0.6322495756546999
tstcc,RealWorld_thigh,1,finetune,full,RealWorld_waist,0.42265625,0.35664765222980005
tstcc,RealWorld_thigh,1,finetune,full,UCI,0.459375,0.4050583553584124
tstcc,RealWorld_thigh,1,finetune,full,WISDM,0.525390625,0.3522631247942987
tstcc,RealWorld_thigh,1,linear,1,KuHar,0.296875,0.2523667741364651
tstcc,RealWorld_thigh,1,linear,1,MotionSense,0.3544921875,0.3069200834646896
tstcc,RealWorld_thigh,1,linear,1,RealWorld_thigh,0.41944444444444445,0.41357791834928537
tstcc,RealWorld_thigh,1,linear,1,RealWorld_waist,0.347265625,0.2910080017286811
tstcc,RealWorld_thigh,1,linear,1,UCI,0.353125,0.27278757356334493
tstcc,RealWorld_thigh,1,linear,1,WISDM,0.31953125,0.24501772677770176
tstcc,RealWorld_thigh,1,linear,10,KuHar,0.4609375,0.38131444481840715
tstcc,RealWorld_thigh,1,linear,10,MotionSense,0.4404296875,0.3779382176623563
tstcc,RealWorld_thigh,1,linear,10,RealWorld_thigh,0.43993055555555555,0.42347251829513705
tstcc,RealWorld_thigh,1,linear,10,RealWorld_waist,0.418359375,0.37337566676458583
tstcc,RealWorld_thigh,1,linear,10,UCI,0.4546875,0.3110694847380253
tstcc,RealWorld_thigh,1,linear,10,WISDM,0.428515625,0.2874536060168648
tstcc,RealWorld_thigh,1,linear,100,KuHar,0.4453125,0.3558956916099773
tstcc,RealWorld_thigh,1,linear,100,MotionSense,0.5986328125,0.5284416424590492
tstcc,RealWorld_thigh,1,linear,100,RealWorld_thigh,0.6618055555555555,0.6657052154358637
tstcc,RealWorld_thigh,1,linear,100,RealWorld_waist,0.41796875,0.39454737220894764
tstcc,RealWorld_thigh,1,linear,100,UCI,0.4734375,0.35189744301871845
tstcc,RealWorld_thigh,1,linear,100,WISDM,0.551171875,0.3800119895303346
tstcc,RealWorld_thigh,1,linear,full,KuHar,0.46875,0.3678861157674717
tstcc,RealWorld_thigh,1,linear,full,MotionSense,0.6416015625,0.5628279708182206
tstcc,RealWorld_thigh,1,linear,full,RealWorld_thigh,0.7083333333333334,0.7104458935571217
tstcc,RealWorld_thigh,1,linear,full,RealWorld_waist,0.46953125,0.4238909226953899
tstcc,RealWorld_thigh,1,linear,full,UCI,0.51875,0.38491044478203257
tstcc,RealWorld_thigh,1,linear,full,WISDM,0.56484375,0.38898564369049876
