encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_waist,1,finetune,1,KuHar,0.4765625,0.438195594301585
tstcc,RealWorld_waist,1,finetune,1,MotionSense,0.275390625,0.2527839774953337
tstcc,RealWorld_waist,1,finetune,1,RealWorld_thigh,0.3090277777777778,0.2908626171777638
tstcc,RealWorld_waist,1,finetune,1,RealWorld_waist,0.453515625,0.46026366407753877
tstcc,RealWorld_waist,1,finetune,1,UCI,0.3609375,0.2898767628993137
tstcc,RealWorld_waist,1,finetune,1,WISDM,0.3578125,0.26199120969115325
tstcc,RealWorld_waist,1,finetune,10,KuHar,0.5625,0.4493442381373416
tstcc,RealWorld_waist,1,finetune,10,MotionSense,0.4384765625,0.37013583145301937
tstcc,RealWorld_waist,1,finetune,10,RealWorld_thigh,0.39826388888888886,0.35424694427157194
tstcc,RealWorld_waist,1,finetune,10,RealWorld_waist,0.647265625,0.6498086708079384
tstcc,RealWorld_waist,1,finetune,10,UCI,0.60625,0.4608707864369901
tstcc,RealWorld_waist,1,finetune,10,WISDM,0.33984375,0.24118186975119427
tstcc,RealWorld_waist,1,finetune,100,KuHar,0.53125,0.4176699610661874
tstcc,RealWorld_waist,1,finetune,100,MotionSense,0.45703125,0.38156548031771176
tstcc,RealWorld_waist,1,finetune,100,RealWorld_thigh,0.45069444444444445,0.38650349707728826
tstcc,RealWorld_waist,1,finetune,100,RealWorld_waist,0.72734375,0.7176125586856327
tstcc,RealWorld_waist,1,finetune,100,UCI,0.68125,0.6283372639995273
tstcc,RealWorld_waist,1,finetune,100,WISDM,0.3453125,0.2578655469806568
tstcc,RealWorld_waist,1,finetune,full,KuHar,0.5703125,0.5182231611672252
tstcc,RealWorld_waist,1,finetune,full,MotionSense,0.4990234375,0.48513929372638365
tstcc,RealWorld_waist,1,finetune,full,RealWorld_thigh,0.33368055555555554,0.30505404675245296
tstcc,RealWorld_waist,1,finetune,full,RealWorld_waist,0.7078125,0.6606413500538394
tstcc,RealWorld_waist,1,finetune,full,UCI,0.7109375,0.5724326565417249
tstcc,RealWorld_waist,1,finetune,full,WISDM,0.37890625,0.27923658260873235
tstcc,RealWorld_waist,1,linear,1,KuHar,0.46875,0.4203516169434549
tstcc,RealWorld_waist,1,linear,1,MotionSense,0.341796875,0.2994665270205649
tstcc,RealWorld_waist,1,linear,1,RealWorld_thigh,0.35625,0.3395503275413871
tstcc,RealWorld_waist,1,linear,1,RealWorld_waist,0.43125,0.4273586059285095
tstcc,RealWorld_waist,1,linear,1,UCI,0.365625,0.3081410340977439
tstcc,RealWorld_waist,1,linear,1,WISDM,0.394921875,0.2756147672614635
tstcc,RealWorld_waist,1,linear,10,KuHar,0.5703125,0.4494473362894415
tstcc,RealWorld_waist,1,linear,10,MotionSense,0.3525390625,0.2908863657393325
tstcc,RealWorld_waist,1,linear,10,RealWorld_thigh,0.3701388888888889,0.31003760809740455
tstcc,RealWorld_waist,1,linear,10,RealWorld_waist,0.548046875,0.5018578894473061
tstcc,RealWorld_waist,1,linear,10,UCI,0.5921875,0.43271932420468967
tstcc,RealWorld_waist,1,linear,10,WISDM,0.3640625,0.2423581895267596
tstcc,RealWorld_waist,1,linear,100,KuHar,0.5390625,0.43786717752234994
tstcc,RealWorld_waist,1,linear,100,MotionSense,0.423828125,0.36890111170770196
tstcc,RealWorld_waist,1,linear,100,RealWorld_thigh,0.38819444444444445,0.31369866468749735
tstcc,RealWorld_waist,1,linear,100,RealWorld_waist,0.7046875,0.7027287003333204
tstcc,RealWorld_waist,1,linear,100,UCI,0.66875,0.6260820214099964
tstcc,RealWorld_waist,1,linear,100,WISDM,0.35390625,0.2642771163341019
tstcc,RealWorld_waist,1,linear,full,KuHar,0.59375,0.4955706993517676
tstcc,RealWorld_waist,1,linear,full,MotionSense,0.4208984375,0.36545009505746234
tstcc,RealWorld_waist,1,linear,full,RealWorld_thigh,0.415625,0.35791504612010616
tstcc,RealWorld_waist,1,linear,full,RealWorld_waist,0.733984375,0.7194840414494936
tstcc,RealWorld_waist,1,linear,full,UCI,0.659375,0.5185550777912104
tstcc,RealWorld_waist,1,linear,full,WISDM,0.30859375,0.23303651066681744
