encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,UCI,2,finetune,1,KuHar,0.3828125,0.2759769161655954
tstcc,UCI,2,finetune,1,MotionSense,0.3359375,0.242236976130165
tstcc,UCI,2,finetune,1,RealWorld_thigh,0.29965277777777777,0.24757191114532354
tstcc,UCI,2,finetune,1,RealWorld_waist,0.384375,0.3070947003328237
tstcc,UCI,2,finetune,1,UCI,0.5046875,0.43717150542765937
tstcc,UCI,2,finetune,1,WISDM,0.42890625,0.2390361805195377
tstcc,UCI,2,finetune,10,KuHar,0.40625,0.2683295540438398
tstcc,UCI,2,finetune,10,MotionSense,0.4453125,0.4160151273976869
tstcc,UCI,2,finetune,10,RealWorld_thigh,0.36666666666666664,0.32155016026989985
tstcc,UCI,2,finetune,10,RealWorld_waist,0.453515625,0.37485468249574283
tstcc,UCI,2,finetune,10,UCI,0.7765625,0.7414264101078196
tstcc,UCI,2,finetune,10,WISDM,0.40703125,0.28609598209590675
tstcc,UCI,2,finetune,100,KuHar,0.40625,0.2829919643897422
tstcc,UCI,2,finetune,100,MotionSense,0.451171875,0.42056230894722946
tstcc,UCI,2,finetune,100,RealWorld_thigh,0.29305555555555557,0.2038716629053747
tstcc,UCI,2,finetune,100,RealWorld_waist,0.483984375,0.4140756559548457
tstcc,UCI,2,finetune,100,UCI,0.8984375,0.8702535794303744
tstcc,UCI,2,finetune,100,WISDM,0.38125,0.2766273384820324
tstcc,UCI,2,finetune,full,KuHar,0.4296875,0.3258962170726877
tstcc,UCI,2,finetune,full,MotionSense,0.43359375,0.39803706633369895
tstcc,UCI,2,finetune,full,RealWorld_thigh,0.3072916666666667,0.19027309359280573
tstcc,UCI,2,finetune,full,RealWorld_waist,0.519140625,0.4571701726050527
tstcc,UCI,2,finetune,full,UCI,0.9296875,0.9098943451392119
tstcc,UCI,2,finetune,full,WISDM,0.4203125,0.28527801537931713
tstcc,UCI,2,linear,1,KuHar,0.328125,0.2395197395197395
tstcc,UCI,2,linear,1,MotionSense,0.3037109375,0.26067465321901784
tstcc,UCI,2,linear,1,RealWorld_thigh,0.30833333333333335,0.2355782513297843
tstcc,UCI,2,linear,1,RealWorld_waist,0.363671875,0.3273054200638897
tstcc,UCI,2,linear,1,UCI,0.41875,0.4123697369596374
tstcc,UCI,2,linear,1,WISDM,0.337109375,0.21087273667621356
tstcc,UCI,2,linear,10,KuHar,0.3828125,0.25315656565656564
tstcc,UCI,2,linear,10,MotionSense,0.2958984375,0.24099692396274816
tstcc,UCI,2,linear,10,RealWorld_thigh,0.32222222222222224,0.24998041057117204
tstcc,UCI,2,linear,10,RealWorld_waist,0.444921875,0.3870401580317992
tstcc,UCI,2,linear,10,UCI,0.653125,0.6213763242745278
tstcc,UCI,2,linear,10,WISDM,0.324609375,0.2152675353287079
tstcc,UCI,2,linear,100,KuHar,0.3984375,0.26631393298059963
tstcc,UCI,2,linear,100,MotionSense,0.3955078125,0.35128739972247763
tstcc,UCI,2,linear,100,RealWorld_thigh,0.32708333333333334,0.2267605920442549
tstcc,UCI,2,linear,100,RealWorld_waist,0.42890625,0.3578296913594914
tstcc,UCI,2,linear,100,UCI,0.8296875,0.8000140177028875
tstcc,UCI,2,linear,100,WISDM,0.423046875,0.2801330415956597
tstcc,UCI,2,linear,full,KuHar,0.4140625,0.30699973978662504
tstcc,UCI,2,linear,full,MotionSense,0.423828125,0.3842858488805818
tstcc,UCI,2,linear,full,RealWorld_thigh,0.3079861111111111,0.19880223098975905
tstcc,UCI,2,linear,full,RealWorld_waist,0.4328125,0.36336545363047557
tstcc,UCI,2,linear,full,UCI,0.8703125,0.8440376751334913
tstcc,UCI,2,linear,full,WISDM,0.451953125,0.29714197570733186
