encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,WISDM,3,finetune,1,KuHar,0.375,0.20634920634920637
tstcc,WISDM,3,finetune,1,MotionSense,0.35546875,0.21971966219211603
tstcc,WISDM,3,finetune,1,RealWorld_thigh,0.35104166666666664,0.2566917956003824
tstcc,WISDM,3,finetune,1,RealWorld_waist,0.291796875,0.2006146529010747
tstcc,WISDM,3,finetune,1,UCI,0.2171875,0.1278349848547118
tstcc,WISDM,3,finetune,1,WISDM,0.534375,0.4328383267960343
tstcc,WISDM,3,finetune,10,KuHar,0.5546875,0.3578154425612053
tstcc,WISDM,3,finetune,10,MotionSense,0.4365234375,0.33075766656293193
tstcc,WISDM,3,finetune,10,RealWorld_thigh,0.40520833333333334,0.3017461534373725
tstcc,WISDM,3,finetune,10,RealWorld_waist,0.425,0.3359968294756672
tstcc,WISDM,3,finetune,10,UCI,0.3140625,0.22369880840730802
tstcc,WISDM,3,finetune,10,WISDM,0.7,0.6766753345384833
tstcc,WISDM,3,finetune,100,KuHar,0.546875,0.3659049120042028
tstcc,WISDM,3,finetune,100,MotionSense,0.5439453125,0.457708862318671
tstcc,WISDM,3,finetune,100,RealWorld_thigh,0.48194444444444445,0.3868003330985234
tstcc,WISDM,3,finetune,100,RealWorld_waist,0.43828125,0.3618912771971144
tstcc,WISDM,3,finetune,100,UCI,0.4,0.24018970562781974
tstcc,WISDM,3,finetune,100,WISDM,0.80703125,0.800326304207342
tstcc,WISDM,3,finetune,full,KuHar,0.546875,0.3598054913123406
tstcc,WISDM,3,finetune,full,MotionSense,0.6240234375,0.523230162356367
tstcc,WISDM,3,finetune,full,RealWorld_thigh,0.5090277777777777,0.41228682267288974
tstcc,WISDM,3,finetune,full,RealWorld_waist,0.440625,0.327261691951542
tstcc,WISDM,3,finetune,full,UCI,0.3734375,0.23896214934574322
tstcc,WISDM,3,finetune,full,WISDM,0.88359375,0.8814871312394699
tstcc,WISDM,3,linear,1,KuHar,0.3125,0.1895890410958904
tstcc,WISDM,3,linear,1,MotionSense,0.2744140625,0.18845195667175396
tstcc,WISDM,3,linear,1,RealWorld_thigh,0.32222222222222224,0.22226183357457252
tstcc,WISDM,3,linear,1,RealWorld_waist,0.251953125,0.16225905021226586
tstcc,WISDM,3,linear,1,UCI,0.2390625,0.12794432168003578
tstcc,WISDM,3,linear,1,WISDM,0.453125,0.37933406884500215
tstcc,WISDM,3,linear,10,KuHar,0.4609375,0.2891095832272303
tstcc,WISDM,3,linear,10,MotionSense,0.4033203125,0.2728731862452793
tstcc,WISDM,3,linear,10,RealWorld_thigh,0.37430555555555556,0.2486166171571301
tstcc,WISDM,3,linear,10,RealWorld_waist,0.342578125,0.2291289839780645
tstcc,WISDM,3,linear,10,UCI,0.325,0.1837696940581992
tstcc,WISDM,3,linear,10,WISDM,0.616015625,0.5235805861687268
tstcc,WISDM,3,linear,100,KuHar,0.5078125,0.34238683127572017
tstcc,WISDM,3,linear,100,MotionSense,0.5439453125,0.45662300773028464
tstcc,WISDM,3,linear,100,RealWorld_thigh,0.48854166666666665,0.40141295178062225
tstcc,WISDM,3,linear,100,RealWorld_waist,0.38515625,0.3243088313772851
tstcc,WISDM,3,linear,100,UCI,0.340625,0.21096473249576597
tstcc,WISDM,3,linear,100,WISDM,0.76875,0.7585184607978239
tstcc,WISDM,3,linear,full,KuHar,0.546875,0.35924716075401003
tstcc,WISDM,3,linear,full,MotionSense,0.5849609375,0.49055109513529827
tstcc,WISDM,3,linear,full,RealWorld_thigh,0.5072916666666667,0.4092829693686619
tstcc,WISDM,3,linear,full,RealWorld_waist,0.4265625,0.3336350050266423
tstcc,WISDM,3,linear,full,UCI,0.396875,0.24529379797888573
tstcc,WISDM,3,linear,full,WISDM,0.84375,0.8395137665200804
