encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,KuHar,3,finetune,1,KuHar,0.359375,0.2055417700578991
cnnpff,KuHar,3,finetune,1,MotionSense,0.1796875,0.12037424182012968
cnnpff,KuHar,3,finetune,1,RealWorld_thigh,0.15034722222222222,0.07504514533085961
cnnpff,KuHar,3,finetune,1,RealWorld_waist,0.28359375,0.176134853446244
cnnpff,KuHar,3,finetune,1,UCI,0.2078125,0.06367101367101367
cnnpff,KuHar,3,finetune,1,WISDM,0.287890625,0.16353608193639696
cnnpff,KuHar,3,finetune,10,KuHar,0.2421875,0.11201009178302668
cnnpff,KuHar,3,finetune,10,MotionSense,0.1748046875,0.07302651448359303
cnnpff,KuHar,3,finetune,10,RealWorld_thigh,0.14340277777777777,0.06135589123455656
cnnpff,KuHar,3,finetune,10,RealWorld_waist,0.205859375,0.12295068969979833
cnnpff,KuHar,3,finetune,10,UCI,0.075,0.05377959379882225
cnnpff,KuHar,3,finetune,10,WISDM,0.2609375,0.13751054634364723
cnnpff,KuHar,3,finetune,100,KuHar,0.1875,0.07692307692307693
cnnpff,KuHar,3,finetune,100,MotionSense,0.1728515625,0.0695754716981132
cnnpff,KuHar,3,finetune,100,RealWorld_thigh,0.14444444444444443,0.06063549066854148
cnnpff,KuHar,3,finetune,100,RealWorld_waist,0.147265625,0.07136229610997957
cnnpff,KuHar,3,finetune,100,UCI,0.00625,0.009389671361502348
cnnpff,KuHar,3,finetune,100,WISDM,0.254296875,0.131183879093199
cnnpff,KuHar,3,finetune,full,KuHar,0.1875,0.07692307692307693
cnnpff,KuHar,3,finetune,full,MotionSense,0.1728515625,0.0695754716981132
cnnpff,KuHar,3,finetune,full,RealWorld_thigh,0.1451388888888889,0.06132387101844522
cnnpff,KuHar,3,finetune,full,RealWorld_waist,0.15234375,0.08115448964830742
cnnpff,KuHar,3,finetune,full,UCI,0.0140625,0.020134228187919465
cnnpff,KuHar,3,finetune,full,WISDM,0.254296875,0.131183879093199
cnnpff,KuHar,3,linear,1,KuHar,0.359375,0.20340543028071792
cnnpff,KuHar,3,linear,1,MotionSense,0.2080078125,0.16314701291815606
cnnpff,KuHar,3,linear,1,RealWorld_thigh,0.16006944444444443,0.09887119007935069
cnnpff,KuHar,3,linear,1,RealWorld_waist,0.291796875,0.20553335556515073
cnnpff,KuHar,3,linear,1,UCI,0.2390625,0.10237547892720307
cnnpff,KuHar,3,linear,1,WISDM,0.2875,0.16631850954042718
cnnpff,KuHar,3,linear,10,KuHar,0.2890625,0.14117140396210162
cnnpff,KuHar,3,linear,10,MotionSense,0.181640625,0.08247973616433237
cnnpff,KuHar,3,linear,10,RealWorld_thigh,0.1486111111111111,0.06891330963174896
cnnpff,KuHar,3,linear,10,RealWorld_waist,0.270703125,0.15947786190823335
cnnpff,KuHar,3,linear,10,UCI,0.153125,0.09146005509641873
cnnpff,KuHar,3,linear,10,WISDM,0.2703125,0.14463547022088857
cnnpff,KuHar,3,linear,100,KuHar,0.2265625,0.10300017442874586
cnnpff,KuHar,3,linear,100,MotionSense,0.1728515625,0.07057416267942583
cnnpff,KuHar,3,linear,100,RealWorld_thigh,0.14201388888888888,0.06130155081538244
cnnpff,KuHar,3,linear,100,RealWorld_waist,0.184375,0.09917704887975766
cnnpff,KuHar,3,linear,100,UCI,0.0640625,0.05024108997618931
cnnpff,KuHar,3,linear,100,WISDM,0.259375,0.13626097462746678
cnnpff,KuHar,3,linear,full,KuHar,0.2734375,0.16305576607300745
cnnpff,KuHar,3,linear,full,MotionSense,0.1904296875,0.10363806263178083
cnnpff,KuHar,3,linear,full,RealWorld_thigh,0.1486111111111111,0.08000550237643217
cnnpff,KuHar,3,linear,full,RealWorld_waist,0.261328125,0.18934920558942545
cnnpff,KuHar,3,linear,full,UCI,0.16875,0.12656225401323443
cnnpff,KuHar,3,linear,full,WISDM,0.259765625,0.11650619961444093
