encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,MotionSense,2,finetune,1,KuHar,0.0703125,0.06411318241368963
cnnpff,MotionSense,2,finetune,1,MotionSense,0.2392578125,0.20996326268858181
cnnpff,MotionSense,2,finetune,1,RealWorld_thigh,0.2420138888888889,0.2259619772106792
cnnpff,MotionSense,2,finetune,1,RealWorld_waist,0.144140625,0.0782092849696185
cnnpff,MotionSense,2,finetune,1,UCI,0.2109375,0.13304101373304228
cnnpff,MotionSense,2,finetune,1,WISDM,0.166796875,0.15112193378651703
cnnpff,MotionSense,2,finetune,10,KuHar,0.328125,0.23494776828110162
cnnpff,MotionSense,2,finetune,10,MotionSense,0.490234375,0.45695610194002684
cnnpff,MotionSense,2,finetune,10,RealWorld_thigh,0.3388888888888889,0.31000585062308716
cnnpff,MotionSense,2,finetune,10,RealWorld_waist,0.319921875,0.2478533787439304
cnnpff,MotionSense,2,finetune,10,UCI,0.359375,0.31760311459261387
cnnpff,MotionSense,2,finetune,10,WISDM,0.351953125,0.2590673288916241
cnnpff,MotionSense,2,finetune,100,KuHar,0.453125,0.33858987780556404
cnnpff,MotionSense,2,finetune,100,MotionSense,0.82421875,0.8224532220514006
cnnpff,MotionSense,2,finetune,100,RealWorld_thigh,0.5979166666666667,0.5992188791205421
cnnpff,MotionSense,2,finetune,100,RealWorld_waist,0.428515625,0.3449012038005896
cnnpff,MotionSense,2,finetune,100,UCI,0.390625,0.3350704850704851
cnnpff,MotionSense,2,finetune,100,WISDM,0.600390625,0.4429962600479045
cnnpff,MotionSense,2,finetune,full,KuHar,0.46875,0.36431428794442494
cnnpff,MotionSense,2,finetune,full,MotionSense,0.849609375,0.8516983204900365
cnnpff,MotionSense,2,finetune,full,RealWorld_thigh,0.5861111111111111,0.5816079916666964
cnnpff,MotionSense,2,finetune,full,RealWorld_waist,0.46796875,0.41647231463165496
cnnpff,MotionSense,2,finetune,full,UCI,0.39375,0.30815281118957144
cnnpff,MotionSense,2,finetune,full,WISDM,0.574609375,0.4247242845581624
cnnpff,MotionSense,2,linear,1,KuHar,0.078125,0.05817388214992641
cnnpff,MotionSense,2,linear,1,MotionSense,0.240234375,0.21614762422006983
cnnpff,MotionSense,2,linear,1,RealWorld_thigh,0.246875,0.2342021012158683
cnnpff,MotionSense,2,linear,1,RealWorld_waist,0.152734375,0.09732597594876553
cnnpff,MotionSense,2,linear,1,UCI,0.2171875,0.15498765329395256
cnnpff,MotionSense,2,linear,1,WISDM,0.17890625,0.15681466671696406
cnnpff,MotionSense,2,linear,10,KuHar,0.09375,0.06313497822931785
cnnpff,MotionSense,2,linear,10,MotionSense,0.3564453125,0.3292459935820693
cnnpff,MotionSense,2,linear,10,RealWorld_thigh,0.24444444444444444,0.22815630297399903
cnnpff,MotionSense,2,linear,10,RealWorld_waist,0.178515625,0.10636822747601975
cnnpff,MotionSense,2,linear,10,UCI,0.25625,0.17172839514261
cnnpff,MotionSense,2,linear,10,WISDM,0.24453125,0.20065045066014922
cnnpff,MotionSense,2,linear,100,KuHar,0.40625,0.2977272727272728
cnnpff,MotionSense,2,linear,100,MotionSense,0.6708984375,0.6251017192939237
cnnpff,MotionSense,2,linear,100,RealWorld_thigh,0.41215277777777776,0.3874989123293293
cnnpff,MotionSense,2,linear,100,RealWorld_waist,0.3890625,0.30335035289699674
cnnpff,MotionSense,2,linear,100,UCI,0.33125,0.2789137877373172
cnnpff,MotionSense,2,linear,100,WISDM,0.413671875,0.3039099563566253
cnnpff,MotionSense,2,linear,full,KuHar,0.3828125,0.28510964778570413
cnnpff,MotionSense,2,linear,full,MotionSense,0.8310546875,0.8347786724683391
cnnpff,MotionSense,2,linear,full,RealWorld_thigh,0.5413194444444445,0.5387599789311217
cnnpff,MotionSense,2,linear,full,RealWorld_waist,0.27109375,0.23226239908255045
cnnpff,MotionSense,2,linear,full,UCI,0.2796875,0.2648051623981992
cnnpff,MotionSense,2,linear,full,WISDM,0.544140625,0.40982686532310547
