encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,KuHar,3,finetune,1,KuHar,0.5390625,0.4176656780506019
resnetse5,KuHar,3,finetune,1,MotionSense,0.50390625,0.4172383880289709
resnetse5,KuHar,3,finetune,1,RealWorld_thigh,0.41597222222222224,0.3209935037972109
resnetse5,KuHar,3,finetune,1,RealWorld_waist,0.48515625,0.41915582676426427
resnetse5,KuHar,3,finetune,1,UCI,0.3984375,0.32955758853919426
resnetse5,KuHar,3,finetune,1,WISDM,0.576953125,0.33772769479352666
resnetse5,KuHar,3,finetune,10,KuHar,0.765625,0.7218961352657004
resnetse5,KuHar,3,finetune,10,MotionSense,0.4765625,0.42935663398132357
resnetse5,KuHar,3,finetune,10,RealWorld_thigh,0.2947916666666667,0.20622888836886458
resnetse5,KuHar,3,finetune,10,RealWorld_waist,0.48125,0.4487283733195444
resnetse5,KuHar,3,finetune,10,UCI,0.3375,0.32471774111864743
resnetse5,KuHar,3,finetune,10,WISDM,0.35703125,0.2675101450216751
resnetse5,KuHar,3,finetune,100,KuHar,0.7109375,0.6579059829059829
resnetse5,KuHar,3,finetune,100,MotionSense,0.4951171875,0.37087035418060627
resnetse5,KuHar,3,finetune,100,RealWorld_thigh,0.3701388888888889,0.2623068281316535
resnetse5,KuHar,3,finetune,100,RealWorld_waist,0.505078125,0.4289692060912724
resnetse5,KuHar,3,finetune,100,UCI,0.2796875,0.20780697713682644
resnetse5,KuHar,3,finetune,100,WISDM,0.3953125,0.25510184924299145
resnetse5,KuHar,3,finetune,full,KuHar,0.703125,0.6564355111413934
resnetse5,KuHar,3,finetune,full,MotionSense,0.44921875,0.3561641587354429
resnetse5,KuHar,3,finetune,full,RealWorld_thigh,0.33611111111111114,0.19537657160150365
resnetse5,KuHar,3,finetune,full,RealWorld_waist,0.503515625,0.4583425697674892
resnetse5,KuHar,3,finetune,full,UCI,0.3484375,0.26449566566878485
resnetse5,KuHar,3,finetune,full,WISDM,0.373046875,0.2499591987865871
resnetse5,KuHar,3,linear,1,KuHar,0.5546875,0.3677240143369176
resnetse5,KuHar,3,linear,1,MotionSense,0.349609375,0.23568304449724872
resnetse5,KuHar,3,linear,1,RealWorld_thigh,0.30694444444444446,0.20762707282977022
resnetse5,KuHar,3,linear,1,RealWorld_waist,0.44296875,0.30864266319487105
resnetse5,KuHar,3,linear,1,UCI,0.3328125,0.19458415487312455
resnetse5,KuHar,3,linear,1,WISDM,0.491015625,0.33491113381176335
resnetse5,KuHar,3,linear,10,KuHar,0.390625,0.2183847898133612
resnetse5,KuHar,3,linear,10,MotionSense,0.3349609375,0.17676767676767677
resnetse5,KuHar,3,linear,10,RealWorld_thigh,0.2809027777777778,0.15448952176668662
resnetse5,KuHar,3,linear,10,RealWorld_waist,0.308984375,0.19309577314456802
resnetse5,KuHar,3,linear,10,UCI,0.146875,0.11328976034858389
resnetse5,KuHar,3,linear,10,WISDM,0.458984375,0.25195885728078926
resnetse5,KuHar,3,linear,100,KuHar,0.6328125,0.5798832353454202
resnetse5,KuHar,3,linear,100,MotionSense,0.3857421875,0.29926668240903076
resnetse5,KuHar,3,linear,100,RealWorld_thigh,0.3854166666666667,0.2913310083721576
resnetse5,KuHar,3,linear,100,RealWorld_waist,0.501953125,0.48680304991583473
resnetse5,KuHar,3,linear,100,UCI,0.3984375,0.33555902854374275
resnetse5,KuHar,3,linear,100,WISDM,0.36328125,0.25755565295946287
resnetse5,KuHar,3,linear,full,KuHar,0.6640625,0.6061381074168798
resnetse5,KuHar,3,linear,full,MotionSense,0.423828125,0.36241121885850286
resnetse5,KuHar,3,linear,full,RealWorld_thigh,0.41006944444444443,0.34036411968221025
resnetse5,KuHar,3,linear,full,RealWorld_waist,0.531640625,0.5434424052445618
resnetse5,KuHar,3,linear,full,UCI,0.384375,0.3654751717782877
resnetse5,KuHar,3,linear,full,WISDM,0.37890625,0.29369123331303826
