encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_thigh,3,finetune,1,KuHar,0.3671875,0.20661064425770306
resnetse5,RealWorld_thigh,3,finetune,1,MotionSense,0.3076171875,0.1937538074828763
resnetse5,RealWorld_thigh,3,finetune,1,RealWorld_thigh,0.271875,0.17071913959524712
resnetse5,RealWorld_thigh,3,finetune,1,RealWorld_waist,0.298828125,0.20641574164815732
resnetse5,RealWorld_thigh,3,finetune,1,UCI,0.3734375,0.25436956368056707
resnetse5,RealWorld_thigh,3,finetune,1,WISDM,0.473828125,0.24149019204315736
resnetse5,RealWorld_thigh,3,finetune,10,KuHar,0.546875,0.4619616942197587
resnetse5,RealWorld_thigh,3,finetune,10,MotionSense,0.626953125,0.5255804659675603
resnetse5,RealWorld_thigh,3,finetune,10,RealWorld_thigh,0.6465277777777778,0.6504087942479216
resnetse5,RealWorld_thigh,3,finetune,10,RealWorld_waist,0.434765625,0.4141129254394375
resnetse5,RealWorld_thigh,3,finetune,10,UCI,0.4546875,0.3769454564767735
resnetse5,RealWorld_thigh,3,finetune,10,WISDM,0.5609375,0.3673912586233857
resnetse5,RealWorld_thigh,3,finetune,100,KuHar,0.484375,0.41856481481481483
resnetse5,RealWorld_thigh,3,finetune,100,MotionSense,0.6650390625,0.6067382734927681
resnetse5,RealWorld_thigh,3,finetune,100,RealWorld_thigh,0.7263888888888889,0.7261959767186624
resnetse5,RealWorld_thigh,3,finetune,100,RealWorld_waist,0.43125,0.3816012568209622
resnetse5,RealWorld_thigh,3,finetune,100,UCI,0.4640625,0.4441999026652244
resnetse5,RealWorld_thigh,3,finetune,100,WISDM,0.617578125,0.43947793900777743
resnetse5,RealWorld_thigh,3,finetune,full,KuHar,0.4296875,0.31085109098252234
resnetse5,RealWorld_thigh,3,finetune,full,MotionSense,0.6875,0.6190307316980471
resnetse5,RealWorld_thigh,3,finetune,full,RealWorld_thigh,0.6885416666666667,0.6975587643276063
resnetse5,RealWorld_thigh,3,finetune,full,RealWorld_waist,0.42421875,0.3638844327189302
resnetse5,RealWorld_thigh,3,finetune,full,UCI,0.4890625,0.44387048060182954
resnetse5,RealWorld_thigh,3,finetune,full,WISDM,0.6046875,0.4275771425753703
resnetse5,RealWorld_thigh,3,linear,1,KuHar,0.3515625,0.25122040072859747
resnetse5,RealWorld_thigh,3,linear,1,MotionSense,0.3115234375,0.2346121714942818
resnetse5,RealWorld_thigh,3,linear,1,RealWorld_thigh,0.30416666666666664,0.23628250508235182
resnetse5,RealWorld_thigh,3,linear,1,RealWorld_waist,0.301171875,0.22337422622035732
resnetse5,RealWorld_thigh,3,linear,1,UCI,0.353125,0.2587759440839087
resnetse5,RealWorld_thigh,3,linear,1,WISDM,0.3265625,0.17907603754042234
resnetse5,RealWorld_thigh,3,linear,10,KuHar,0.375,0.2852504505906303
resnetse5,RealWorld_thigh,3,linear,10,MotionSense,0.310546875,0.2207370282389237
resnetse5,RealWorld_thigh,3,linear,10,RealWorld_thigh,0.34756944444444443,0.28580696449510506
resnetse5,RealWorld_thigh,3,linear,10,RealWorld_waist,0.31796875,0.24654922089384765
resnetse5,RealWorld_thigh,3,linear,10,UCI,0.2984375,0.232362271584332
resnetse5,RealWorld_thigh,3,linear,10,WISDM,0.307421875,0.18536666290061957
resnetse5,RealWorld_thigh,3,linear,100,KuHar,0.3671875,0.29460833831543215
resnetse5,RealWorld_thigh,3,linear,100,MotionSense,0.4921875,0.4424029763280688
resnetse5,RealWorld_thigh,3,linear,100,RealWorld_thigh,0.43645833333333334,0.3967446433493041
resnetse5,RealWorld_thigh,3,linear,100,RealWorld_waist,0.411328125,0.39193872982076106
resnetse5,RealWorld_thigh,3,linear,100,UCI,0.375,0.3001493821345577
resnetse5,RealWorld_thigh,3,linear,100,WISDM,0.582421875,0.38167181804801203
resnetse5,RealWorld_thigh,3,linear,full,KuHar,0.3125,0.2475748475748476
resnetse5,RealWorld_thigh,3,linear,full,MotionSense,0.640625,0.5771939767062219
resnetse5,RealWorld_thigh,3,linear,full,RealWorld_thigh,0.6135416666666667,0.6221431321288969
resnetse5,RealWorld_thigh,3,linear,full,RealWorld_waist,0.441015625,0.405863993978458
resnetse5,RealWorld_thigh,3,linear,full,UCI,0.5125,0.3616123465128269
resnetse5,RealWorld_thigh,3,linear,full,WISDM,0.56015625,0.39127590028495723
