encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,UCI,0,finetune,1,KuHar,0.3125,0.21923468090516143
resnetse5,UCI,0,finetune,1,MotionSense,0.34375,0.26603371851991736
resnetse5,UCI,0,finetune,1,RealWorld_thigh,0.35104166666666664,0.26697623989181934
resnetse5,UCI,0,finetune,1,RealWorld_waist,0.39453125,0.329975660761419
resnetse5,UCI,0,finetune,1,UCI,0.7,0.630238384025954
resnetse5,UCI,0,finetune,1,WISDM,0.304296875,0.1931264404008455
resnetse5,UCI,0,finetune,10,KuHar,0.4140625,0.2735770140025459
resnetse5,UCI,0,finetune,10,MotionSense,0.25,0.17415219355204833
resnetse5,UCI,0,finetune,10,RealWorld_thigh,0.3315972222222222,0.2354912060123027
resnetse5,UCI,0,finetune,10,RealWorld_waist,0.467578125,0.37209793872644575
resnetse5,UCI,0,finetune,10,UCI,0.809375,0.7080319941117221
resnetse5,UCI,0,finetune,10,WISDM,0.345703125,0.21295204239575413
resnetse5,UCI,0,finetune,100,KuHar,0.4296875,0.2989884556939058
resnetse5,UCI,0,finetune,100,MotionSense,0.29296875,0.2750768254701771
resnetse5,UCI,0,finetune,100,RealWorld_thigh,0.2857638888888889,0.1876906002860862
resnetse5,UCI,0,finetune,100,RealWorld_waist,0.50859375,0.4368895399234847
resnetse5,UCI,0,finetune,100,UCI,0.878125,0.862570866986076
resnetse5,UCI,0,finetune,100,WISDM,0.362109375,0.26039072872452246
resnetse5,UCI,0,finetune,full,KuHar,0.4453125,0.3532009384950561
resnetse5,UCI,0,finetune,full,MotionSense,0.3017578125,0.22230559933060445
resnetse5,UCI,0,finetune,full,RealWorld_thigh,0.32569444444444445,0.20362724307351454
resnetse5,UCI,0,finetune,full,RealWorld_waist,0.494921875,0.4455354163299068
resnetse5,UCI,0,finetune,full,UCI,0.959375,0.9508260725215907
resnetse5,UCI,0,finetune,full,WISDM,0.351953125,0.2556535603964227
resnetse5,UCI,0,linear,1,KuHar,0.34375,0.25496854352575743
resnetse5,UCI,0,linear,1,MotionSense,0.349609375,0.20280300745669932
resnetse5,UCI,0,linear,1,RealWorld_thigh,0.34131944444444445,0.20769041082465645
resnetse5,UCI,0,linear,1,RealWorld_waist,0.344921875,0.23720865160238688
resnetse5,UCI,0,linear,1,UCI,0.4984375,0.38326613086497624
resnetse5,UCI,0,linear,1,WISDM,0.262109375,0.13131931319313192
resnetse5,UCI,0,linear,10,KuHar,0.296875,0.20854905084295763
resnetse5,UCI,0,linear,10,MotionSense,0.3447265625,0.18073371283997472
resnetse5,UCI,0,linear,10,RealWorld_thigh,0.3260416666666667,0.17149479159224382
resnetse5,UCI,0,linear,10,RealWorld_waist,0.333984375,0.1975951456986135
resnetse5,UCI,0,linear,10,UCI,0.478125,0.32584425349821244
resnetse5,UCI,0,linear,10,WISDM,0.246875,0.11562049062049062
resnetse5,UCI,0,linear,100,KuHar,0.34375,0.25377079978529254
resnetse5,UCI,0,linear,100,MotionSense,0.2763671875,0.17231974137157777
resnetse5,UCI,0,linear,100,RealWorld_thigh,0.309375,0.23719042729631337
resnetse5,UCI,0,linear,100,RealWorld_waist,0.39140625,0.3377847353440167
resnetse5,UCI,0,linear,100,UCI,0.628125,0.6048464786985988
resnetse5,UCI,0,linear,100,WISDM,0.193359375,0.137003570804108
resnetse5,UCI,0,linear,full,KuHar,0.375,0.25252525252525254
resnetse5,UCI,0,linear,full,MotionSense,0.4013671875,0.3143958198138495
resnetse5,UCI,0,linear,full,RealWorld_thigh,0.4059027777777778,0.3431864317665756
resnetse5,UCI,0,linear,full,RealWorld_waist,0.48203125,0.4243798983003637
resnetse5,UCI,0,linear,full,UCI,0.778125,0.743765428854014
resnetse5,UCI,0,linear,full,WISDM,0.35625,0.2641786297006799
