encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,combined,2,finetune,1,KuHar,0.40625,0.2770076570489392
resnetse5,combined,2,finetune,1,MotionSense,0.3935546875,0.3105236168604634
resnetse5,combined,2,finetune,1,RealWorld_thigh,0.359375,0.3279162949908988
resnetse5,combined,2,finetune,1,RealWorld_waist,0.44609375,0.38590320669886674
resnetse5,combined,2,finetune,1,UCI,0.390625,0.26617120038118425
resnetse5,combined,2,finetune,1,WISDM,0.476953125,0.28831269352209665
resnetse5,combined,2,finetune,10,KuHar,0.3984375,0.26824565859146926
resnetse5,combined,2,finetune,10,MotionSense,0.5283203125,0.4524432795423284
resnetse5,combined,2,finetune,10,RealWorld_thigh,0.51875,0.46605382785057364
resnetse5,combined,2,finetune,10,RealWorld_waist,0.469921875,0.4000410253720134
resnetse5,combined,2,finetune,10,UCI,0.475,0.35408047834518425
resnetse5,combined,2,finetune,10,WISDM,0.571484375,0.3644570420960184
resnetse5,combined,2,finetune,100,KuHar,0.609375,0.5150459740623675
resnetse5,combined,2,finetune,100,MotionSense,0.765625,0.7652721187633983
resnetse5,combined,2,finetune,100,RealWorld_thigh,0.6885416666666667,0.6926657119642786
resnetse5,combined,2,finetune,100,RealWorld_waist,0.742578125,0.7479505271077702
resnetse5,combined,2,finetune,100,UCI,0.79375,0.6374241390724921
resnetse5,combined,2,finetune,100,WISDM,0.777734375,0.5277409796219401
resnetse5,combined,2,finetune,full,KuHar,0.7265625,0.701124876281563
resnetse5,combined,2,finetune,full,MotionSense,0.8876953125,0.8872326729745607
resnetse5,combined,2,finetune,full,RealWorld_thigh,0.7815972222222223,0.7838345838086557
resnetse5,combined,2,finetune,full,RealWorld_waist,0.753515625,0.7568576421806004
resnetse5,combined,2,finetune,full,UCI,0.8375,0.8172330496015764
resnetse5,combined,2,finetune,full,WISDM,0.807421875,0.5397885481201626
resnetse5,combined,2,linear,1,KuHar,0.171875,0.049217002237136466
resnetse5,combined,2,linear,1,MotionSense,0.177734375,0.07007640359590432
resnetse5,combined,2,linear,1,RealWorld_thigh,0.17048611111111112,0.06121979886446574
resnetse5,combined,2,linear,1,RealWorld_waist,0.15390625,0.04636487816915952
resnetse5,combined,2,linear,1,UCI,0.0015625,0.002207505518763797
resnetse5,combined,2,linear,1,WISDM,0.233984375,0.06391378574477166
resnetse5,combined,2,linear,10,KuHar,0.1875,0.05263157894736842
resnetse5,combined,2,linear,10,MotionSense,0.1708984375,0.04873294346978557
resnetse5,combined,2,linear,10,RealWorld_thigh,0.16875,0.053261922816358054
resnetse5,combined,2,linear,10,RealWorld_waist,0.168359375,0.048748492386407716
resnetse5,combined,2,linear,10,UCI,0.0,0.0
resnetse5,combined,2,linear,10,WISDM,0.25390625,0.08122461730709153
resnetse5,combined,2,linear,100,KuHar,0.3828125,0.20640585073574766
resnetse5,combined,2,linear,100,MotionSense,0.40625,0.2985939734749809
resnetse5,combined,2,linear,100,RealWorld_thigh,0.36527777777777776,0.2908445338348639
resnetse5,combined,2,linear,100,RealWorld_waist,0.39296875,0.3444481909705501
resnetse5,combined,2,linear,100,UCI,0.3796875,0.33392771597867715
resnetse5,combined,2,linear,100,WISDM,0.537109375,0.3028332402544897
resnetse5,combined,2,linear,full,KuHar,0.53125,0.3578154425612053
resnetse5,combined,2,linear,full,MotionSense,0.7431640625,0.7424339911600232
resnetse5,combined,2,linear,full,RealWorld_thigh,0.5701388888888889,0.5695174626867442
resnetse5,combined,2,linear,full,RealWorld_waist,0.64453125,0.6464830598257977
resnetse5,combined,2,linear,full,UCI,0.671875,0.6439832617414213
resnetse5,combined,2,linear,full,WISDM,0.729296875,0.5051365827825431
