encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,MotionSense,0,finetune,1,KuHar,0.3671875,0.30996166982217765
rnn,MotionSense,0,finetune,1,MotionSense,0.4150390625,0.3528378257191817
rnn,MotionSense,0,finetune,1,RealWorld_thigh,0.3597222222222222,0.2992401943839924
rnn,MotionSense,0,finetune,1,RealWorld_waist,0.328125,0.26650340539178125
rnn,MotionSense,0,finetune,1,UCI,0.3890625,0.26472181243475096
rnn,MotionSense,0,finetune,1,WISDM,0.444921875,0.26822621857554385
rnn,MotionSense,0,finetune,10,KuHar,0.328125,0.2621021067056512
rnn,MotionSense,0,finetune,10,MotionSense,0.6376953125,0.5789410303951125
rnn,MotionSense,0,finetune,10,RealWorld_thigh,0.43125,0.3695284960037848
rnn,MotionSense,0,finetune,10,RealWorld_waist,0.32578125,0.2675325880683339
rnn,MotionSense,0,finetune,10,UCI,0.41875,0.30400237649081313
rnn,MotionSense,0,finetune,10,WISDM,0.50390625,0.3143661965307329
rnn,MotionSense,0,finetune,100,KuHar,0.3671875,0.2978292067273604
rnn,MotionSense,0,finetune,100,MotionSense,0.7431640625,0.6884684153687264
rnn,MotionSense,0,finetune,100,RealWorld_thigh,0.4510416666666667,0.39660574677131405
rnn,MotionSense,0,finetune,100,RealWorld_waist,0.334765625,0.25586992421021476
rnn,MotionSense,0,finetune,100,UCI,0.3625,0.2953089282419259
rnn,MotionSense,0,finetune,100,WISDM,0.54609375,0.35282586367778196
rnn,MotionSense,0,finetune,full,KuHar,0.2734375,0.1837037037037037
rnn,MotionSense,0,finetune,full,MotionSense,0.7646484375,0.7126633554527415
rnn,MotionSense,0,finetune,full,RealWorld_thigh,0.5434027777777778,0.49739732288837607
rnn,MotionSense,0,finetune,full,RealWorld_waist,0.3625,0.23665043072636482
rnn,MotionSense,0,finetune,full,UCI,0.421875,0.3437611180358276
rnn,MotionSense,0,finetune,full,WISDM,0.53125,0.34190151691543086
rnn,MotionSense,0,linear,1,KuHar,0.296875,0.2037037037037037
rnn,MotionSense,0,linear,1,MotionSense,0.3955078125,0.3291057158133631
rnn,MotionSense,0,linear,1,RealWorld_thigh,0.36180555555555555,0.27989063599640057
rnn,MotionSense,0,linear,1,RealWorld_waist,0.29609375,0.2139057043716975
rnn,MotionSense,0,linear,1,UCI,0.4125,0.2619283860486206
rnn,MotionSense,0,linear,1,WISDM,0.4421875,0.26706566985216423
rnn,MotionSense,0,linear,10,KuHar,0.375,0.26778067548858625
rnn,MotionSense,0,linear,10,MotionSense,0.5498046875,0.48166974222068143
rnn,MotionSense,0,linear,10,RealWorld_thigh,0.3767361111111111,0.289320486463425
rnn,MotionSense,0,linear,10,RealWorld_waist,0.373828125,0.27144178121234197
rnn,MotionSense,0,linear,10,UCI,0.3625,0.2206899265903405
rnn,MotionSense,0,linear,10,WISDM,0.52734375,0.2972640403284923
rnn,MotionSense,0,linear,100,KuHar,0.3203125,0.2480695549661067
rnn,MotionSense,0,linear,100,MotionSense,0.7392578125,0.7055317361037075
rnn,MotionSense,0,linear,100,RealWorld_thigh,0.49027777777777776,0.4651558458585674
rnn,MotionSense,0,linear,100,RealWorld_waist,0.33828125,0.21623461909671796
rnn,MotionSense,0,linear,100,UCI,0.41875,0.2888608842179693
rnn,MotionSense,0,linear,100,WISDM,0.491015625,0.3410212230341723
rnn,MotionSense,0,linear,full,KuHar,0.2578125,0.15567765567765568
rnn,MotionSense,0,linear,full,MotionSense,0.79296875,0.7857640176587983
rnn,MotionSense,0,linear,full,RealWorld_thigh,0.5621527777777777,0.5607333008124157
rnn,MotionSense,0,linear,full,RealWorld_waist,0.363671875,0.26118183555815505
rnn,MotionSense,0,linear,full,UCI,0.4359375,0.3272930762740702
rnn,MotionSense,0,linear,full,WISDM,0.475,0.34791678402833043
