encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,RealWorld_waist,0,finetune,1,KuHar,0.40625,0.3073722462983026
rnn,RealWorld_waist,0,finetune,1,MotionSense,0.453125,0.38773618920563374
rnn,RealWorld_waist,0,finetune,1,RealWorld_thigh,0.36770833333333336,0.33743002340720246
rnn,RealWorld_waist,0,finetune,1,RealWorld_waist,0.39765625,0.3498263653232055
rnn,RealWorld_waist,0,finetune,1,UCI,0.4203125,0.2957493600326476
rnn,RealWorld_waist,0,finetune,1,WISDM,0.41796875,0.27330104003418865
rnn,RealWorld_waist,0,finetune,10,KuHar,0.515625,0.42871398753751694
rnn,RealWorld_waist,0,finetune,10,MotionSense,0.498046875,0.43788164460246515
rnn,RealWorld_waist,0,finetune,10,RealWorld_thigh,0.45243055555555556,0.40901665147320926
rnn,RealWorld_waist,0,finetune,10,RealWorld_waist,0.476171875,0.42774825801478705
rnn,RealWorld_waist,0,finetune,10,UCI,0.4640625,0.38237687347961946
rnn,RealWorld_waist,0,finetune,10,WISDM,0.465234375,0.29662730616565963
rnn,RealWorld_waist,0,finetune,100,KuHar,0.4609375,0.36042830377507795
rnn,RealWorld_waist,0,finetune,100,MotionSense,0.4462890625,0.33858925180829375
rnn,RealWorld_waist,0,finetune,100,RealWorld_thigh,0.4600694444444444,0.3926626827625901
rnn,RealWorld_waist,0,finetune,100,RealWorld_waist,0.606640625,0.5493415238560565
rnn,RealWorld_waist,0,finetune,100,UCI,0.5609375,0.47809207351574046
rnn,RealWorld_waist,0,finetune,100,WISDM,0.405078125,0.25970056115948886
rnn,RealWorld_waist,0,finetune,full,KuHar,0.5078125,0.4170028843941887
rnn,RealWorld_waist,0,finetune,full,MotionSense,0.59375,0.5665923966305921
rnn,RealWorld_waist,0,finetune,full,RealWorld_thigh,0.48993055555555554,0.4750618457428479
rnn,RealWorld_waist,0,finetune,full,RealWorld_waist,0.72109375,0.6821715475840859
rnn,RealWorld_waist,0,finetune,full,UCI,0.671875,0.5288537807217883
rnn,RealWorld_waist,0,finetune,full,WISDM,0.429296875,0.32322280650297414
rnn,RealWorld_waist,0,linear,1,KuHar,0.1875,0.17702167510326808
rnn,RealWorld_waist,0,linear,1,MotionSense,0.2490234375,0.18010341167619945
rnn,RealWorld_waist,0,linear,1,RealWorld_thigh,0.30694444444444446,0.25834512182103214
rnn,RealWorld_waist,0,linear,1,RealWorld_waist,0.294921875,0.26456393086924196
rnn,RealWorld_waist,0,linear,1,UCI,0.240625,0.20389540106023893
rnn,RealWorld_waist,0,linear,1,WISDM,0.239453125,0.1716406320752464
rnn,RealWorld_waist,0,linear,10,KuHar,0.4140625,0.3139412997903564
rnn,RealWorld_waist,0,linear,10,MotionSense,0.4267578125,0.3353600009649953
rnn,RealWorld_waist,0,linear,10,RealWorld_thigh,0.390625,0.28729939024258405
rnn,RealWorld_waist,0,linear,10,RealWorld_waist,0.46015625,0.40717417813668355
rnn,RealWorld_waist,0,linear,10,UCI,0.453125,0.315788292638311
rnn,RealWorld_waist,0,linear,10,WISDM,0.410546875,0.2544783643612048
rnn,RealWorld_waist,0,linear,100,KuHar,0.59375,0.4727382180942552
rnn,RealWorld_waist,0,linear,100,MotionSense,0.4208984375,0.34243576955226046
rnn,RealWorld_waist,0,linear,100,RealWorld_thigh,0.3697916666666667,0.3085098306698983
rnn,RealWorld_waist,0,linear,100,RealWorld_waist,0.637109375,0.6301840137907242
rnn,RealWorld_waist,0,linear,100,UCI,0.634375,0.5591095188585368
rnn,RealWorld_waist,0,linear,100,WISDM,0.355078125,0.25940210086906873
rnn,RealWorld_waist,0,linear,full,KuHar,0.578125,0.44633351773311203
rnn,RealWorld_waist,0,linear,full,MotionSense,0.423828125,0.3396814022824228
rnn,RealWorld_waist,0,linear,full,RealWorld_thigh,0.40381944444444445,0.3263065117966562
rnn,RealWorld_waist,0,linear,full,RealWorld_waist,0.696484375,0.6942793230794487
rnn,RealWorld_waist,0,linear,full,UCI,0.6296875,0.48508933159940887
rnn,RealWorld_waist,0,linear,full,WISDM,0.385546875,0.2910478005074946
