encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,UCI,2,finetune,1,KuHar,0.25,0.1421188630490956
rnn,UCI,2,finetune,1,MotionSense,0.333984375,0.19988053042774223
rnn,UCI,2,finetune,1,RealWorld_thigh,0.3142361111111111,0.18630566148505634
rnn,UCI,2,finetune,1,RealWorld_waist,0.331640625,0.21775524613620012
rnn,UCI,2,finetune,1,UCI,0.3546875,0.30222683420044366
rnn,UCI,2,finetune,1,WISDM,0.22421875,0.12379230703982082
rnn,UCI,2,finetune,10,KuHar,0.359375,0.2802479899254093
rnn,UCI,2,finetune,10,MotionSense,0.3291015625,0.24177326962944481
rnn,UCI,2,finetune,10,RealWorld_thigh,0.3302083333333333,0.23793187528594414
rnn,UCI,2,finetune,10,RealWorld_waist,0.436328125,0.33850337557512195
rnn,UCI,2,finetune,10,UCI,0.6046875,0.5436464919850319
rnn,UCI,2,finetune,10,WISDM,0.25859375,0.13784260543756094
rnn,UCI,2,finetune,100,KuHar,0.375,0.2841343669250646
rnn,UCI,2,finetune,100,MotionSense,0.3212890625,0.22024086171026816
rnn,UCI,2,finetune,100,RealWorld_thigh,0.33784722222222224,0.25422387620915216
rnn,UCI,2,finetune,100,RealWorld_waist,0.506640625,0.4253136281621577
rnn,UCI,2,finetune,100,UCI,0.8390625,0.7661587635724447
rnn,UCI,2,finetune,100,WISDM,0.30859375,0.19436901351130217
rnn,UCI,2,finetune,full,KuHar,0.4296875,0.2903225806451613
rnn,UCI,2,finetune,full,MotionSense,0.3291015625,0.26341354991876376
rnn,UCI,2,finetune,full,RealWorld_thigh,0.31493055555555555,0.2759931944469782
rnn,UCI,2,finetune,full,RealWorld_waist,0.55625,0.47224704739712636
rnn,UCI,2,finetune,full,UCI,0.859375,0.7960478952073269
rnn,UCI,2,finetune,full,WISDM,0.3890625,0.25660856690294714
rnn,UCI,2,linear,1,KuHar,0.265625,0.16622813091446242
rnn,UCI,2,linear,1,MotionSense,0.3515625,0.2263934825491499
rnn,UCI,2,linear,1,RealWorld_thigh,0.33819444444444446,0.23345192069850307
rnn,UCI,2,linear,1,RealWorld_waist,0.3859375,0.28427853417130616
rnn,UCI,2,linear,1,UCI,0.45625,0.41218677165872003
rnn,UCI,2,linear,1,WISDM,0.233203125,0.12232592022203852
rnn,UCI,2,linear,10,KuHar,0.25,0.1414141414141414
rnn,UCI,2,linear,10,MotionSense,0.333984375,0.18473769468131426
rnn,UCI,2,linear,10,RealWorld_thigh,0.32430555555555557,0.18709253806174864
rnn,UCI,2,linear,10,RealWorld_waist,0.378515625,0.25405961065584765
rnn,UCI,2,linear,10,UCI,0.5140625,0.43510130120497337
rnn,UCI,2,linear,10,WISDM,0.23828125,0.11760508820429945
rnn,UCI,2,linear,100,KuHar,0.3359375,0.24069098207029238
rnn,UCI,2,linear,100,MotionSense,0.3037109375,0.2555434885691153
rnn,UCI,2,linear,100,RealWorld_thigh,0.3701388888888889,0.31935041159955374
rnn,UCI,2,linear,100,RealWorld_waist,0.465625,0.39753471490582815
rnn,UCI,2,linear,100,UCI,0.75625,0.6996838850795913
rnn,UCI,2,linear,100,WISDM,0.341015625,0.2284875081709682
rnn,UCI,2,linear,full,KuHar,0.3359375,0.23859126984126985
rnn,UCI,2,linear,full,MotionSense,0.3212890625,0.2806633545119451
rnn,UCI,2,linear,full,RealWorld_thigh,0.3486111111111111,0.3006427726476958
rnn,UCI,2,linear,full,RealWorld_waist,0.490234375,0.42591103577727557
rnn,UCI,2,linear,full,UCI,0.796875,0.738790218428896
rnn,UCI,2,linear,full,WISDM,0.3453125,0.23273349658962428
