encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,WISDM,2,finetune,1,KuHar,0.4140625,0.2726367376890217
rnn,WISDM,2,finetune,1,MotionSense,0.41015625,0.3563902643252182
rnn,WISDM,2,finetune,1,RealWorld_thigh,0.38055555555555554,0.3014729784067706
rnn,WISDM,2,finetune,1,RealWorld_waist,0.35,0.2803613495725954
rnn,WISDM,2,finetune,1,UCI,0.38125,0.24198204859466008
rnn,WISDM,2,finetune,1,WISDM,0.56953125,0.5606714494629006
rnn,WISDM,2,finetune,10,KuHar,0.6015625,0.46485395505003346
rnn,WISDM,2,finetune,10,MotionSense,0.392578125,0.30076691459481436
rnn,WISDM,2,finetune,10,RealWorld_thigh,0.390625,0.27781509814222705
rnn,WISDM,2,finetune,10,RealWorld_waist,0.39453125,0.3212995184822751
rnn,WISDM,2,finetune,10,UCI,0.3828125,0.28842290893044936
rnn,WISDM,2,finetune,10,WISDM,0.71953125,0.7098206020200619
rnn,WISDM,2,finetune,100,KuHar,0.5625,0.36507936507936506
rnn,WISDM,2,finetune,100,MotionSense,0.482421875,0.39819722087431453
rnn,WISDM,2,finetune,100,RealWorld_thigh,0.47152777777777777,0.37926006131559165
rnn,WISDM,2,finetune,100,RealWorld_waist,0.428125,0.3533510675824985
rnn,WISDM,2,finetune,100,UCI,0.415625,0.29209612315779593
rnn,WISDM,2,finetune,100,WISDM,0.782421875,0.7657806825837234
rnn,WISDM,2,finetune,full,KuHar,0.546875,0.39782793123237764
rnn,WISDM,2,finetune,full,MotionSense,0.609375,0.5057098473046749
rnn,WISDM,2,finetune,full,RealWorld_thigh,0.5059027777777778,0.4097861098402445
rnn,WISDM,2,finetune,full,RealWorld_waist,0.444921875,0.3317987140132857
rnn,WISDM,2,finetune,full,UCI,0.371875,0.2729338790343808
rnn,WISDM,2,finetune,full,WISDM,0.825,0.8226279210305656
rnn,WISDM,2,linear,1,KuHar,0.375,0.18878101402373249
rnn,WISDM,2,linear,1,MotionSense,0.3134765625,0.19702191319627382
rnn,WISDM,2,linear,1,RealWorld_thigh,0.3038194444444444,0.2076292529540578
rnn,WISDM,2,linear,1,RealWorld_waist,0.298828125,0.1974357935169195
rnn,WISDM,2,linear,1,UCI,0.1671875,0.1343531749854604
rnn,WISDM,2,linear,1,WISDM,0.45390625,0.36555501871246054
rnn,WISDM,2,linear,10,KuHar,0.390625,0.2222222222222222
rnn,WISDM,2,linear,10,MotionSense,0.3349609375,0.18325625539613088
rnn,WISDM,2,linear,10,RealWorld_thigh,0.32430555555555557,0.20669370599964695
rnn,WISDM,2,linear,10,RealWorld_waist,0.353515625,0.23155305335616924
rnn,WISDM,2,linear,10,UCI,0.2203125,0.1614069062248468
rnn,WISDM,2,linear,10,WISDM,0.500390625,0.3870821903902174
rnn,WISDM,2,linear,100,KuHar,0.4765625,0.3148989898989899
rnn,WISDM,2,linear,100,MotionSense,0.435546875,0.29995020768943353
rnn,WISDM,2,linear,100,RealWorld_thigh,0.4288194444444444,0.2978756906533582
rnn,WISDM,2,linear,100,RealWorld_waist,0.36796875,0.2352101900939647
rnn,WISDM,2,linear,100,UCI,0.3515625,0.2113565655687842
rnn,WISDM,2,linear,100,WISDM,0.694921875,0.6126063331776765
rnn,WISDM,2,linear,full,KuHar,0.546875,0.3623719676549865
rnn,WISDM,2,linear,full,MotionSense,0.55859375,0.46551548470371734
rnn,WISDM,2,linear,full,RealWorld_thigh,0.5013888888888889,0.41176279736627425
rnn,WISDM,2,linear,full,RealWorld_waist,0.43515625,0.3629546716127214
rnn,WISDM,2,linear,full,UCI,0.4015625,0.2994326884536257
rnn,WISDM,2,linear,full,WISDM,0.803125,0.7975354753426516
