encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,MotionSense,1,finetune,1,KuHar,0.3046875,0.20525768804838573
tstcc,MotionSense,1,finetune,1,MotionSense,0.4384765625,0.3835648033531103
tstcc,MotionSense,1,finetune,1,RealWorld_thigh,0.33125,0.24519729347117739
tstcc,MotionSense,1,finetune,1,RealWorld_waist,0.30625,0.2024069048272116
tstcc,MotionSense,1,finetune,1,UCI,0.365625,0.2587692073340161
tstcc,MotionSense,1,finetune,1,WISDM,0.290625,0.15548134719970433
tstcc,MotionSense,1,finetune,10,KuHar,0.390625,0.2773435346015991
tstcc,MotionSense,1,finetune,10,MotionSense,0.6875,0.6802735964310104
tstcc,MotionSense,1,finetune,10,RealWorld_thigh,0.5701388888888889,0.5706482322864769
tstcc,MotionSense,1,finetune,10,RealWorld_waist,0.3625,0.2997804482679488
tstcc,MotionSense,1,finetune,10,UCI,0.4109375,0.330122488979467
tstcc,MotionSense,1,finetune,10,WISDM,0.452734375,0.3467753317211146
tstcc,MotionSense,1,finetune,100,KuHar,0.375,0.3049920072933448
tstcc,MotionSense,1,finetune,100,MotionSense,0.8232421875,0.8095740322644853
tstcc,MotionSense,1,finetune,100,RealWorld_thigh,0.6572916666666667,0.64353831947945
tstcc,MotionSense,1,finetune,100,RealWorld_waist,0.41171875,0.31607890088932133
tstcc,MotionSense,1,finetune,100,UCI,0.4984375,0.4179982066857363
tstcc,MotionSense,1,finetune,100,WISDM,0.53359375,0.3640361286653196
tstcc,MotionSense,1,finetune,full,KuHar,0.5078125,0.4312899912899913
tstcc,MotionSense,1,finetune,full,MotionSense,0.9375,0.9381208032199648
tstcc,MotionSense,1,finetune,full,RealWorld_thigh,0.7097222222222223,0.7063399459444906
tstcc,MotionSense,1,finetune,full,RealWorld_waist,0.319140625,0.25587058621654285
tstcc,MotionSense,1,finetune,full,UCI,0.503125,0.4579874946705488
tstcc,MotionSense,1,finetune,full,WISDM,0.550390625,0.39296046174510996
tstcc,MotionSense,1,linear,1,KuHar,0.2890625,0.2465139196846514
tstcc,MotionSense,1,linear,1,MotionSense,0.3876953125,0.35405252705252016
tstcc,MotionSense,1,linear,1,RealWorld_thigh,0.28680555555555554,0.24305906803937058
tstcc,MotionSense,1,linear,1,RealWorld_waist,0.23515625,0.16638065930026058
tstcc,MotionSense,1,linear,1,UCI,0.2578125,0.14210066487249004
tstcc,MotionSense,1,linear,1,WISDM,0.33515625,0.19306306211313426
tstcc,MotionSense,1,linear,10,KuHar,0.4296875,0.337942612942613
tstcc,MotionSense,1,linear,10,MotionSense,0.5517578125,0.5044429459394062
tstcc,MotionSense,1,linear,10,RealWorld_thigh,0.4826388888888889,0.4400182812275051
tstcc,MotionSense,1,linear,10,RealWorld_waist,0.371484375,0.28930521978433316
tstcc,MotionSense,1,linear,10,UCI,0.415625,0.2659260807462395
tstcc,MotionSense,1,linear,10,WISDM,0.43125,0.28706797636253517
tstcc,MotionSense,1,linear,100,KuHar,0.375,0.26307189542483655
tstcc,MotionSense,1,linear,100,MotionSense,0.826171875,0.8284383410939372
tstcc,MotionSense,1,linear,100,RealWorld_thigh,0.5847222222222223,0.5806260874807028
tstcc,MotionSense,1,linear,100,RealWorld_waist,0.396484375,0.3269925018431153
tstcc,MotionSense,1,linear,100,UCI,0.4546875,0.38885903678274564
tstcc,MotionSense,1,linear,100,WISDM,0.494921875,0.372855926876799
tstcc,MotionSense,1,linear,full,KuHar,0.4140625,0.27436647173489276
tstcc,MotionSense,1,linear,full,MotionSense,0.865234375,0.8683572202168811
tstcc,MotionSense,1,linear,full,RealWorld_thigh,0.6486111111111111,0.6460065093438206
tstcc,MotionSense,1,linear,full,RealWorld_waist,0.390234375,0.30822008463817635
tstcc,MotionSense,1,linear,full,UCI,0.45625,0.3855862962659317
tstcc,MotionSense,1,linear,full,WISDM,0.501953125,0.3767482786981889
