encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,UCI,1,finetune,1,KuHar,0.3671875,0.26736916051984544
tstcc,UCI,1,finetune,1,MotionSense,0.275390625,0.22533292928102533
tstcc,UCI,1,finetune,1,RealWorld_thigh,0.32048611111111114,0.26945822975030703
tstcc,UCI,1,finetune,1,RealWorld_waist,0.39609375,0.32187048593142936
tstcc,UCI,1,finetune,1,UCI,0.5015625,0.4939656908862058
tstcc,UCI,1,finetune,1,WISDM,0.398828125,0.2400325411726194
tstcc,UCI,1,finetune,10,KuHar,0.3984375,0.265117745479972
tstcc,UCI,1,finetune,10,MotionSense,0.359375,0.30057313012661013
tstcc,UCI,1,finetune,10,RealWorld_thigh,0.33993055555555557,0.2748576401606559
tstcc,UCI,1,finetune,10,RealWorld_waist,0.477734375,0.4046664102615794
tstcc,UCI,1,finetune,10,UCI,0.7671875,0.7310186905557032
tstcc,UCI,1,finetune,10,WISDM,0.46640625,0.2827951169616263
tstcc,UCI,1,finetune,100,KuHar,0.4375,0.30100656667820846
tstcc,UCI,1,finetune,100,MotionSense,0.3525390625,0.32393617064246827
tstcc,UCI,1,finetune,100,RealWorld_thigh,0.33125,0.285563837977428
tstcc,UCI,1,finetune,100,RealWorld_waist,0.519921875,0.4488799206439264
tstcc,UCI,1,finetune,100,UCI,0.8359375,0.7814880920380625
tstcc,UCI,1,finetune,100,WISDM,0.43515625,0.2886003838398689
tstcc,UCI,1,finetune,full,KuHar,0.4921875,0.3851160006541332
tstcc,UCI,1,finetune,full,MotionSense,0.3916015625,0.33958791985380943
tstcc,UCI,1,finetune,full,RealWorld_thigh,0.3055555555555556,0.2508404307972601
tstcc,UCI,1,finetune,full,RealWorld_waist,0.6171875,0.5601655310788579
tstcc,UCI,1,finetune,full,UCI,0.94375,0.9326551444883467
tstcc,UCI,1,finetune,full,WISDM,0.310546875,0.22628666558665542
tstcc,UCI,1,linear,1,KuHar,0.3203125,0.20281765018607123
tstcc,UCI,1,linear,1,MotionSense,0.3486328125,0.2921072957264433
tstcc,UCI,1,linear,1,RealWorld_thigh,0.34965277777777776,0.28422376454263815
tstcc,UCI,1,linear,1,RealWorld_waist,0.344140625,0.2744333592118828
tstcc,UCI,1,linear,1,UCI,0.4453125,0.41430415325606634
tstcc,UCI,1,linear,1,WISDM,0.4546875,0.2629046423441609
tstcc,UCI,1,linear,10,KuHar,0.3203125,0.23042501962373016
tstcc,UCI,1,linear,10,MotionSense,0.3720703125,0.3173935219842329
tstcc,UCI,1,linear,10,RealWorld_thigh,0.32534722222222223,0.2582143919848474
tstcc,UCI,1,linear,10,RealWorld_waist,0.395703125,0.3487057819698201
tstcc,UCI,1,linear,10,UCI,0.6625,0.641016008122069
tstcc,UCI,1,linear,10,WISDM,0.446484375,0.2698013876120087
tstcc,UCI,1,linear,100,KuHar,0.3984375,0.3187984640158554
tstcc,UCI,1,linear,100,MotionSense,0.3388671875,0.31374388687725047
tstcc,UCI,1,linear,100,RealWorld_thigh,0.33055555555555555,0.28357519351922983
tstcc,UCI,1,linear,100,RealWorld_waist,0.473046875,0.4119147684773803
tstcc,UCI,1,linear,100,UCI,0.8109375,0.785218082715349
tstcc,UCI,1,linear,100,WISDM,0.4421875,0.286238443404707
tstcc,UCI,1,linear,full,KuHar,0.4140625,0.28156494522691705
tstcc,UCI,1,linear,full,MotionSense,0.3544921875,0.33668221067459503
tstcc,UCI,1,linear,full,RealWorld_thigh,0.35,0.30397991834504856
tstcc,UCI,1,linear,full,RealWorld_waist,0.53359375,0.4757862988248796
tstcc,UCI,1,linear,full,UCI,0.859375,0.8269632865183855
tstcc,UCI,1,linear,full,WISDM,0.4375,0.29103739086026253
