encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,combined,3,finetune,1,KuHar,0.4296875,0.35570916538658476
tstcc,combined,3,finetune,1,MotionSense,0.4423828125,0.3857278486128661
tstcc,combined,3,finetune,1,RealWorld_thigh,0.4388888888888889,0.4369807628908138
tstcc,combined,3,finetune,1,RealWorld_waist,0.433203125,0.31945720217093554
tstcc,combined,3,finetune,1,UCI,0.4296875,0.3316877492492968
tstcc,combined,3,finetune,1,WISDM,0.393359375,0.2680441433530289
tstcc,combined,3,finetune,10,KuHar,0.578125,0.48848637628627906
tstcc,combined,3,finetune,10,MotionSense,0.5390625,0.49128269760730287
tstcc,combined,3,finetune,10,RealWorld_thigh,0.5451388888888888,0.52923609585052
tstcc,combined,3,finetune,10,RealWorld_waist,0.594140625,0.5547211467784067
tstcc,combined,3,finetune,10,UCI,0.465625,0.34373418137764417
tstcc,combined,3,finetune,10,WISDM,0.60234375,0.4040279692939635
tstcc,combined,3,finetune,100,KuHar,0.578125,0.4516129032258065
tstcc,combined,3,finetune,100,MotionSense,0.7158203125,0.6945874607429818
tstcc,combined,3,finetune,100,RealWorld_thigh,0.6871527777777777,0.6792266094408704
tstcc,combined,3,finetune,100,RealWorld_waist,0.68515625,0.6676099810701374
tstcc,combined,3,finetune,100,UCI,0.7296875,0.6665767620246463
tstcc,combined,3,finetune,100,WISDM,0.666015625,0.45015543510127237
tstcc,combined,3,finetune,full,KuHar,0.6015625,0.5191858109135428
tstcc,combined,3,finetune,full,MotionSense,0.830078125,0.8311940064216646
tstcc,combined,3,finetune,full,RealWorld_thigh,0.7069444444444445,0.7176254690574271
tstcc,combined,3,finetune,full,RealWorld_waist,0.72578125,0.7312086817022934
tstcc,combined,3,finetune,full,UCI,0.809375,0.7809951785027108
tstcc,combined,3,finetune,full,WISDM,0.778515625,0.5253909249678417
tstcc,combined,3,linear,1,KuHar,0.421875,0.33495564530047295
tstcc,combined,3,linear,1,MotionSense,0.28515625,0.225556330929651
tstcc,combined,3,linear,1,RealWorld_thigh,0.359375,0.3039408560303353
tstcc,combined,3,linear,1,RealWorld_waist,0.392578125,0.34321842658559576
tstcc,combined,3,linear,1,UCI,0.3734375,0.28008908350014416
tstcc,combined,3,linear,1,WISDM,0.3546875,0.23230940218600823
tstcc,combined,3,linear,10,KuHar,0.515625,0.44559566250742727
tstcc,combined,3,linear,10,MotionSense,0.46484375,0.4170992700118709
tstcc,combined,3,linear,10,RealWorld_thigh,0.44131944444444443,0.39764173883118653
tstcc,combined,3,linear,10,RealWorld_waist,0.494921875,0.45045817618435735
tstcc,combined,3,linear,10,UCI,0.4671875,0.32463663912008167
tstcc,combined,3,linear,10,WISDM,0.48515625,0.32176552497653826
tstcc,combined,3,linear,100,KuHar,0.5390625,0.43042528459195123
tstcc,combined,3,linear,100,MotionSense,0.7041015625,0.6987856209280241
tstcc,combined,3,linear,100,RealWorld_thigh,0.6565972222222223,0.6544619004420946
tstcc,combined,3,linear,100,RealWorld_waist,0.6484375,0.6520036782373682
tstcc,combined,3,linear,100,UCI,0.725,0.6878445106256463
tstcc,combined,3,linear,100,WISDM,0.64921875,0.46240808075722056
tstcc,combined,3,linear,full,KuHar,0.6875,0.6291358024691358
tstcc,combined,3,linear,full,MotionSense,0.8662109375,0.8675035106732439
tstcc,combined,3,linear,full,RealWorld_thigh,0.7017361111111111,0.7052943498955836
tstcc,combined,3,linear,full,RealWorld_waist,0.730859375,0.7346004252527439
tstcc,combined,3,linear,full,UCI,0.853125,0.8152911341261977
tstcc,combined,3,linear,full,WISDM,0.78203125,0.5326523267062321
