encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,MotionSense,3,finetune,1,KuHar,0.140625,0.10470044512597704
cnnpff,MotionSense,3,finetune,1,MotionSense,0.203125,0.165991463986747
cnnpff,MotionSense,3,finetune,1,RealWorld_thigh,0.18472222222222223,0.14901301348447843
cnnpff,MotionSense,3,finetune,1,RealWorld_waist,0.206640625,0.1374874853746629
cnnpff,MotionSense,3,finetune,1,UCI,0.240625,0.15065741620422357
cnnpff,MotionSense,3,finetune,1,WISDM,0.076953125,0.06846855505371778
cnnpff,MotionSense,3,finetune,10,KuHar,0.1796875,0.12986111111111112
cnnpff,MotionSense,3,finetune,10,MotionSense,0.296875,0.2634816453244638
cnnpff,MotionSense,3,finetune,10,RealWorld_thigh,0.2204861111111111,0.18719349087357964
cnnpff,MotionSense,3,finetune,10,RealWorld_waist,0.214453125,0.14768671098250122
cnnpff,MotionSense,3,finetune,10,UCI,0.221875,0.1385025649059283
cnnpff,MotionSense,3,finetune,10,WISDM,0.14609375,0.10467159781574135
cnnpff,MotionSense,3,finetune,100,KuHar,0.421875,0.3210742299101345
cnnpff,MotionSense,3,finetune,100,MotionSense,0.8271484375,0.8285563042263524
cnnpff,MotionSense,3,finetune,100,RealWorld_thigh,0.5118055555555555,0.4952227079905822
cnnpff,MotionSense,3,finetune,100,RealWorld_waist,0.35078125,0.30311599167567216
cnnpff,MotionSense,3,finetune,100,UCI,0.3140625,0.29261476131844694
cnnpff,MotionSense,3,finetune,100,WISDM,0.489453125,0.37617754333650394
cnnpff,MotionSense,3,finetune,full,KuHar,0.46875,0.377384960718294
cnnpff,MotionSense,3,finetune,full,MotionSense,0.8623046875,0.8648991536613128
cnnpff,MotionSense,3,finetune,full,RealWorld_thigh,0.6020833333333333,0.5867007378936969
cnnpff,MotionSense,3,finetune,full,RealWorld_waist,0.37578125,0.33560336688978554
cnnpff,MotionSense,3,finetune,full,UCI,0.4734375,0.4002455388723688
cnnpff,MotionSense,3,finetune,full,WISDM,0.481640625,0.3711391043229999
cnnpff,MotionSense,3,linear,1,KuHar,0.2265625,0.15701058201058202
cnnpff,MotionSense,3,linear,1,MotionSense,0.294921875,0.2961805646316608
cnnpff,MotionSense,3,linear,1,RealWorld_thigh,0.23958333333333334,0.2135252371199113
cnnpff,MotionSense,3,linear,1,RealWorld_waist,0.196875,0.16330812610709042
cnnpff,MotionSense,3,linear,1,UCI,0.1578125,0.1297312911991608
cnnpff,MotionSense,3,linear,1,WISDM,0.240625,0.15168557845822783
cnnpff,MotionSense,3,linear,10,KuHar,0.390625,0.2834521173595869
cnnpff,MotionSense,3,linear,10,MotionSense,0.529296875,0.4724406253290765
cnnpff,MotionSense,3,linear,10,RealWorld_thigh,0.36701388888888886,0.27134671855043874
cnnpff,MotionSense,3,linear,10,RealWorld_waist,0.326171875,0.23504473755550717
cnnpff,MotionSense,3,linear,10,UCI,0.253125,0.20941757107380515
cnnpff,MotionSense,3,linear,10,WISDM,0.346484375,0.22480720012503694
cnnpff,MotionSense,3,linear,100,KuHar,0.3203125,0.21113606276727728
cnnpff,MotionSense,3,linear,100,MotionSense,0.806640625,0.8081224651154241
cnnpff,MotionSense,3,linear,100,RealWorld_thigh,0.45069444444444445,0.4212357658546518
cnnpff,MotionSense,3,linear,100,RealWorld_waist,0.258984375,0.1804434773490385
cnnpff,MotionSense,3,linear,100,UCI,0.215625,0.1656002137124956
cnnpff,MotionSense,3,linear,100,WISDM,0.48515625,0.35459269792425685
cnnpff,MotionSense,3,linear,full,KuHar,0.3359375,0.2614814814814815
cnnpff,MotionSense,3,linear,full,MotionSense,0.845703125,0.8467094588540894
cnnpff,MotionSense,3,linear,full,RealWorld_thigh,0.5322916666666667,0.521847578277946
cnnpff,MotionSense,3,linear,full,RealWorld_waist,0.258984375,0.20315007975073476
cnnpff,MotionSense,3,linear,full,UCI,0.25,0.16336690909423945
cnnpff,MotionSense,3,linear,full,WISDM,0.520703125,0.3891521946947758
