encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,RealWorld_waist,1,finetune,1,KuHar,0.1328125,0.10256085518075132
cnnpff,RealWorld_waist,1,finetune,1,MotionSense,0.12109375,0.09231876135344265
cnnpff,RealWorld_waist,1,finetune,1,RealWorld_thigh,0.14097222222222222,0.1093343548260096
cnnpff,RealWorld_waist,1,finetune,1,RealWorld_waist,0.1859375,0.1475584990186276
cnnpff,RealWorld_waist,1,finetune,1,UCI,0.24375,0.1670466899234985
cnnpff,RealWorld_waist,1,finetune,1,WISDM,0.03359375,0.02695039975387521
cnnpff,RealWorld_waist,1,finetune,10,KuHar,0.2421875,0.16447083475805954
cnnpff,RealWorld_waist,1,finetune,10,MotionSense,0.1494140625,0.1157062339076015
cnnpff,RealWorld_waist,1,finetune,10,RealWorld_thigh,0.1642361111111111,0.12708823378772552
cnnpff,RealWorld_waist,1,finetune,10,RealWorld_waist,0.2828125,0.2214500619402168
cnnpff,RealWorld_waist,1,finetune,10,UCI,0.296875,0.2104749987106441
cnnpff,RealWorld_waist,1,finetune,10,WISDM,0.114453125,0.06360517895825556
cnnpff,RealWorld_waist,1,finetune,100,KuHar,0.546875,0.41759381252134875
cnnpff,RealWorld_waist,1,finetune,100,MotionSense,0.4365234375,0.38079376893477646
cnnpff,RealWorld_waist,1,finetune,100,RealWorld_thigh,0.4184027777777778,0.35575474019504805
cnnpff,RealWorld_waist,1,finetune,100,RealWorld_waist,0.715625,0.7152842765153875
cnnpff,RealWorld_waist,1,finetune,100,UCI,0.6578125,0.6001624887316739
cnnpff,RealWorld_waist,1,finetune,100,WISDM,0.360546875,0.25568991151295856
cnnpff,RealWorld_waist,1,finetune,full,KuHar,0.5859375,0.5275525238097755
cnnpff,RealWorld_waist,1,finetune,full,MotionSense,0.373046875,0.3198777124708713
cnnpff,RealWorld_waist,1,finetune,full,RealWorld_thigh,0.4774305555555556,0.42304406078479656
cnnpff,RealWorld_waist,1,finetune,full,RealWorld_waist,0.7375,0.7346247639818153
cnnpff,RealWorld_waist,1,finetune,full,UCI,0.6109375,0.45056992979458305
cnnpff,RealWorld_waist,1,finetune,full,WISDM,0.31171875,0.23357072382241836
cnnpff,RealWorld_waist,1,linear,1,KuHar,0.1953125,0.1027064063035286
cnnpff,RealWorld_waist,1,linear,1,MotionSense,0.158203125,0.05223613595706619
cnnpff,RealWorld_waist,1,linear,1,RealWorld_thigh,0.159375,0.087518769082287
cnnpff,RealWorld_waist,1,linear,1,RealWorld_waist,0.1984375,0.13946698222134485
cnnpff,RealWorld_waist,1,linear,1,UCI,0.153125,0.09022547308052038
cnnpff,RealWorld_waist,1,linear,1,WISDM,0.23125,0.10474848164524111
cnnpff,RealWorld_waist,1,linear,10,KuHar,0.5546875,0.4664028589249119
cnnpff,RealWorld_waist,1,linear,10,MotionSense,0.26171875,0.19440135453993398
cnnpff,RealWorld_waist,1,linear,10,RealWorld_thigh,0.25833333333333336,0.1736374274710161
cnnpff,RealWorld_waist,1,linear,10,RealWorld_waist,0.57578125,0.5600857434209677
cnnpff,RealWorld_waist,1,linear,10,UCI,0.5828125,0.5215062249844493
cnnpff,RealWorld_waist,1,linear,10,WISDM,0.36015625,0.19952078600825385
cnnpff,RealWorld_waist,1,linear,100,KuHar,0.5703125,0.46636633877759076
cnnpff,RealWorld_waist,1,linear,100,MotionSense,0.201171875,0.14108103223103566
cnnpff,RealWorld_waist,1,linear,100,RealWorld_thigh,0.18368055555555557,0.11397672811065566
cnnpff,RealWorld_waist,1,linear,100,RealWorld_waist,0.71953125,0.7242008306327055
cnnpff,RealWorld_waist,1,linear,100,UCI,0.6109375,0.5864724902252972
cnnpff,RealWorld_waist,1,linear,100,WISDM,0.30546875,0.17557738842243986
cnnpff,RealWorld_waist,1,linear,full,KuHar,0.5390625,0.47679208046855104
cnnpff,RealWorld_waist,1,linear,full,MotionSense,0.3779296875,0.3471878057470752
cnnpff,RealWorld_waist,1,linear,full,RealWorld_thigh,0.35659722222222223,0.293442226759997
cnnpff,RealWorld_waist,1,linear,full,RealWorld_waist,0.762109375,0.7615983081705272
cnnpff,RealWorld_waist,1,linear,full,UCI,0.6609375,0.5168715654577315
cnnpff,RealWorld_waist,1,linear,full,WISDM,0.316796875,0.22022721011919688
