encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,WISDM,3,finetune,1,KuHar,0.2890625,0.1927423095644575
cnnpff,WISDM,3,finetune,1,MotionSense,0.1552734375,0.10510649855501548
cnnpff,WISDM,3,finetune,1,RealWorld_thigh,0.15138888888888888,0.10484414020290349
cnnpff,WISDM,3,finetune,1,RealWorld_waist,0.20546875,0.13086488229792606
cnnpff,WISDM,3,finetune,1,UCI,0.1234375,0.09400229151267459
cnnpff,WISDM,3,finetune,1,WISDM,0.29765625,0.26820420466048966
cnnpff,WISDM,3,finetune,10,KuHar,0.3046875,0.1617961511047755
cnnpff,WISDM,3,finetune,10,MotionSense,0.1396484375,0.07998504172459935
cnnpff,WISDM,3,finetune,10,RealWorld_thigh,0.190625,0.10727932660964322
cnnpff,WISDM,3,finetune,10,RealWorld_waist,0.185546875,0.09940197655250366
cnnpff,WISDM,3,finetune,10,UCI,0.1484375,0.05413662196464272
cnnpff,WISDM,3,finetune,10,WISDM,0.290625,0.2135255676715774
cnnpff,WISDM,3,finetune,100,KuHar,0.5234375,0.3409643605870021
cnnpff,WISDM,3,finetune,100,MotionSense,0.42578125,0.3513860449601687
cnnpff,WISDM,3,finetune,100,RealWorld_thigh,0.43819444444444444,0.36122818840176135
cnnpff,WISDM,3,finetune,100,RealWorld_waist,0.370703125,0.2891116160203893
cnnpff,WISDM,3,finetune,100,UCI,0.428125,0.2636305532514196
cnnpff,WISDM,3,finetune,100,WISDM,0.7125,0.6976337884791677
cnnpff,WISDM,3,finetune,full,KuHar,0.515625,0.34149842580568784
cnnpff,WISDM,3,finetune,full,MotionSense,0.578125,0.4810994715382129
cnnpff,WISDM,3,finetune,full,RealWorld_thigh,0.5447916666666667,0.45632889776255436
cnnpff,WISDM,3,finetune,full,RealWorld_waist,0.428125,0.31345992670821826
cnnpff,WISDM,3,finetune,full,UCI,0.39375,0.25064501144517115
cnnpff,WISDM,3,finetune,full,WISDM,0.84140625,0.8385720586587195
cnnpff,WISDM,3,linear,1,KuHar,0.1640625,0.08001900073411927
cnnpff,WISDM,3,linear,1,MotionSense,0.2001953125,0.10007684150235062
cnnpff,WISDM,3,linear,1,RealWorld_thigh,0.12222222222222222,0.0498968418626095
cnnpff,WISDM,3,linear,1,RealWorld_waist,0.14921875,0.07507861635220126
cnnpff,WISDM,3,linear,1,UCI,0.1921875,0.1107069018607311
cnnpff,WISDM,3,linear,1,WISDM,0.21953125,0.14668015124025408
cnnpff,WISDM,3,linear,10,KuHar,0.4609375,0.31381159754063465
cnnpff,WISDM,3,linear,10,MotionSense,0.30078125,0.20684389362191924
cnnpff,WISDM,3,linear,10,RealWorld_thigh,0.3541666666666667,0.24167027175754874
cnnpff,WISDM,3,linear,10,RealWorld_waist,0.340234375,0.23458892615660018
cnnpff,WISDM,3,linear,10,UCI,0.365625,0.1938399797012992
cnnpff,WISDM,3,linear,10,WISDM,0.534375,0.45935026221263486
cnnpff,WISDM,3,linear,100,KuHar,0.4921875,0.36811965811965813
cnnpff,WISDM,3,linear,100,MotionSense,0.49609375,0.41087064116412897
cnnpff,WISDM,3,linear,100,RealWorld_thigh,0.41354166666666664,0.29893051831398326
cnnpff,WISDM,3,linear,100,RealWorld_waist,0.395703125,0.278026261975069
cnnpff,WISDM,3,linear,100,UCI,0.3546875,0.21310011726265696
cnnpff,WISDM,3,linear,100,WISDM,0.685546875,0.6635369704858013
cnnpff,WISDM,3,linear,full,KuHar,0.5078125,0.3330718954248366
cnnpff,WISDM,3,linear,full,MotionSense,0.56640625,0.47285970866659627
cnnpff,WISDM,3,linear,full,RealWorld_thigh,0.5159722222222223,0.42276679320124105
cnnpff,WISDM,3,linear,full,RealWorld_waist,0.4140625,0.329899935242068
cnnpff,WISDM,3,linear,full,UCI,0.4171875,0.26192543415979364
cnnpff,WISDM,3,linear,full,WISDM,0.795703125,0.7932641617206597
