encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,KuHar,3,finetune,1,KuHar,0.46875,0.3293389818898426
resnetse5,KuHar,3,finetune,1,MotionSense,0.390625,0.30071621514964036
resnetse5,KuHar,3,finetune,1,RealWorld_thigh,0.36354166666666665,0.28524317370695185
resnetse5,KuHar,3,finetune,1,RealWorld_waist,0.41171875,0.3407199218208043
resnetse5,KuHar,3,finetune,1,UCI,0.384375,0.2861429542963447
resnetse5,KuHar,3,finetune,1,WISDM,0.533203125,0.32006086288439234
resnetse5,KuHar,3,finetune,10,KuHar,0.5625,0.40877797816510003
resnetse5,KuHar,3,finetune,10,MotionSense,0.474609375,0.37268216600051707
resnetse5,KuHar,3,finetune,10,RealWorld_thigh,0.43194444444444446,0.37126784240995975
resnetse5,KuHar,3,finetune,10,RealWorld_waist,0.5609375,0.5227373196767799
resnetse5,KuHar,3,finetune,10,UCI,0.5078125,0.37272639142076613
resnetse5,KuHar,3,finetune,10,WISDM,0.567578125,0.33692439183474304
resnetse5,KuHar,3,finetune,100,KuHar,0.8046875,0.815347163853354
resnetse5,KuHar,3,finetune,100,MotionSense,0.3056640625,0.2729990076772791
resnetse5,KuHar,3,finetune,100,RealWorld_thigh,0.3736111111111111,0.3405266354771624
resnetse5,KuHar,3,finetune,100,RealWorld_waist,0.6828125,0.6853296465942398
resnetse5,KuHar,3,finetune,100,UCI,0.38125,0.3293273514523075
resnetse5,KuHar,3,finetune,100,WISDM,0.369140625,0.2988773430337078
resnetse5,KuHar,3,finetune,full,KuHar,0.8359375,0.8402969657312411
resnetse5,KuHar,3,finetune,full,MotionSense,0.3388671875,0.31357624136017925
resnetse5,KuHar,3,finetune,full,RealWorld_thigh,0.4083333333333333,0.38511678740938127
resnetse5,KuHar,3,finetune,full,RealWorld_waist,0.6890625,0.67895134516517
resnetse5,KuHar,3,finetune,full,UCI,0.35,0.299459287763994
resnetse5,KuHar,3,finetune,full,WISDM,0.398046875,0.30782872978846365
resnetse5,KuHar,3,linear,1,KuHar,0.3828125,0.3361489289025521
resnetse5,KuHar,3,linear,1,MotionSense,0.390625,0.31512151321175425
resnetse5,KuHar,3,linear,1,RealWorld_thigh,0.30520833333333336,0.24946060415805552
resnetse5,KuHar,3,linear,1,RealWorld_waist,0.318359375,0.2807488410828067
resnetse5,KuHar,3,linear,1,UCI,0.2734375,0.21758621442231618
resnetse5,KuHar,3,linear,1,WISDM,0.502734375,0.31233568445117604
resnetse5,KuHar,3,linear,10,KuHar,0.46875,0.4303286485534385
resnetse5,KuHar,3,linear,10,MotionSense,0.4619140625,0.39482270611123543
resnetse5,KuHar,3,linear,10,RealWorld_thigh,0.3909722222222222,0.3474846273087194
resnetse5,KuHar,3,linear,10,RealWorld_waist,0.4328125,0.40977300510612674
resnetse5,KuHar,3,linear,10,UCI,0.353125,0.3143416146231025
resnetse5,KuHar,3,linear,10,WISDM,0.543359375,0.3458750242965191
resnetse5,KuHar,3,linear,100,KuHar,0.7109375,0.7233023735810113
resnetse5,KuHar,3,linear,100,MotionSense,0.3828125,0.31624963679817425
resnetse5,KuHar,3,linear,100,RealWorld_thigh,0.40381944444444445,0.33762036153204505
resnetse5,KuHar,3,linear,100,RealWorld_waist,0.585546875,0.5762614089740047
resnetse5,KuHar,3,linear,100,UCI,0.371875,0.3775256062696413
resnetse5,KuHar,3,linear,100,WISDM,0.2125,0.17737946579369465
resnetse5,KuHar,3,linear,full,KuHar,0.75,0.7602382169577505
resnetse5,KuHar,3,linear,full,MotionSense,0.3564453125,0.2627485280290079
resnetse5,KuHar,3,linear,full,RealWorld_thigh,0.38645833333333335,0.3211401343438629
resnetse5,KuHar,3,linear,full,RealWorld_waist,0.591015625,0.5782477472040999
resnetse5,KuHar,3,linear,full,UCI,0.371875,0.37792386598274585
resnetse5,KuHar,3,linear,full,WISDM,0.192578125,0.15601508044356763
