encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,MotionSense,0,finetune,1,KuHar,0.3828125,0.25197506704356015
resnetse5,MotionSense,0,finetune,1,MotionSense,0.4404296875,0.38039818549403437
resnetse5,MotionSense,0,finetune,1,RealWorld_thigh,0.403125,0.30621336545414085
resnetse5,MotionSense,0,finetune,1,RealWorld_waist,0.343359375,0.27905335350395916
resnetse5,MotionSense,0,finetune,1,UCI,0.36875,0.2871305071918547
resnetse5,MotionSense,0,finetune,1,WISDM,0.546484375,0.318321249070675
resnetse5,MotionSense,0,finetune,10,KuHar,0.4375,0.2828184281842818
resnetse5,MotionSense,0,finetune,10,MotionSense,0.60546875,0.5792143782986555
resnetse5,MotionSense,0,finetune,10,RealWorld_thigh,0.4083333333333333,0.35421215824303026
resnetse5,MotionSense,0,finetune,10,RealWorld_waist,0.501953125,0.4400480807887876
resnetse5,MotionSense,0,finetune,10,UCI,0.4265625,0.2927954057817101
resnetse5,MotionSense,0,finetune,10,WISDM,0.526171875,0.31302020889092824
resnetse5,MotionSense,0,finetune,100,KuHar,0.3515625,0.27547363031234
resnetse5,MotionSense,0,finetune,100,MotionSense,0.908203125,0.908396668155528
resnetse5,MotionSense,0,finetune,100,RealWorld_thigh,0.5138888888888888,0.4823400912312439
resnetse5,MotionSense,0,finetune,100,RealWorld_waist,0.37421875,0.30053255504785076
resnetse5,MotionSense,0,finetune,100,UCI,0.3859375,0.3353568223033872
resnetse5,MotionSense,0,finetune,100,WISDM,0.412890625,0.3037932054368744
resnetse5,MotionSense,0,finetune,full,KuHar,0.375,0.34328449328449323
resnetse5,MotionSense,0,finetune,full,MotionSense,0.95703125,0.9570049546400518
resnetse5,MotionSense,0,finetune,full,RealWorld_thigh,0.63125,0.6229722483098095
resnetse5,MotionSense,0,finetune,full,RealWorld_waist,0.35703125,0.25955035254745645
resnetse5,MotionSense,0,finetune,full,UCI,0.38125,0.3492354467381397
resnetse5,MotionSense,0,finetune,full,WISDM,0.475,0.3580774866527818
resnetse5,MotionSense,0,linear,1,KuHar,0.2734375,0.15516341422148305
resnetse5,MotionSense,0,linear,1,MotionSense,0.30078125,0.24005836205333794
resnetse5,MotionSense,0,linear,1,RealWorld_thigh,0.29930555555555555,0.1942886420057132
resnetse5,MotionSense,0,linear,1,RealWorld_waist,0.22265625,0.14100590135205146
resnetse5,MotionSense,0,linear,1,UCI,0.3171875,0.160507694735418
resnetse5,MotionSense,0,linear,1,WISDM,0.44765625,0.2536838523335823
resnetse5,MotionSense,0,linear,10,KuHar,0.40625,0.24248963064875875
resnetse5,MotionSense,0,linear,10,MotionSense,0.458984375,0.38805996779449803
resnetse5,MotionSense,0,linear,10,RealWorld_thigh,0.30069444444444443,0.2119141770741858
resnetse5,MotionSense,0,linear,10,RealWorld_waist,0.34296875,0.25846702177480335
resnetse5,MotionSense,0,linear,10,UCI,0.284375,0.1916619450275601
resnetse5,MotionSense,0,linear,10,WISDM,0.50234375,0.28827591538675784
resnetse5,MotionSense,0,linear,100,KuHar,0.3828125,0.30094418362024
resnetse5,MotionSense,0,linear,100,MotionSense,0.7783203125,0.7747278051011611
resnetse5,MotionSense,0,linear,100,RealWorld_thigh,0.48055555555555557,0.45469727688832967
resnetse5,MotionSense,0,linear,100,RealWorld_waist,0.416015625,0.381285595257409
resnetse5,MotionSense,0,linear,100,UCI,0.3765625,0.3147265702319201
resnetse5,MotionSense,0,linear,100,WISDM,0.560546875,0.4074724641987942
resnetse5,MotionSense,0,linear,full,KuHar,0.3046875,0.23836785134638805
resnetse5,MotionSense,0,linear,full,MotionSense,0.8115234375,0.8086391374450366
resnetse5,MotionSense,0,linear,full,RealWorld_thigh,0.5048611111111111,0.49675291913099734
resnetse5,MotionSense,0,linear,full,RealWorld_waist,0.36484375,0.301897510145408
resnetse5,MotionSense,0,linear,full,UCI,0.3671875,0.3569618331841774
resnetse5,MotionSense,0,linear,full,WISDM,0.526171875,0.39232093498581877
