encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,KuHar,2,finetune,1,KuHar,0.421875,0.3378467211800545
rnn,KuHar,2,finetune,1,MotionSense,0.3388671875,0.2695647227721107
rnn,KuHar,2,finetune,1,RealWorld_thigh,0.3138888888888889,0.2488775057826169
rnn,KuHar,2,finetune,1,RealWorld_waist,0.38203125,0.3189595016833994
rnn,KuHar,2,finetune,1,UCI,0.328125,0.25130801671036257
rnn,KuHar,2,finetune,1,WISDM,0.430859375,0.262451401362837
rnn,KuHar,2,finetune,10,KuHar,0.484375,0.3996778126088471
rnn,KuHar,2,finetune,10,MotionSense,0.384765625,0.2930379157614932
rnn,KuHar,2,finetune,10,RealWorld_thigh,0.33958333333333335,0.2511347178486881
rnn,KuHar,2,finetune,10,RealWorld_waist,0.410546875,0.35249320296645076
rnn,KuHar,2,finetune,10,UCI,0.303125,0.2282237815941198
rnn,KuHar,2,finetune,10,WISDM,0.371484375,0.21779982693347097
rnn,KuHar,2,finetune,100,KuHar,0.71875,0.6468333733665399
rnn,KuHar,2,finetune,100,MotionSense,0.3818359375,0.2812803954552193
rnn,KuHar,2,finetune,100,RealWorld_thigh,0.34131944444444445,0.2464596410462213
rnn,KuHar,2,finetune,100,RealWorld_waist,0.50703125,0.442212616967883
rnn,KuHar,2,finetune,100,UCI,0.3453125,0.30796879302093727
rnn,KuHar,2,finetune,100,WISDM,0.3015625,0.1858678564650719
rnn,KuHar,2,finetune,full,KuHar,0.7421875,0.6735294117647058
rnn,KuHar,2,finetune,full,MotionSense,0.4794921875,0.42713473820760534
rnn,KuHar,2,finetune,full,RealWorld_thigh,0.3885416666666667,0.34099042159453163
rnn,KuHar,2,finetune,full,RealWorld_waist,0.569140625,0.5049722056385063
rnn,KuHar,2,finetune,full,UCI,0.3671875,0.3293766158208421
rnn,KuHar,2,finetune,full,WISDM,0.4140625,0.2803687453596307
rnn,KuHar,2,linear,1,KuHar,0.390625,0.3027212435107172
rnn,KuHar,2,linear,1,MotionSense,0.357421875,0.294989679746078
rnn,KuHar,2,linear,1,RealWorld_thigh,0.3229166666666667,0.26088178472974083
rnn,KuHar,2,linear,1,RealWorld_waist,0.342578125,0.2844300029912425
rnn,KuHar,2,linear,1,UCI,0.3109375,0.23963997987740163
rnn,KuHar,2,linear,1,WISDM,0.4,0.24276226768533885
rnn,KuHar,2,linear,10,KuHar,0.5625,0.46466897694519177
rnn,KuHar,2,linear,10,MotionSense,0.380859375,0.30816355762658454
rnn,KuHar,2,linear,10,RealWorld_thigh,0.3434027777777778,0.26301364595791693
rnn,KuHar,2,linear,10,RealWorld_waist,0.48125,0.4301326904947616
rnn,KuHar,2,linear,10,UCI,0.3453125,0.2475498429500984
rnn,KuHar,2,linear,10,WISDM,0.35546875,0.2265695390932092
rnn,KuHar,2,linear,100,KuHar,0.6484375,0.5695708472068072
rnn,KuHar,2,linear,100,MotionSense,0.3818359375,0.2842420807850598
rnn,KuHar,2,linear,100,RealWorld_thigh,0.3486111111111111,0.2601970505189666
rnn,KuHar,2,linear,100,RealWorld_waist,0.44921875,0.40793360408996043
rnn,KuHar,2,linear,100,UCI,0.3375,0.30491829707617935
rnn,KuHar,2,linear,100,WISDM,0.30546875,0.19600634023627203
rnn,KuHar,2,linear,full,KuHar,0.640625,0.5733873738174515
rnn,KuHar,2,linear,full,MotionSense,0.357421875,0.2795405972602278
rnn,KuHar,2,linear,full,RealWorld_thigh,0.3329861111111111,0.2542625139832718
rnn,KuHar,2,linear,full,RealWorld_waist,0.4625,0.4264334853672554
rnn,KuHar,2,linear,full,UCI,0.3625,0.3387169168586093
rnn,KuHar,2,linear,full,WISDM,0.333984375,0.23626970317690996
