encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,MotionSense,0,finetune,1,KuHar,0.296875,0.168447752963882
rnn,MotionSense,0,finetune,1,MotionSense,0.3642578125,0.29292521947371863
rnn,MotionSense,0,finetune,1,RealWorld_thigh,0.29756944444444444,0.23385704917294128
rnn,MotionSense,0,finetune,1,RealWorld_waist,0.24296875,0.15750665434310882
rnn,MotionSense,0,finetune,1,UCI,0.23125,0.15489713740981428
rnn,MotionSense,0,finetune,1,WISDM,0.421875,0.2518631533999067
rnn,MotionSense,0,finetune,10,KuHar,0.1171875,0.10020407813277084
rnn,MotionSense,0,finetune,10,MotionSense,0.3564453125,0.30435864044639155
rnn,MotionSense,0,finetune,10,RealWorld_thigh,0.3145833333333333,0.28951289507861877
rnn,MotionSense,0,finetune,10,RealWorld_waist,0.205859375,0.15599982046158478
rnn,MotionSense,0,finetune,10,UCI,0.246875,0.1420590039920074
rnn,MotionSense,0,finetune,10,WISDM,0.321484375,0.23425480364340756
rnn,MotionSense,0,finetune,100,KuHar,0.2421875,0.1504184704184704
rnn,MotionSense,0,finetune,100,MotionSense,0.7841796875,0.7443203499768373
rnn,MotionSense,0,finetune,100,RealWorld_thigh,0.5413194444444445,0.5233313304325828
rnn,MotionSense,0,finetune,100,RealWorld_waist,0.323828125,0.1965784781682336
rnn,MotionSense,0,finetune,100,UCI,0.415625,0.3043963463666711
rnn,MotionSense,0,finetune,100,WISDM,0.5328125,0.3563758175538571
rnn,MotionSense,0,finetune,full,KuHar,0.25,0.14248366013071895
rnn,MotionSense,0,finetune,full,MotionSense,0.8515625,0.8481395231788172
rnn,MotionSense,0,finetune,full,RealWorld_thigh,0.5694444444444444,0.5655996520102913
rnn,MotionSense,0,finetune,full,RealWorld_waist,0.3671875,0.2834971449309351
rnn,MotionSense,0,finetune,full,UCI,0.4578125,0.397821930506141
rnn,MotionSense,0,finetune,full,WISDM,0.458203125,0.33954149318489096
rnn,MotionSense,0,linear,1,KuHar,0.25,0.15094465029796741
rnn,MotionSense,0,linear,1,MotionSense,0.3837890625,0.31949604743083
rnn,MotionSense,0,linear,1,RealWorld_thigh,0.3229166666666667,0.2674313168705415
rnn,MotionSense,0,linear,1,RealWorld_waist,0.269921875,0.18312615627861673
rnn,MotionSense,0,linear,1,UCI,0.284375,0.19835082301708518
rnn,MotionSense,0,linear,1,WISDM,0.419921875,0.26215248633327126
rnn,MotionSense,0,linear,10,KuHar,0.2421875,0.16064659977703455
rnn,MotionSense,0,linear,10,MotionSense,0.5771484375,0.5310249921991858
rnn,MotionSense,0,linear,10,RealWorld_thigh,0.4013888888888889,0.3670065752844995
rnn,MotionSense,0,linear,10,RealWorld_waist,0.329296875,0.21607348551967243
rnn,MotionSense,0,linear,10,UCI,0.3828125,0.25772182743737604
rnn,MotionSense,0,linear,10,WISDM,0.481640625,0.323119328142619
rnn,MotionSense,0,linear,100,KuHar,0.2578125,0.15581699346405228
rnn,MotionSense,0,linear,100,MotionSense,0.763671875,0.7431612593979754
rnn,MotionSense,0,linear,100,RealWorld_thigh,0.475,0.4262284711302579
rnn,MotionSense,0,linear,100,RealWorld_waist,0.319921875,0.1953340812552958
rnn,MotionSense,0,linear,100,UCI,0.421875,0.24006687270660598
rnn,MotionSense,0,linear,100,WISDM,0.46484375,0.322575414126187
rnn,MotionSense,0,linear,full,KuHar,0.2421875,0.14090303135686547
rnn,MotionSense,0,linear,full,MotionSense,0.79296875,0.7855740922110725
rnn,MotionSense,0,linear,full,RealWorld_thigh,0.5263888888888889,0.5136271807231161
rnn,MotionSense,0,linear,full,RealWorld_waist,0.316015625,0.20364955192541898
rnn,MotionSense,0,linear,full,UCI,0.4078125,0.29243890759949387
rnn,MotionSense,0,linear,full,WISDM,0.506640625,0.3659594222302019
