encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,UCI,3,finetune,1,KuHar,0.1953125,0.14726890756302521
rnn,UCI,3,finetune,1,MotionSense,0.181640625,0.15867080359772587
rnn,UCI,3,finetune,1,RealWorld_thigh,0.18958333333333333,0.15801010479598002
rnn,UCI,3,finetune,1,RealWorld_waist,0.205859375,0.16542214098014196
rnn,UCI,3,finetune,1,UCI,0.2203125,0.16821944315384277
rnn,UCI,3,finetune,1,WISDM,0.160546875,0.09549142583405222
rnn,UCI,3,finetune,10,KuHar,0.3203125,0.234204347314485
rnn,UCI,3,finetune,10,MotionSense,0.25,0.19254100820868833
rnn,UCI,3,finetune,10,RealWorld_thigh,0.2875,0.21803929019071813
rnn,UCI,3,finetune,10,RealWorld_waist,0.32890625,0.25211258370263273
rnn,UCI,3,finetune,10,UCI,0.384375,0.3379321922190587
rnn,UCI,3,finetune,10,WISDM,0.2578125,0.1508767036057334
rnn,UCI,3,finetune,100,KuHar,0.34375,0.24651252117974787
rnn,UCI,3,finetune,100,MotionSense,0.3388671875,0.2542786398937881
rnn,UCI,3,finetune,100,RealWorld_thigh,0.3232638888888889,0.2391888287070536
rnn,UCI,3,finetune,100,RealWorld_waist,0.4640625,0.3638113080428324
rnn,UCI,3,finetune,100,UCI,0.74375,0.6795655410194962
rnn,UCI,3,finetune,100,WISDM,0.337109375,0.20251888407706312
rnn,UCI,3,finetune,full,KuHar,0.390625,0.2756798756798757
rnn,UCI,3,finetune,full,MotionSense,0.2978515625,0.21769313164419946
rnn,UCI,3,finetune,full,RealWorld_thigh,0.3003472222222222,0.21150993971765883
rnn,UCI,3,finetune,full,RealWorld_waist,0.5078125,0.417467125063226
rnn,UCI,3,finetune,full,UCI,0.7875,0.7380629046240625
rnn,UCI,3,finetune,full,WISDM,0.294921875,0.18206085429866947
rnn,UCI,3,linear,1,KuHar,0.34375,0.2816302027819193
rnn,UCI,3,linear,1,MotionSense,0.2509765625,0.2193927699312279
rnn,UCI,3,linear,1,RealWorld_thigh,0.27152777777777776,0.23911291521415087
rnn,UCI,3,linear,1,RealWorld_waist,0.24765625,0.2191116712005575
rnn,UCI,3,linear,1,UCI,0.3171875,0.2658589463917835
rnn,UCI,3,linear,1,WISDM,0.27265625,0.1750413462775984
rnn,UCI,3,linear,10,KuHar,0.3359375,0.3130077288643918
rnn,UCI,3,linear,10,MotionSense,0.2939453125,0.26290879573885434
rnn,UCI,3,linear,10,RealWorld_thigh,0.34652777777777777,0.3074782525159903
rnn,UCI,3,linear,10,RealWorld_waist,0.3734375,0.3438838941431887
rnn,UCI,3,linear,10,UCI,0.5359375,0.5365805631407771
rnn,UCI,3,linear,10,WISDM,0.3078125,0.22127697862928977
rnn,UCI,3,linear,100,KuHar,0.3046875,0.24043872172009603
rnn,UCI,3,linear,100,MotionSense,0.375,0.3262423558784974
rnn,UCI,3,linear,100,RealWorld_thigh,0.35347222222222224,0.30234291054151236
rnn,UCI,3,linear,100,RealWorld_waist,0.460546875,0.41849831503115426
rnn,UCI,3,linear,100,UCI,0.7140625,0.6840414013239619
rnn,UCI,3,linear,100,WISDM,0.326953125,0.22648665137947321
rnn,UCI,3,linear,full,KuHar,0.3125,0.24267539612367198
rnn,UCI,3,linear,full,MotionSense,0.373046875,0.330004564129244
rnn,UCI,3,linear,full,RealWorld_thigh,0.3736111111111111,0.33273243677349496
rnn,UCI,3,linear,full,RealWorld_waist,0.4578125,0.4153027216988168
rnn,UCI,3,linear,full,UCI,0.734375,0.708898274898275
rnn,UCI,3,linear,full,WISDM,0.346484375,0.2437048899679658
