encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,combined,3,finetune,1,KuHar,0.4609375,0.38717814459208677
rnn,combined,3,finetune,1,MotionSense,0.3447265625,0.29650700836841387
rnn,combined,3,finetune,1,RealWorld_thigh,0.4041666666666667,0.39787619548958114
rnn,combined,3,finetune,1,RealWorld_waist,0.375390625,0.33487453218330776
rnn,combined,3,finetune,1,UCI,0.4015625,0.30508610553979404
rnn,combined,3,finetune,1,WISDM,0.3671875,0.25338322612054404
rnn,combined,3,finetune,10,KuHar,0.5703125,0.5254117013235554
rnn,combined,3,finetune,10,MotionSense,0.5263671875,0.5197855719282579
rnn,combined,3,finetune,10,RealWorld_thigh,0.5152777777777777,0.5043262516301291
rnn,combined,3,finetune,10,RealWorld_waist,0.461328125,0.4205719468713416
rnn,combined,3,finetune,10,UCI,0.359375,0.28288941893593056
rnn,combined,3,finetune,10,WISDM,0.508984375,0.376633202086736
rnn,combined,3,finetune,100,KuHar,0.59375,0.5493775548123375
rnn,combined,3,finetune,100,MotionSense,0.771484375,0.7676397341394693
rnn,combined,3,finetune,100,RealWorld_thigh,0.640625,0.6381991459906811
rnn,combined,3,finetune,100,RealWorld_waist,0.59921875,0.588465411240647
rnn,combined,3,finetune,100,UCI,0.70625,0.6646028452708711
rnn,combined,3,finetune,100,WISDM,0.63671875,0.4529421757619661
rnn,combined,3,finetune,full,KuHar,0.6015625,0.5419424640908016
rnn,combined,3,finetune,full,MotionSense,0.7685546875,0.7733718326799258
rnn,combined,3,finetune,full,RealWorld_thigh,0.6506944444444445,0.6112653400485178
rnn,combined,3,finetune,full,RealWorld_waist,0.692578125,0.683650435589232
rnn,combined,3,finetune,full,UCI,0.8640625,0.8348797024464686
rnn,combined,3,finetune,full,WISDM,0.74921875,0.5119176565746951
rnn,combined,3,linear,1,KuHar,0.484375,0.40277777777777773
rnn,combined,3,linear,1,MotionSense,0.3134765625,0.3026377769316552
rnn,combined,3,linear,1,RealWorld_thigh,0.42256944444444444,0.4017392365340975
rnn,combined,3,linear,1,RealWorld_waist,0.37421875,0.3506055642471196
rnn,combined,3,linear,1,UCI,0.3984375,0.3267637960817309
rnn,combined,3,linear,1,WISDM,0.36328125,0.2692985194486426
rnn,combined,3,linear,10,KuHar,0.5546875,0.5335886817483672
rnn,combined,3,linear,10,MotionSense,0.53125,0.5351110575632682
rnn,combined,3,linear,10,RealWorld_thigh,0.49930555555555556,0.489924913833782
rnn,combined,3,linear,10,RealWorld_waist,0.48203125,0.4885851561712682
rnn,combined,3,linear,10,UCI,0.390625,0.3247153484460133
rnn,combined,3,linear,10,WISDM,0.5015625,0.3759832072537877
rnn,combined,3,linear,100,KuHar,0.5625,0.46255191131178836
rnn,combined,3,linear,100,MotionSense,0.755859375,0.7545279662717546
rnn,combined,3,linear,100,RealWorld_thigh,0.5864583333333333,0.5900143089860799
rnn,combined,3,linear,100,RealWorld_waist,0.59140625,0.5971681823001359
rnn,combined,3,linear,100,UCI,0.6140625,0.6033440896475788
rnn,combined,3,linear,100,WISDM,0.648828125,0.4645146809888628
rnn,combined,3,linear,full,KuHar,0.6015625,0.5005585264408794
rnn,combined,3,linear,full,MotionSense,0.783203125,0.7831236334955142
rnn,combined,3,linear,full,RealWorld_thigh,0.60625,0.608396042001334
rnn,combined,3,linear,full,RealWorld_waist,0.661328125,0.6637686509393138
rnn,combined,3,linear,full,UCI,0.7265625,0.6980315110356564
rnn,combined,3,linear,full,WISDM,0.71328125,0.4992373078548651
