encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,KuHar,0,finetune,1,KuHar,0.5625,0.4527150456689752
cnnpff,KuHar,0,finetune,1,MotionSense,0.134765625,0.1062651414473475
cnnpff,KuHar,0,finetune,1,RealWorld_thigh,0.159375,0.10781557044299944
cnnpff,KuHar,0,finetune,1,RealWorld_waist,0.422265625,0.39054228531231927
cnnpff,KuHar,0,finetune,1,UCI,0.3265625,0.3131957802826872
cnnpff,KuHar,0,finetune,1,WISDM,0.235546875,0.172861328350454
cnnpff,KuHar,0,finetune,10,KuHar,0.7890625,0.7802218278615795
cnnpff,KuHar,0,finetune,10,MotionSense,0.4072265625,0.3659880006175736
cnnpff,KuHar,0,finetune,10,RealWorld_thigh,0.3572916666666667,0.3185744853261278
cnnpff,KuHar,0,finetune,10,RealWorld_waist,0.60234375,0.5862865242501852
cnnpff,KuHar,0,finetune,10,UCI,0.359375,0.2883467182921559
cnnpff,KuHar,0,finetune,10,WISDM,0.255859375,0.1886181153531787
cnnpff,KuHar,0,finetune,100,KuHar,0.796875,0.7873676427092576
cnnpff,KuHar,0,finetune,100,MotionSense,0.548828125,0.536120671064757
cnnpff,KuHar,0,finetune,100,RealWorld_thigh,0.4517361111111111,0.43458640265801934
cnnpff,KuHar,0,finetune,100,RealWorld_waist,0.615625,0.5689102905202986
cnnpff,KuHar,0,finetune,100,UCI,0.3796875,0.31044066790159053
cnnpff,KuHar,0,finetune,100,WISDM,0.48828125,0.335950004345314
cnnpff,KuHar,0,finetune,full,KuHar,0.8203125,0.8193514338999791
cnnpff,KuHar,0,finetune,full,MotionSense,0.4814453125,0.44593933484351017
cnnpff,KuHar,0,finetune,full,RealWorld_thigh,0.446875,0.40977306019951953
cnnpff,KuHar,0,finetune,full,RealWorld_waist,0.6171875,0.5787762745690158
cnnpff,KuHar,0,finetune,full,UCI,0.4140625,0.3412610609720941
cnnpff,KuHar,0,finetune,full,WISDM,0.361328125,0.27258724261054507
cnnpff,KuHar,0,linear,1,KuHar,0.453125,0.3745171088320734
cnnpff,KuHar,0,linear,1,MotionSense,0.06640625,0.07329070891398319
cnnpff,KuHar,0,linear,1,RealWorld_thigh,0.09895833333333333,0.08594055557379217
cnnpff,KuHar,0,linear,1,RealWorld_waist,0.13203125,0.10224457275042627
cnnpff,KuHar,0,linear,1,UCI,0.128125,0.13644767645486552
cnnpff,KuHar,0,linear,1,WISDM,0.18046875,0.12764817302987677
cnnpff,KuHar,0,linear,10,KuHar,0.6015625,0.5344029266902176
cnnpff,KuHar,0,linear,10,MotionSense,0.1064453125,0.08576847248855518
cnnpff,KuHar,0,linear,10,RealWorld_thigh,0.10972222222222222,0.10060123455241786
cnnpff,KuHar,0,linear,10,RealWorld_waist,0.358203125,0.33790698358090226
cnnpff,KuHar,0,linear,10,UCI,0.2015625,0.15429401658267594
cnnpff,KuHar,0,linear,10,WISDM,0.250390625,0.173608808783734
cnnpff,KuHar,0,linear,100,KuHar,0.609375,0.5670535326728238
cnnpff,KuHar,0,linear,100,MotionSense,0.2080078125,0.2174476033778088
cnnpff,KuHar,0,linear,100,RealWorld_thigh,0.17152777777777778,0.15486343744830636
cnnpff,KuHar,0,linear,100,RealWorld_waist,0.51484375,0.4630150890678529
cnnpff,KuHar,0,linear,100,UCI,0.2078125,0.17845335903153492
cnnpff,KuHar,0,linear,100,WISDM,0.285546875,0.21248084313207494
cnnpff,KuHar,0,linear,full,KuHar,0.59375,0.5438188977507048
cnnpff,KuHar,0,linear,full,MotionSense,0.1708984375,0.17774885865571363
cnnpff,KuHar,0,linear,full,RealWorld_thigh,0.18194444444444444,0.16563714126646492
cnnpff,KuHar,0,linear,full,RealWorld_waist,0.5,0.45049507404249195
cnnpff,KuHar,0,linear,full,UCI,0.2,0.1709564434109118
cnnpff,KuHar,0,linear,full,WISDM,0.268359375,0.19853619225009211
