encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,MotionSense,2,finetune,1,KuHar,0.1484375,0.08368359750848231
cnnpff,MotionSense,2,finetune,1,MotionSense,0.5361328125,0.4729440993748372
cnnpff,MotionSense,2,finetune,1,RealWorld_thigh,0.390625,0.30697424538732243
cnnpff,MotionSense,2,finetune,1,RealWorld_waist,0.180078125,0.18403431669568185
cnnpff,MotionSense,2,finetune,1,UCI,0.215625,0.14321477308403222
cnnpff,MotionSense,2,finetune,1,WISDM,0.579296875,0.395403132423737
cnnpff,MotionSense,2,finetune,10,KuHar,0.234375,0.2181993851559069
cnnpff,MotionSense,2,finetune,10,MotionSense,0.8515625,0.8502817273502202
cnnpff,MotionSense,2,finetune,10,RealWorld_thigh,0.5708333333333333,0.5534658263857303
cnnpff,MotionSense,2,finetune,10,RealWorld_waist,0.296484375,0.1997248861451054
cnnpff,MotionSense,2,finetune,10,UCI,0.478125,0.4022392943869454
cnnpff,MotionSense,2,finetune,10,WISDM,0.617578125,0.46118368989024106
cnnpff,MotionSense,2,finetune,100,KuHar,0.59375,0.5203466486589442
cnnpff,MotionSense,2,finetune,100,MotionSense,0.94140625,0.9404074064874736
cnnpff,MotionSense,2,finetune,100,RealWorld_thigh,0.6777777777777778,0.6616139269925463
cnnpff,MotionSense,2,finetune,100,RealWorld_waist,0.47109375,0.4267219062980249
cnnpff,MotionSense,2,finetune,100,UCI,0.48125,0.3888353782855313
cnnpff,MotionSense,2,finetune,100,WISDM,0.78359375,0.5337726917577085
cnnpff,MotionSense,2,finetune,full,KuHar,0.6171875,0.5462242159343609
cnnpff,MotionSense,2,finetune,full,MotionSense,0.953125,0.9531209067156429
cnnpff,MotionSense,2,finetune,full,RealWorld_thigh,0.6024305555555556,0.560397910552835
cnnpff,MotionSense,2,finetune,full,RealWorld_waist,0.41328125,0.36229212901348357
cnnpff,MotionSense,2,finetune,full,UCI,0.496875,0.4459120473578391
cnnpff,MotionSense,2,finetune,full,WISDM,0.679296875,0.48776080503103847
cnnpff,MotionSense,2,linear,1,KuHar,0.09375,0.07950606517761295
cnnpff,MotionSense,2,linear,1,MotionSense,0.314453125,0.24721423073721024
cnnpff,MotionSense,2,linear,1,RealWorld_thigh,0.27743055555555557,0.22213683262447273
cnnpff,MotionSense,2,linear,1,RealWorld_waist,0.1265625,0.12477557804290085
cnnpff,MotionSense,2,linear,1,UCI,0.290625,0.18569962089696374
cnnpff,MotionSense,2,linear,1,WISDM,0.47265625,0.316802660260117
cnnpff,MotionSense,2,linear,10,KuHar,0.3515625,0.31021524683005763
cnnpff,MotionSense,2,linear,10,MotionSense,0.7626953125,0.757159200077814
cnnpff,MotionSense,2,linear,10,RealWorld_thigh,0.4222222222222222,0.41607252365199576
cnnpff,MotionSense,2,linear,10,RealWorld_waist,0.292578125,0.2793859558985024
cnnpff,MotionSense,2,linear,10,UCI,0.246875,0.17105104226425516
cnnpff,MotionSense,2,linear,10,WISDM,0.54921875,0.4104756300679919
cnnpff,MotionSense,2,linear,100,KuHar,0.265625,0.2545843431005361
cnnpff,MotionSense,2,linear,100,MotionSense,0.837890625,0.8359793533887109
cnnpff,MotionSense,2,linear,100,RealWorld_thigh,0.5645833333333333,0.5453808804573655
cnnpff,MotionSense,2,linear,100,RealWorld_waist,0.241015625,0.24318825952317022
cnnpff,MotionSense,2,linear,100,UCI,0.259375,0.18209140229605716
cnnpff,MotionSense,2,linear,100,WISDM,0.65078125,0.4795922695874903
cnnpff,MotionSense,2,linear,full,KuHar,0.2421875,0.22305743243243245
cnnpff,MotionSense,2,linear,full,MotionSense,0.857421875,0.8552585983098145
cnnpff,MotionSense,2,linear,full,RealWorld_thigh,0.5892361111111111,0.5723195325497382
cnnpff,MotionSense,2,linear,full,RealWorld_waist,0.252734375,0.26245112342394544
cnnpff,MotionSense,2,linear,full,UCI,0.240625,0.20872651788009988
cnnpff,MotionSense,2,linear,full,WISDM,0.6203125,0.46067675720868934
