encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,WISDM,3,finetune,1,KuHar,0.34375,0.25317460317460316
cnnpff,WISDM,3,finetune,1,MotionSense,0.361328125,0.24464606452489832
cnnpff,WISDM,3,finetune,1,RealWorld_thigh,0.2777777777777778,0.18330269311948533
cnnpff,WISDM,3,finetune,1,RealWorld_waist,0.173046875,0.08399158534264844
cnnpff,WISDM,3,finetune,1,UCI,0.19375,0.11981686483531502
cnnpff,WISDM,3,finetune,1,WISDM,0.342578125,0.2844948303711784
cnnpff,WISDM,3,finetune,10,KuHar,0.6171875,0.4759853651325134
cnnpff,WISDM,3,finetune,10,MotionSense,0.4833984375,0.4099994104250937
cnnpff,WISDM,3,finetune,10,RealWorld_thigh,0.4947916666666667,0.4141185216858145
cnnpff,WISDM,3,finetune,10,RealWorld_waist,0.419140625,0.34396002643407514
cnnpff,WISDM,3,finetune,10,UCI,0.4171875,0.3219441873452018
cnnpff,WISDM,3,finetune,10,WISDM,0.74609375,0.7403892676935167
cnnpff,WISDM,3,finetune,100,KuHar,0.640625,0.4923809892539728
cnnpff,WISDM,3,finetune,100,MotionSense,0.61328125,0.5297468001745974
cnnpff,WISDM,3,finetune,100,RealWorld_thigh,0.5145833333333333,0.4219487026090616
cnnpff,WISDM,3,finetune,100,RealWorld_waist,0.461328125,0.34288297220527375
cnnpff,WISDM,3,finetune,100,UCI,0.421875,0.28347743788714014
cnnpff,WISDM,3,finetune,100,WISDM,0.874609375,0.8717403457256891
cnnpff,WISDM,3,finetune,full,KuHar,0.609375,0.45937613988021697
cnnpff,WISDM,3,finetune,full,MotionSense,0.6435546875,0.5505288809342331
cnnpff,WISDM,3,finetune,full,RealWorld_thigh,0.5236111111111111,0.4308122249191644
cnnpff,WISDM,3,finetune,full,RealWorld_waist,0.483984375,0.36880653886950715
cnnpff,WISDM,3,finetune,full,UCI,0.440625,0.2924305620464238
cnnpff,WISDM,3,finetune,full,WISDM,0.9078125,0.9059549074060453
cnnpff,WISDM,3,linear,1,KuHar,0.4609375,0.3520631415368258
cnnpff,WISDM,3,linear,1,MotionSense,0.2421875,0.1690603644096467
cnnpff,WISDM,3,linear,1,RealWorld_thigh,0.19409722222222223,0.10577767918108642
cnnpff,WISDM,3,linear,1,RealWorld_waist,0.21640625,0.17518969685506472
cnnpff,WISDM,3,linear,1,UCI,0.1609375,0.11079788308949971
cnnpff,WISDM,3,linear,1,WISDM,0.398046875,0.2969696050454176
cnnpff,WISDM,3,linear,10,KuHar,0.390625,0.2904339882508363
cnnpff,WISDM,3,linear,10,MotionSense,0.46484375,0.3708239687744621
cnnpff,WISDM,3,linear,10,RealWorld_thigh,0.4236111111111111,0.33046050539705935
cnnpff,WISDM,3,linear,10,RealWorld_waist,0.1859375,0.14452993217182397
cnnpff,WISDM,3,linear,10,UCI,0.271875,0.16755347813366372
cnnpff,WISDM,3,linear,10,WISDM,0.627734375,0.6229435405309909
cnnpff,WISDM,3,linear,100,KuHar,0.3125,0.24103718342848776
cnnpff,WISDM,3,linear,100,MotionSense,0.5947265625,0.5026624699066091
cnnpff,WISDM,3,linear,100,RealWorld_thigh,0.5329861111111112,0.4450335691328144
cnnpff,WISDM,3,linear,100,RealWorld_waist,0.2140625,0.1632686708230908
cnnpff,WISDM,3,linear,100,UCI,0.228125,0.14326567652534503
cnnpff,WISDM,3,linear,100,WISDM,0.841796875,0.8420112837521797
cnnpff,WISDM,3,linear,full,KuHar,0.5,0.37790705770035776
cnnpff,WISDM,3,linear,full,MotionSense,0.625,0.5331199557874605
cnnpff,WISDM,3,linear,full,RealWorld_thigh,0.5142361111111111,0.4224997017177865
cnnpff,WISDM,3,linear,full,RealWorld_waist,0.257421875,0.20879332577632992
cnnpff,WISDM,3,linear,full,UCI,0.25625,0.1644848131336556
cnnpff,WISDM,3,linear,full,WISDM,0.877734375,0.8764608005079269
