encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,MotionSense,0,finetune,1,KuHar,0.4296875,0.3247922857019436
resnetse5,MotionSense,0,finetune,1,MotionSense,0.44921875,0.45550965747440647
resnetse5,MotionSense,0,finetune,1,RealWorld_thigh,0.3388888888888889,0.3131607215100294
resnetse5,MotionSense,0,finetune,1,RealWorld_waist,0.345703125,0.29857902466648484
resnetse5,MotionSense,0,finetune,1,UCI,0.365625,0.23838307596002536
resnetse5,MotionSense,0,finetune,1,WISDM,0.4125,0.3167633471557072
resnetse5,MotionSense,0,finetune,10,KuHar,0.609375,0.48843792881294346
resnetse5,MotionSense,0,finetune,10,MotionSense,0.697265625,0.6923205007490698
resnetse5,MotionSense,0,finetune,10,RealWorld_thigh,0.6395833333333333,0.6403498267251989
resnetse5,MotionSense,0,finetune,10,RealWorld_waist,0.5171875,0.4892200914848486
resnetse5,MotionSense,0,finetune,10,UCI,0.4703125,0.39308164629675835
resnetse5,MotionSense,0,finetune,10,WISDM,0.70703125,0.49225665327513823
resnetse5,MotionSense,0,finetune,100,KuHar,0.546875,0.5019048655951011
resnetse5,MotionSense,0,finetune,100,MotionSense,0.9111328125,0.9106023660306098
resnetse5,MotionSense,0,finetune,100,RealWorld_thigh,0.7684027777777778,0.7689343716212984
resnetse5,MotionSense,0,finetune,100,RealWorld_waist,0.461328125,0.4262914822407012
resnetse5,MotionSense,0,finetune,100,UCI,0.403125,0.31677005819207027
resnetse5,MotionSense,0,finetune,100,WISDM,0.653125,0.4757652451782339
resnetse5,MotionSense,0,finetune,full,KuHar,0.515625,0.4208983476019516
resnetse5,MotionSense,0,finetune,full,MotionSense,0.91015625,0.9101915050724179
resnetse5,MotionSense,0,finetune,full,RealWorld_thigh,0.7670138888888889,0.7666419468213252
resnetse5,MotionSense,0,finetune,full,RealWorld_waist,0.39921875,0.362513097719212
resnetse5,MotionSense,0,finetune,full,UCI,0.39375,0.29019720478537464
resnetse5,MotionSense,0,finetune,full,WISDM,0.69296875,0.5030066927236826
resnetse5,MotionSense,0,linear,1,KuHar,0.359375,0.23418509370344234
resnetse5,MotionSense,0,linear,1,MotionSense,0.359375,0.3126699797242558
resnetse5,MotionSense,0,linear,1,RealWorld_thigh,0.23680555555555555,0.1771040465323931
resnetse5,MotionSense,0,linear,1,RealWorld_waist,0.252734375,0.16966630590008905
resnetse5,MotionSense,0,linear,1,UCI,0.1671875,0.13378999873854175
resnetse5,MotionSense,0,linear,1,WISDM,0.372265625,0.22591132979102627
resnetse5,MotionSense,0,linear,10,KuHar,0.40625,0.2462131915147343
resnetse5,MotionSense,0,linear,10,MotionSense,0.5244140625,0.48712182952762567
resnetse5,MotionSense,0,linear,10,RealWorld_thigh,0.5079861111111111,0.4780092550688036
resnetse5,MotionSense,0,linear,10,RealWorld_waist,0.35859375,0.28961352552662306
resnetse5,MotionSense,0,linear,10,UCI,0.1765625,0.17315231177216647
resnetse5,MotionSense,0,linear,10,WISDM,0.556640625,0.38361029938833074
resnetse5,MotionSense,0,linear,100,KuHar,0.609375,0.49514209102444395
resnetse5,MotionSense,0,linear,100,MotionSense,0.712890625,0.7113798176108687
resnetse5,MotionSense,0,linear,100,RealWorld_thigh,0.6114583333333333,0.601948575327415
resnetse5,MotionSense,0,linear,100,RealWorld_waist,0.43515625,0.37349472009547147
resnetse5,MotionSense,0,linear,100,UCI,0.3875,0.28805077209151914
resnetse5,MotionSense,0,linear,100,WISDM,0.5953125,0.4375736335840137
resnetse5,MotionSense,0,linear,full,KuHar,0.609375,0.5051289749216461
resnetse5,MotionSense,0,linear,full,MotionSense,0.6845703125,0.6825922168873713
resnetse5,MotionSense,0,linear,full,RealWorld_thigh,0.6305555555555555,0.6286357504391041
resnetse5,MotionSense,0,linear,full,RealWorld_waist,0.4609375,0.4346281976619932
resnetse5,MotionSense,0,linear,full,UCI,0.4953125,0.43664781779079115
resnetse5,MotionSense,0,linear,full,WISDM,0.578515625,0.4381615287931804
