encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_thigh,0,finetune,1,KuHar,0.1875,0.05263157894736842
resnetse5,RealWorld_thigh,0,finetune,1,MotionSense,0.1728515625,0.049125728559533725
resnetse5,RealWorld_thigh,0,finetune,1,RealWorld_thigh,0.16770833333333332,0.04787392209336902
resnetse5,RealWorld_thigh,0,finetune,1,RealWorld_waist,0.16875,0.0481283422459893
resnetse5,RealWorld_thigh,0,finetune,1,UCI,0.0,0.0
resnetse5,RealWorld_thigh,0,finetune,1,WISDM,0.254296875,0.10137028962939894
resnetse5,RealWorld_thigh,0,finetune,10,KuHar,0.5234375,0.3570286344479893
resnetse5,RealWorld_thigh,0,finetune,10,MotionSense,0.6279296875,0.590965018843444
resnetse5,RealWorld_thigh,0,finetune,10,RealWorld_thigh,0.5899305555555555,0.5735813713981136
resnetse5,RealWorld_thigh,0,finetune,10,RealWorld_waist,0.47421875,0.45721785224283057
resnetse5,RealWorld_thigh,0,finetune,10,UCI,0.4203125,0.30146963821065015
resnetse5,RealWorld_thigh,0,finetune,10,WISDM,0.719140625,0.49271071680289563
resnetse5,RealWorld_thigh,0,finetune,100,KuHar,0.4609375,0.38498737373737374
resnetse5,RealWorld_thigh,0,finetune,100,MotionSense,0.8125,0.8089029088717923
resnetse5,RealWorld_thigh,0,finetune,100,RealWorld_thigh,0.7763888888888889,0.7804527126585047
resnetse5,RealWorld_thigh,0,finetune,100,RealWorld_waist,0.491796875,0.4732360671399512
resnetse5,RealWorld_thigh,0,finetune,100,UCI,0.5921875,0.5598573834259734
resnetse5,RealWorld_thigh,0,finetune,100,WISDM,0.668359375,0.4783072344140356
resnetse5,RealWorld_thigh,0,finetune,full,KuHar,0.4140625,0.2863275613275613
resnetse5,RealWorld_thigh,0,finetune,full,MotionSense,0.798828125,0.7886653411043655
resnetse5,RealWorld_thigh,0,finetune,full,RealWorld_thigh,0.7885416666666667,0.788952920641575
resnetse5,RealWorld_thigh,0,finetune,full,RealWorld_waist,0.453515625,0.38424361929793704
resnetse5,RealWorld_thigh,0,finetune,full,UCI,0.6078125,0.5359743693755967
resnetse5,RealWorld_thigh,0,finetune,full,WISDM,0.64375,0.45218020157514877
resnetse5,RealWorld_thigh,0,linear,1,KuHar,0.1875,0.05263157894736842
resnetse5,RealWorld_thigh,0,linear,1,MotionSense,0.1728515625,0.049125728559533725
resnetse5,RealWorld_thigh,0,linear,1,RealWorld_thigh,0.16770833333333332,0.04787392209336902
resnetse5,RealWorld_thigh,0,linear,1,RealWorld_waist,0.16875,0.0481283422459893
resnetse5,RealWorld_thigh,0,linear,1,UCI,0.0,0.0
resnetse5,RealWorld_thigh,0,linear,1,WISDM,0.254296875,0.10137028962939894
resnetse5,RealWorld_thigh,0,linear,10,KuHar,0.53125,0.415817079391038
resnetse5,RealWorld_thigh,0,linear,10,MotionSense,0.5341796875,0.48149686464442504
resnetse5,RealWorld_thigh,0,linear,10,RealWorld_thigh,0.48055555555555557,0.43268044331013583
resnetse5,RealWorld_thigh,0,linear,10,RealWorld_waist,0.35859375,0.298314506335777
resnetse5,RealWorld_thigh,0,linear,10,UCI,0.26875,0.1895259469889542
resnetse5,RealWorld_thigh,0,linear,10,WISDM,0.612109375,0.40813637176610046
resnetse5,RealWorld_thigh,0,linear,100,KuHar,0.46875,0.3747959690582641
resnetse5,RealWorld_thigh,0,linear,100,MotionSense,0.6611328125,0.6525424397514255
resnetse5,RealWorld_thigh,0,linear,100,RealWorld_thigh,0.6027777777777777,0.6032291133966706
resnetse5,RealWorld_thigh,0,linear,100,RealWorld_waist,0.508984375,0.4914403707632349
resnetse5,RealWorld_thigh,0,linear,100,UCI,0.5953125,0.47573383114262424
resnetse5,RealWorld_thigh,0,linear,100,WISDM,0.654296875,0.4670207693351749
resnetse5,RealWorld_thigh,0,linear,full,KuHar,0.4609375,0.3723472722870451
resnetse5,RealWorld_thigh,0,linear,full,MotionSense,0.6962890625,0.6821659255508036
resnetse5,RealWorld_thigh,0,linear,full,RealWorld_thigh,0.6423611111111112,0.6429105801784764
resnetse5,RealWorld_thigh,0,linear,full,RealWorld_waist,0.49140625,0.4407832056522569
resnetse5,RealWorld_thigh,0,linear,full,UCI,0.5703125,0.45101383984316984
resnetse5,RealWorld_thigh,0,linear,full,WISDM,0.62578125,0.44395230648220285
