encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,WISDM,2,finetune,1,KuHar,0.015625,0.009009009009009009
resnetse5,WISDM,2,finetune,1,MotionSense,0.150390625,0.0737885190402056
resnetse5,WISDM,2,finetune,1,RealWorld_thigh,0.06875,0.03433934778532589
resnetse5,WISDM,2,finetune,1,RealWorld_waist,0.083984375,0.042529816766315065
resnetse5,WISDM,2,finetune,1,UCI,0.1046875,0.058649119042510064
resnetse5,WISDM,2,finetune,1,WISDM,0.067578125,0.041117052881758764
resnetse5,WISDM,2,finetune,10,KuHar,0.5625,0.36736736736736736
resnetse5,WISDM,2,finetune,10,MotionSense,0.3837890625,0.299438843303557
resnetse5,WISDM,2,finetune,10,RealWorld_thigh,0.4125,0.30144988140104284
resnetse5,WISDM,2,finetune,10,RealWorld_waist,0.413671875,0.3043240067743069
resnetse5,WISDM,2,finetune,10,UCI,0.35625,0.2397018970189702
resnetse5,WISDM,2,finetune,10,WISDM,0.698046875,0.6559290691972867
resnetse5,WISDM,2,finetune,100,KuHar,0.5546875,0.3655912835503588
resnetse5,WISDM,2,finetune,100,MotionSense,0.607421875,0.5195391123880472
resnetse5,WISDM,2,finetune,100,RealWorld_thigh,0.5375,0.44897594267835955
resnetse5,WISDM,2,finetune,100,RealWorld_waist,0.462890625,0.3863216557208105
resnetse5,WISDM,2,finetune,100,UCI,0.4125,0.3166774821544452
resnetse5,WISDM,2,finetune,100,WISDM,0.84921875,0.8449996156956903
resnetse5,WISDM,2,finetune,full,KuHar,0.5859375,0.4126216209592432
resnetse5,WISDM,2,finetune,full,MotionSense,0.626953125,0.5276466955871975
resnetse5,WISDM,2,finetune,full,RealWorld_thigh,0.5309027777777777,0.4396154625123372
resnetse5,WISDM,2,finetune,full,RealWorld_waist,0.461328125,0.3711647848291131
resnetse5,WISDM,2,finetune,full,UCI,0.3984375,0.2552107054907177
resnetse5,WISDM,2,finetune,full,WISDM,0.90703125,0.9054369603309391
resnetse5,WISDM,2,linear,1,KuHar,0.015625,0.009009009009009009
resnetse5,WISDM,2,linear,1,MotionSense,0.150390625,0.07386240812797233
resnetse5,WISDM,2,linear,1,RealWorld_thigh,0.06875,0.03437235992861612
resnetse5,WISDM,2,linear,1,RealWorld_waist,0.082421875,0.041829111559762745
resnetse5,WISDM,2,linear,1,UCI,0.1046875,0.05869597363136379
resnetse5,WISDM,2,linear,1,WISDM,0.066796875,0.04110576923076923
resnetse5,WISDM,2,linear,10,KuHar,0.5,0.32789267321260973
resnetse5,WISDM,2,linear,10,MotionSense,0.3876953125,0.3238188949683097
resnetse5,WISDM,2,linear,10,RealWorld_thigh,0.3017361111111111,0.24334970424497862
resnetse5,WISDM,2,linear,10,RealWorld_waist,0.319921875,0.25591468481203244
resnetse5,WISDM,2,linear,10,UCI,0.196875,0.17045985415904233
resnetse5,WISDM,2,linear,10,WISDM,0.537109375,0.4328838581282156
resnetse5,WISDM,2,linear,100,KuHar,0.515625,0.33126788241114585
resnetse5,WISDM,2,linear,100,MotionSense,0.513671875,0.4169475562877592
resnetse5,WISDM,2,linear,100,RealWorld_thigh,0.4736111111111111,0.39135975988208255
resnetse5,WISDM,2,linear,100,RealWorld_waist,0.2921875,0.23978020418301957
resnetse5,WISDM,2,linear,100,UCI,0.346875,0.23281196383152788
resnetse5,WISDM,2,linear,100,WISDM,0.752734375,0.7365722591955688
resnetse5,WISDM,2,linear,full,KuHar,0.5859375,0.4166978726439487
resnetse5,WISDM,2,linear,full,MotionSense,0.525390625,0.43533542753103216
resnetse5,WISDM,2,linear,full,RealWorld_thigh,0.5083333333333333,0.4210188843614209
resnetse5,WISDM,2,linear,full,RealWorld_waist,0.41796875,0.3414808005092693
resnetse5,WISDM,2,linear,full,UCI,0.3765625,0.29013555132642427
resnetse5,WISDM,2,linear,full,WISDM,0.797265625,0.7910923979577313
