encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,KuHar,2,finetune,1,KuHar,0.5,0.4423210250796457
rnn,KuHar,2,finetune,1,MotionSense,0.28515625,0.276406912025191
rnn,KuHar,2,finetune,1,RealWorld_thigh,0.26180555555555557,0.2514379984588257
rnn,KuHar,2,finetune,1,RealWorld_waist,0.18359375,0.17340386841917707
rnn,KuHar,2,finetune,1,UCI,0.2828125,0.23008526339652666
rnn,KuHar,2,finetune,1,WISDM,0.31328125,0.25677646086543415
rnn,KuHar,2,finetune,10,KuHar,0.671875,0.6442059411917568
rnn,KuHar,2,finetune,10,MotionSense,0.2373046875,0.2227339882524103
rnn,KuHar,2,finetune,10,RealWorld_thigh,0.3145833333333333,0.2622625858697642
rnn,KuHar,2,finetune,10,RealWorld_waist,0.434765625,0.4039697161212659
rnn,KuHar,2,finetune,10,UCI,0.4484375,0.44428767716152073
rnn,KuHar,2,finetune,10,WISDM,0.373046875,0.2846392036078366
rnn,KuHar,2,finetune,100,KuHar,0.7109375,0.6953933931939047
rnn,KuHar,2,finetune,100,MotionSense,0.33984375,0.261483479026357
rnn,KuHar,2,finetune,100,RealWorld_thigh,0.3420138888888889,0.3019918747100185
rnn,KuHar,2,finetune,100,RealWorld_waist,0.603515625,0.591309568401381
rnn,KuHar,2,finetune,100,UCI,0.484375,0.44455877156962914
rnn,KuHar,2,finetune,100,WISDM,0.32890625,0.2677677772972973
rnn,KuHar,2,finetune,full,KuHar,0.7109375,0.6874776449202561
rnn,KuHar,2,finetune,full,MotionSense,0.41796875,0.39951717934282743
rnn,KuHar,2,finetune,full,RealWorld_thigh,0.41006944444444443,0.42289696781873287
rnn,KuHar,2,finetune,full,RealWorld_waist,0.58125,0.5584279188929898
rnn,KuHar,2,finetune,full,UCI,0.51875,0.467384668438941
rnn,KuHar,2,finetune,full,WISDM,0.3921875,0.3156903916736295
rnn,KuHar,2,linear,1,KuHar,0.34375,0.3104286440547448
rnn,KuHar,2,linear,1,MotionSense,0.1279296875,0.1155478862282978
rnn,KuHar,2,linear,1,RealWorld_thigh,0.09861111111111111,0.08044259077596788
rnn,KuHar,2,linear,1,RealWorld_waist,0.15703125,0.1164277394039533
rnn,KuHar,2,linear,1,UCI,0.2515625,0.18591546534530068
rnn,KuHar,2,linear,1,WISDM,0.18828125,0.13746604436907028
rnn,KuHar,2,linear,10,KuHar,0.515625,0.4916071599458629
rnn,KuHar,2,linear,10,MotionSense,0.1533203125,0.13160403204646795
rnn,KuHar,2,linear,10,RealWorld_thigh,0.14895833333333333,0.11551919978863608
rnn,KuHar,2,linear,10,RealWorld_waist,0.221875,0.20434613241680244
rnn,KuHar,2,linear,10,UCI,0.275,0.2160628123848681
rnn,KuHar,2,linear,10,WISDM,0.230859375,0.16295187676513287
rnn,KuHar,2,linear,100,KuHar,0.609375,0.5803449337123676
rnn,KuHar,2,linear,100,MotionSense,0.1748046875,0.16525999228121044
rnn,KuHar,2,linear,100,RealWorld_thigh,0.17430555555555555,0.13932742878286716
rnn,KuHar,2,linear,100,RealWorld_waist,0.46328125,0.4110649838114706
rnn,KuHar,2,linear,100,UCI,0.41875,0.4220764810721371
rnn,KuHar,2,linear,100,WISDM,0.2453125,0.19079606805358176
rnn,KuHar,2,linear,full,KuHar,0.6015625,0.5748579740827803
rnn,KuHar,2,linear,full,MotionSense,0.1396484375,0.12509590391679457
rnn,KuHar,2,linear,full,RealWorld_thigh,0.17881944444444445,0.1379714753505972
rnn,KuHar,2,linear,full,RealWorld_waist,0.4703125,0.41380608710360706
rnn,KuHar,2,linear,full,UCI,0.4328125,0.36508752507820974
rnn,KuHar,2,linear,full,WISDM,0.23828125,0.18966332964715069
