encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,MotionSense,1,finetune,1,KuHar,0.28125,0.22320178410117433
rnn,MotionSense,1,finetune,1,MotionSense,0.4833984375,0.4767102460142422
rnn,MotionSense,1,finetune,1,RealWorld_thigh,0.4892361111111111,0.47989580726701453
rnn,MotionSense,1,finetune,1,RealWorld_waist,0.22265625,0.20433438905388476
rnn,MotionSense,1,finetune,1,UCI,0.3015625,0.23529906594450126
rnn,MotionSense,1,finetune,1,WISDM,0.3296875,0.2577421289876931
rnn,MotionSense,1,finetune,10,KuHar,0.375,0.23783068783068784
rnn,MotionSense,1,finetune,10,MotionSense,0.6796875,0.6649360114655997
rnn,MotionSense,1,finetune,10,RealWorld_thigh,0.5298611111111111,0.5196634281236054
rnn,MotionSense,1,finetune,10,RealWorld_waist,0.255078125,0.1972501163629217
rnn,MotionSense,1,finetune,10,UCI,0.2546875,0.26099241993346045
rnn,MotionSense,1,finetune,10,WISDM,0.60546875,0.4161354710701331
rnn,MotionSense,1,finetune,100,KuHar,0.375,0.2552147611220393
rnn,MotionSense,1,finetune,100,MotionSense,0.86328125,0.8619942851868144
rnn,MotionSense,1,finetune,100,RealWorld_thigh,0.6743055555555556,0.6725352595681405
rnn,MotionSense,1,finetune,100,RealWorld_waist,0.365234375,0.3092309293555283
rnn,MotionSense,1,finetune,100,UCI,0.3953125,0.3846362163568155
rnn,MotionSense,1,finetune,100,WISDM,0.642578125,0.45677419173617845
rnn,MotionSense,1,finetune,full,KuHar,0.3359375,0.22795469645699099
rnn,MotionSense,1,finetune,full,MotionSense,0.8798828125,0.8805553254304433
rnn,MotionSense,1,finetune,full,RealWorld_thigh,0.7177083333333333,0.7195676703229354
rnn,MotionSense,1,finetune,full,RealWorld_waist,0.34609375,0.29190334576244753
rnn,MotionSense,1,finetune,full,UCI,0.3765625,0.37039489763395567
rnn,MotionSense,1,finetune,full,WISDM,0.6984375,0.4909148333445969
rnn,MotionSense,1,linear,1,KuHar,0.0859375,0.05641025641025641
rnn,MotionSense,1,linear,1,MotionSense,0.361328125,0.348875117227639
rnn,MotionSense,1,linear,1,RealWorld_thigh,0.32569444444444445,0.3337021781330068
rnn,MotionSense,1,linear,1,RealWorld_waist,0.115234375,0.1119726391816419
rnn,MotionSense,1,linear,1,UCI,0.078125,0.09188948620407662
rnn,MotionSense,1,linear,1,WISDM,0.27265625,0.1944992761700651
rnn,MotionSense,1,linear,10,KuHar,0.25,0.21232078745660146
rnn,MotionSense,1,linear,10,MotionSense,0.5234375,0.45964638281087145
rnn,MotionSense,1,linear,10,RealWorld_thigh,0.44548611111111114,0.4265427490224211
rnn,MotionSense,1,linear,10,RealWorld_waist,0.210546875,0.190978173229557
rnn,MotionSense,1,linear,10,UCI,0.171875,0.1310067804437727
rnn,MotionSense,1,linear,10,WISDM,0.498046875,0.3612705121408675
rnn,MotionSense,1,linear,100,KuHar,0.3359375,0.272836080623724
rnn,MotionSense,1,linear,100,MotionSense,0.6572265625,0.6474937730572177
rnn,MotionSense,1,linear,100,RealWorld_thigh,0.47638888888888886,0.4735790514155673
rnn,MotionSense,1,linear,100,RealWorld_waist,0.1890625,0.16569820128956522
rnn,MotionSense,1,linear,100,UCI,0.1484375,0.09971708195285629
rnn,MotionSense,1,linear,100,WISDM,0.526953125,0.38910014908659174
rnn,MotionSense,1,linear,full,KuHar,0.421875,0.3081292526604
rnn,MotionSense,1,linear,full,MotionSense,0.6884765625,0.6784423659551235
rnn,MotionSense,1,linear,full,RealWorld_thigh,0.5298611111111111,0.5298241817796668
rnn,MotionSense,1,linear,full,RealWorld_waist,0.2109375,0.1564726699969249
rnn,MotionSense,1,linear,full,UCI,0.1828125,0.13186887026097552
rnn,MotionSense,1,linear,full,WISDM,0.569140625,0.41588971358609667
