encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_thigh,0,finetune,1,KuHar,0.53125,0.4050226209646499
tstcc,RealWorld_thigh,0,finetune,1,MotionSense,0.4287109375,0.3500622939966971
tstcc,RealWorld_thigh,0,finetune,1,RealWorld_thigh,0.4357638888888889,0.3440614581714195
tstcc,RealWorld_thigh,0,finetune,1,RealWorld_waist,0.3921875,0.3078323216893026
tstcc,RealWorld_thigh,0,finetune,1,UCI,0.36875,0.25780684622488687
tstcc,RealWorld_thigh,0,finetune,1,WISDM,0.48203125,0.3410313547962363
tstcc,RealWorld_thigh,0,finetune,10,KuHar,0.4765625,0.3761959214789403
tstcc,RealWorld_thigh,0,finetune,10,MotionSense,0.7373046875,0.7227713945657195
tstcc,RealWorld_thigh,0,finetune,10,RealWorld_thigh,0.5972222222222222,0.5725760376800267
tstcc,RealWorld_thigh,0,finetune,10,RealWorld_waist,0.533984375,0.5071424240866612
tstcc,RealWorld_thigh,0,finetune,10,UCI,0.35625,0.3104412320967548
tstcc,RealWorld_thigh,0,finetune,10,WISDM,0.581640625,0.4208702998851291
tstcc,RealWorld_thigh,0,finetune,100,KuHar,0.4140625,0.34213438735177865
tstcc,RealWorld_thigh,0,finetune,100,MotionSense,0.681640625,0.6136150333209351
tstcc,RealWorld_thigh,0,finetune,100,RealWorld_thigh,0.6069444444444444,0.581898968858604
tstcc,RealWorld_thigh,0,finetune,100,RealWorld_waist,0.531640625,0.49093821512435937
tstcc,RealWorld_thigh,0,finetune,100,UCI,0.365625,0.31419116837066163
tstcc,RealWorld_thigh,0,finetune,100,WISDM,0.504296875,0.30709955721867854
tstcc,RealWorld_thigh,0,finetune,full,KuHar,0.3984375,0.27032991283239544
tstcc,RealWorld_thigh,0,finetune,full,MotionSense,0.7109375,0.6545845729831343
tstcc,RealWorld_thigh,0,finetune,full,RealWorld_thigh,0.628125,0.5871597491028403
tstcc,RealWorld_thigh,0,finetune,full,RealWorld_waist,0.548828125,0.5388827694926709
tstcc,RealWorld_thigh,0,finetune,full,UCI,0.409375,0.40348187083151543
tstcc,RealWorld_thigh,0,finetune,full,WISDM,0.56328125,0.3829965248356159
tstcc,RealWorld_thigh,0,linear,1,KuHar,0.3203125,0.19304753217796697
tstcc,RealWorld_thigh,0,linear,1,MotionSense,0.1982421875,0.14467935838182394
tstcc,RealWorld_thigh,0,linear,1,RealWorld_thigh,0.19236111111111112,0.12411049221207898
tstcc,RealWorld_thigh,0,linear,1,RealWorld_waist,0.273046875,0.18418601302454798
tstcc,RealWorld_thigh,0,linear,1,UCI,0.2265625,0.14994581685850078
tstcc,RealWorld_thigh,0,linear,1,WISDM,0.216015625,0.1032799524486635
tstcc,RealWorld_thigh,0,linear,10,KuHar,0.4609375,0.39264289440345773
tstcc,RealWorld_thigh,0,linear,10,MotionSense,0.5751953125,0.561256852941218
tstcc,RealWorld_thigh,0,linear,10,RealWorld_thigh,0.5045138888888889,0.5027220150916077
tstcc,RealWorld_thigh,0,linear,10,RealWorld_waist,0.4109375,0.3959905891600885
tstcc,RealWorld_thigh,0,linear,10,UCI,0.31875,0.22510532073445413
tstcc,RealWorld_thigh,0,linear,10,WISDM,0.51328125,0.3676897704790081
tstcc,RealWorld_thigh,0,linear,100,KuHar,0.40625,0.2886865216455969
tstcc,RealWorld_thigh,0,linear,100,MotionSense,0.7265625,0.7110638630633138
tstcc,RealWorld_thigh,0,linear,100,RealWorld_thigh,0.6159722222222223,0.6115302756090125
tstcc,RealWorld_thigh,0,linear,100,RealWorld_waist,0.4875,0.456579643667951
tstcc,RealWorld_thigh,0,linear,100,UCI,0.3953125,0.397944141723794
tstcc,RealWorld_thigh,0,linear,100,WISDM,0.559375,0.3994838935558258
tstcc,RealWorld_thigh,0,linear,full,KuHar,0.3984375,0.2781271241365138
tstcc,RealWorld_thigh,0,linear,full,MotionSense,0.7119140625,0.692022577547438
tstcc,RealWorld_thigh,0,linear,full,RealWorld_thigh,0.6159722222222223,0.593120568221643
tstcc,RealWorld_thigh,0,linear,full,RealWorld_waist,0.507421875,0.48229058049127205
tstcc,RealWorld_thigh,0,linear,full,UCI,0.4265625,0.3645036907369832
tstcc,RealWorld_thigh,0,linear,full,WISDM,0.5265625,0.367577317805673
