encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,WISDM,2,finetune,1,KuHar,0.4140625,0.3002130550082966
tstcc,WISDM,2,finetune,1,MotionSense,0.3876953125,0.31837623644846674
tstcc,WISDM,2,finetune,1,RealWorld_thigh,0.3680555555555556,0.2990436682666451
tstcc,WISDM,2,finetune,1,RealWorld_waist,0.314453125,0.2823714800149075
tstcc,WISDM,2,finetune,1,UCI,0.25625,0.22114672299182797
tstcc,WISDM,2,finetune,1,WISDM,0.5734375,0.5834439792964161
tstcc,WISDM,2,finetune,10,KuHar,0.5625,0.36736736736736736
tstcc,WISDM,2,finetune,10,MotionSense,0.5263671875,0.44061008673261143
tstcc,WISDM,2,finetune,10,RealWorld_thigh,0.4371527777777778,0.3536777062247569
tstcc,WISDM,2,finetune,10,RealWorld_waist,0.45625,0.3711645601876821
tstcc,WISDM,2,finetune,10,UCI,0.375,0.2801004394224733
tstcc,WISDM,2,finetune,10,WISDM,0.794140625,0.7877711534681617
tstcc,WISDM,2,finetune,100,KuHar,0.546875,0.36024486024486024
tstcc,WISDM,2,finetune,100,MotionSense,0.5673828125,0.47460593641926246
tstcc,WISDM,2,finetune,100,RealWorld_thigh,0.509375,0.40677720501929676
tstcc,WISDM,2,finetune,100,RealWorld_waist,0.481640625,0.3996127636806022
tstcc,WISDM,2,finetune,100,UCI,0.36875,0.2719573071832542
tstcc,WISDM,2,finetune,100,WISDM,0.835546875,0.8325474786238645
tstcc,WISDM,2,finetune,full,KuHar,0.5859375,0.438927182178078
tstcc,WISDM,2,finetune,full,MotionSense,0.6005859375,0.505051190604442
tstcc,WISDM,2,finetune,full,RealWorld_thigh,0.5225694444444444,0.4298948057339329
tstcc,WISDM,2,finetune,full,RealWorld_waist,0.4703125,0.35836037811928406
tstcc,WISDM,2,finetune,full,UCI,0.3734375,0.23513866157047256
tstcc,WISDM,2,finetune,full,WISDM,0.8609375,0.8579454932444973
tstcc,WISDM,2,linear,1,KuHar,0.2578125,0.18495141026635967
tstcc,WISDM,2,linear,1,MotionSense,0.2548828125,0.18793181534721567
tstcc,WISDM,2,linear,1,RealWorld_thigh,0.29965277777777777,0.20884969016975416
tstcc,WISDM,2,linear,1,RealWorld_waist,0.2828125,0.2275721339339143
tstcc,WISDM,2,linear,1,UCI,0.2265625,0.07753703703703703
tstcc,WISDM,2,linear,1,WISDM,0.3609375,0.18825216972728662
tstcc,WISDM,2,linear,10,KuHar,0.4140625,0.26696710453888467
tstcc,WISDM,2,linear,10,MotionSense,0.3203125,0.24245630108410932
tstcc,WISDM,2,linear,10,RealWorld_thigh,0.24270833333333333,0.17349626418495034
tstcc,WISDM,2,linear,10,RealWorld_waist,0.35703125,0.26022939532065603
tstcc,WISDM,2,linear,10,UCI,0.328125,0.2670342434159156
tstcc,WISDM,2,linear,10,WISDM,0.54140625,0.4063594524446755
tstcc,WISDM,2,linear,100,KuHar,0.5078125,0.3355235196281474
tstcc,WISDM,2,linear,100,MotionSense,0.5029296875,0.4100423359993372
tstcc,WISDM,2,linear,100,RealWorld_thigh,0.3802083333333333,0.3049172552099188
tstcc,WISDM,2,linear,100,RealWorld_waist,0.3984375,0.3011820699416028
tstcc,WISDM,2,linear,100,UCI,0.24375,0.14618489711904573
tstcc,WISDM,2,linear,100,WISDM,0.717578125,0.7027099700007308
tstcc,WISDM,2,linear,full,KuHar,0.6015625,0.4531847431044576
tstcc,WISDM,2,linear,full,MotionSense,0.546875,0.46021803822918944
tstcc,WISDM,2,linear,full,RealWorld_thigh,0.49756944444444445,0.40905924881856826
tstcc,WISDM,2,linear,full,RealWorld_waist,0.46796875,0.37736009632922873
tstcc,WISDM,2,linear,full,UCI,0.3484375,0.21887761924252946
tstcc,WISDM,2,linear,full,WISDM,0.828515625,0.8196672125175669
